Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Heel erg moeilijk om rond te komen (%),Moeilijk om rond te komen (%),Het lukt om rond te komen (%),Het lukt om comfortabel te leven (%)
 Lommel ,72020,nee,Subjectieve armoede,2020,0.02,0.1,0.42,0.47
 Londerzeel ,23045,nee,Subjectieve armoede,2020,0.01,0.1,0.37,0.52
 Lo-Reninge ,32030,nee,Subjectieve armoede,2020,0.03,0.1,0.42,0.45
 Lubbeek ,24066,nee,Subjectieve armoede,2020,0.03,0.08,0.29,0.6
 Lummen ,71037,nee,Subjectieve armoede,2020,0.02,0.12,0.4,0.46
 Maarkedal ,45064,nee,Subjectieve armoede,2020,0.02,0.08,0.39,0.51
 Maaseik ,72021,nee,Subjectieve armoede,2020,0.02,0.09,0.41,0.49
 Maasmechelen ,73107,nee,Subjectieve armoede,2020,0.04,0.16,0.41,0.39
 Machelen ,23047,nee,Subjectieve armoede,2020,0.04,0.17,0.4,0.39
 Maldegem ,43010,nee,Subjectieve armoede,2020,0.03,0.07,0.43,0.47
 Malle ,11057,nee,Subjectieve armoede,2020,0.03,0.09,0.43,0.44
 Mechelen ,12025,ja,Subjectieve armoede,2017,0.04,0.12,0.41,0.42
 Mechelen ,12025,ja,Subjectieve armoede,2020,0.02,0.08,0.37,0.52
 Meerhout ,13021,nee,Subjectieve armoede,2020,0.03,0.08,0.44,0.45
 Meise ,23050,nee,Subjectieve armoede,2020,0.01,0.1,0.4,0.49
 Melle ,44040,nee,Subjectieve armoede,2020,0.01,0.08,0.36,0.55
 Menen ,34027,nee,Subjectieve armoede,2020,0.04,0.13,0.44,0.39
 Merchtem ,23052,nee,Subjectieve armoede,2020,0.04,0.08,0.35,0.53
 Merelbeke ,44043,nee,Subjectieve armoede,2020,0.03,0.05,0.3,0.62
 Merksplas ,13023,nee,Subjectieve armoede,2020,0.03,0.09,0.38,0.5
 Mesen ,33016,nee,Subjectieve armoede,2020,0.05,0.13,0.55,0.28
 Meulebeke ,37007,nee,Subjectieve armoede,2020,0.04,0.09,0.44,0.43
 Middelkerke ,35011,nee,Subjectieve armoede,2020,0.05,0.15,0.41,0.39
 Moerbeke ,44045,nee,Subjectieve armoede,2020,0.03,0.11,0.42,0.44
 Mol ,13025,nee,Subjectieve armoede,2020,0.03,0.11,0.37,0.49
 Moorslede ,36012,nee,Subjectieve armoede,2020,0.02,0.12,0.44,0.42
 Mortsel ,11029,nee,Subjectieve armoede,2020,0.03,0.1,0.35,0.52
 Nazareth ,44048,nee,Subjectieve armoede,2020,0.01,0.08,0.42,0.49
 Niel ,11030,nee,Subjectieve armoede,2020,0.03,0.12,0.47,0.37
 Nieuwerkerken ,71045,nee,Subjectieve armoede,2020,0.01,0.08,0.4,0.5
 Nieuwpoort ,38016,nee,Subjectieve armoede,2020,0.04,0.17,0.44,0.35
 Nijlen ,12026,nee,Subjectieve armoede,2020,0.02,0.11,0.46,0.41
 Ninove ,41048,nee,Subjectieve armoede,2020,0.04,0.11,0.4,0.45
 Olen ,13029,nee,Subjectieve armoede,2020,0.03,0.11,0.39,0.48
 Oostende ,35013,ja,Subjectieve armoede,2017,0.05,0.15,0.43,0.37
 Oostende ,35013,ja,Subjectieve armoede,2020,0.05,0.14,0.41,0.41
 Oosterzele ,44052,nee,Subjectieve armoede,2020,0.02,0.07,0.34,0.57
 Oostkamp ,31022,nee,Subjectieve armoede,2020,0.02,0.07,0.4,0.51
 Oostrozebeke ,37010,nee,Subjectieve armoede,2020,0.03,0.07,0.44,0.45
 Opwijk ,23060,nee,Subjectieve armoede,2020,0.02,0.11,0.39,0.47
 Oudenaarde ,45035,nee,Subjectieve armoede,2020,0.03,0.08,0.35,0.54
 Oudenburg ,35014,nee,Subjectieve armoede,2020,0.04,0.13,0.43,0.4
 Oud-Heverlee ,24086,nee,Subjectieve armoede,2020,0.01,0.06,0.29,0.64
 Oudsbergen ,72042,nee,Subjectieve armoede,2020,0.02,0.1,0.42,0.46
