Date,MW
2022-06-11,234.10120208333333
2022-06-12,111.2975625
2022-06-13,75.85566458333332
2022-06-14,52.574135416666664
2022-06-15,57.054495833333334
2022-06-16,25.3311375
2022-06-17,249.69491458333331
2022-06-18,249.48596041666667
2022-06-19,296.93078125
2022-06-20,142.18063541666666
2022-06-21,52.85003125
2022-06-22,111.54371875
2022-06-23,71.25507916666668
2022-06-24,76.87271666666668
2022-06-25,128.9622625
2022-06-26,69.77781875000001
2022-06-27,143.12235208333334
2022-06-28,49.2043625
2022-06-29,33.28674791666666
2022-06-30,94.49824791666667
2022-07-01,355.990325
2022-07-02,117.440325
2022-07-03,130.60123541666667
2022-07-04,44.89588958333333
2022-07-05,51.03131041666666
2022-07-06,84.14279791666667
2022-07-07,339.31198958333334
2022-07-08,21.59045625
