Date,Coal Pulverized,Liquid Fuel,Natural Gas,Nuclear,Other,Water,Wind
2022-01-16,0.0,4.571075892857143,3630.5088125,5978.766157738096,690.93034375,164.19342410714287,255.0672738095238
2022-01-17,0.0,2.933053571428572,3529.9169836309525,5979.059711309524,687.622413690476,162.98659375000003,241.72889880952383
2022-01-18,0.0,2.8107976190476194,3532.5269300595237,5979.967125,681.3309255952381,160.38833035714285,162.51365327380955
2022-01-19,0.0,2.8021726190476195,3399.896686011905,5980.878357142858,677.3087276785715,146.9234211309524,305.3137738095238
2022-01-20,0.0,3.3391889880952386,3181.7283824404763,5946.594477678572,667.1845029761905,148.4609523809524,528.8488660714286
2022-01-21,0.0,3.324230654761905,3055.7398973214285,5945.54087202381,640.9468303571429,142.96104910714286,608.9407961309524
2022-01-22,0.0,3.2292842261904764,3000.9053779761903,5944.20194047619,607.66271875,139.76828125,606.2159851190478
2022-01-23,0.0,0.5952604166666667,3181.322708333333,5943.001928571429,576.7311011904761,132.81512648809525,536.7582500000001
2022-01-24,0.0,0.5952604166666667,3335.976238095238,5940.929787202381,575.7570565476191,142.66132589285715,509.4546488095238
2022-01-25,0.0,9.790150297619048,3384.1921875,5938.488970238096,582.5025163690476,142.09753720238095,509.4649315476191
2022-01-26,0.0,9.790150297619048,3455.759489583333,5935.212336309523,578.9158303571429,151.73983928571428,460.7218020833334
2022-01-27,0.0,9.268029761904762,3355.2212142857143,5965.508924107142,579.7171011904762,149.1486398809524,460.6720386904762
2022-01-28,0.0,9.268029761904762,3261.576944940476,5963.363181547619,596.7992232142858,154.50313839285712,487.57660565476186
2022-01-29,0.0,9.268029761904762,2970.905186011905,5958.833043154761,610.6891190476191,155.15781101190478,781.9261755952381
2022-01-30,0.0,9.268029761904762,2680.2812008928568,5956.255825892857,626.914105654762,166.10621279761904,894.0450565476191
2022-01-31,0.0,9.268029761904762,2296.1649657738094,5952.474196428571,584.8785476190476,157.1687857142857,1209.9093913690474
2022-02-01,0.0,0.11762351190476192,1900.9315892857144,5930.987456845238,540.3516845238095,150.7342738095238,1479.0581577380951
2022-02-02,0.0,0.11762351190476192,1747.0336473214286,5924.1902023809525,522.8273363095238,151.4927336309524,1535.7790267857142
2022-02-03,0.0,0.044483630952380955,1860.8009419642856,5919.77571577381,516.2570565476191,152.1892574404762,1506.4356220238094
2022-02-04,0.0,0.044483630952380955,1642.823544642857,5914.592654761904,516.3401235119047,155.1578050595238,1707.5168199404761
2022-02-05,0.0,0.044483630952380955,1642.8700252976191,5911.885421130953,490.8757142857143,156.31154910714284,1684.3325744047618
2022-02-06,0.0,0.044483630952380955,1623.3654910714288,5897.460450892858,472.01125446428574,156.34156547619048,1895.2659642857143
2022-02-07,0.0,0.6023065476190476,1564.964586309524,5893.665229166667,494.50743452380954,160.01721577380954,1785.9390446428572
2022-02-08,0.0,0.5578229166666666,1475.6804181547618,5906.277479166666,505.4163586309524,171.48909077380952,1820.6005193452381
2022-02-09,0.0,0.5578229166666666,1331.5792604166668,5905.154842261904,493.64181398809524,175.7118050595238,1876.1325625000002
2022-02-10,0.0,0.5960327380952382,1311.3082827380952,5902.568361607143,479.0528333333333,170.01620833333337,1761.7086473214288
2022-02-11,0.0,0.5960327380952382,1561.387125,5899.124108630953,453.3586607142857,161.5430848214286,1537.8799196428572
2022-02-12,0.0,0.5960327380952382,1589.7056398809525,5896.369744047619,457.6996949404762,162.08070535714288,1500.8516681547621
2022-02-13,0.0,0.5960327380952382,1576.7193020833333,5902.19850595238,455.6855476190476,162.0132380952381,1484.956931547619
2022-02-14,0.0,0.038209821428571426,1588.192773809524,5897.962038690477,441.2985193452381,165.5162961309524,1563.8679717261907
2022-02-15,0.0,0.038209821428571426,1628.8226860119046,5895.300104166667,442.05680654761903,155.06599851190478,1514.949193452381
2022-02-16,0.0,0.038209821428571426,1547.8290267857144,5886.179892857143,443.52787053571427,154.52986160714286,1606.2731473214283
2022-02-17,0.0,0.0,1357.8698482142859,5748.701305059524,446.46208779761906,170.81532291666667,1814.9104583333335
2022-02-18,0.0,0.0,1082.907568452381,5610.121331845238,453.79228273809525,176.31175000000002,1923.1073363095238
2022-02-19,0.0,0.0,1072.3496354166666,5471.705544642857,462.84650892857144,183.06331547619044,1986.5256339285716
2022-02-20,0.0,0.0,1074.486595238095,5334.080626488096,469.3855461309523,178.0297336309524,1934.3210386904761
2022-02-21,0.0,0.5330595238095238,1102.6901979166666,5153.4314315476195,500.75442857142855,178.6580818452381,1897.3613437500003
2022-02-22,0.0,0.5874880952380952,1061.7475952380953,4955.349375,534.8982127976191,178.2395773809524,1850.9623169642857
2022-02-23,0.0,0.600345238095238,1087.3188392857144,4818.288043154762,565.9528735119047,176.98204166666665,1732.862431547619
2022-02-24,0.0,0.613202380952381,1072.354431547619,4817.906827380953,583.6119315476191,173.6307886904762,1738.8129880952383
2022-02-25,0.0,0.6260595238095238,1160.7134791666665,4819.487471726191,598.8385089285714,181.85660119047617,1723.3411592261905
2022-02-26,0.0,0.6389166666666667,1185.2847693452381,4820.299775297618,592.5283645833333,175.8704955357143,1457.446111607143
