CD_LAU|CD_MUNTY_REFNIS|TX_DESCR_DE|TX_DESCR_EN|TX_DESCR_FR|TX_DESCR_NL|DT_VLDT_STRT|DT_VLDT_STOP|CD_LVL_SUP|CD_LVL
61012|61012|Clavier|Clavier|Clavier|Clavier|1900-01-01|9999-12-31|BE331|4
61019|61019|Ferrières|Ferrières|Ferrières|Ferrières|1900-01-01|9999-12-31|BE331|4
61024|61024|Hamoir|Hamoir|Hamoir|Hamoir|1900-01-01|9999-12-31|BE331|4
61028|61028|Héron|Héron|Héron|Héron|1900-01-01|9999-12-31|BE331|4
61031|61031|Huy|Huy|Huy|Hoei|1900-01-01|9999-12-31|BE331|4
61039|61039|Marchin|Marchin|Marchin|Marchin|1900-01-01|9999-12-31|BE331|4
61041|61041|Modave|Modave|Modave|Modave|1900-01-01|9999-12-31|BE331|4
61043|61043|Nandrin|Nandrin|Nandrin|Nandrin|1900-01-01|9999-12-31|BE331|4
61048|61048|Ouffet|Ouffet|Ouffet|Ouffet|1900-01-01|9999-12-31|BE331|4
61063|61063|Verlaine|Verlaine|Verlaine|Verlaine|1900-01-01|9999-12-31|BE331|4
61068|61068|Villers-Le-Bouillet|Villers-Le-Bouillet|Villers-Le-Bouillet|Villers-Le-Bouillet|1900-01-01|9999-12-31|BE331|4
61072|61072|Wanze|Wanze|Wanze|Wanze|1900-01-01|9999-12-31|BE331|4
61079|61079|Anthisnes|Anthisnes|Anthisnes|Anthisnes|1900-01-01|9999-12-31|BE331|4
61080|61080|Engis|Engis|Engis|Engis|1900-01-01|9999-12-31|BE331|4
61081|61081|Tinlot|Tinlot|Tinlot|Tinlot|1900-01-01|9999-12-31|BE331|4
62003|62003|Ans|Ans|Ans|Ans|1900-01-01|9999-12-31|BE332|4
62006|62006|Awans|Awans|Awans|Awans|1900-01-01|9999-12-31|BE332|4
62009|62009|Aywaille|Aywaille|Aywaille|Aywaille|1900-01-01|9999-12-31|BE332|4
62011|62011|Bassenge|Bassenge|Bassenge|Bitsingen|1900-01-01|9999-12-31|BE332|4
62015|62015|Beyne-Heusay|Beyne-Heusay|Beyne-Heusay|Beyne-Heusay|1900-01-01|9999-12-31|BE332|4
62022|62022|Chaudfontaine|Chaudfontaine|Chaudfontaine|Chaudfontaine|1900-01-01|9999-12-31|BE332|4
62026|62026|Comblain-au-Pont|Comblain-au-Pont|Comblain-au-Pont|Comblain-au-Pont|1900-01-01|9999-12-31|BE332|4
62027|62027|Dalhem|Dalhem|Dalhem|Dalhem|1900-01-01|9999-12-31|BE332|4
62032|62032|Esneux|Esneux|Esneux|Esneux|1900-01-01|9999-12-31|BE332|4
62038|62038|Fléron|Fléron|Fléron|Fléron|1900-01-01|9999-12-31|BE332|4
62051|62051|Herstal|Herstal|Herstal|Herstal|1900-01-01|9999-12-31|BE332|4
62060|62060|Juprelle|Juprelle|Juprelle|Juprelle|1900-01-01|9999-12-31|BE332|4
62063|62063|Liège|Liège|Liège|Luik|1900-01-01|9999-12-31|BE332|4
62079|62079|Oupeye|Oupeye|Oupeye|Oupeye|1900-01-01|9999-12-31|BE332|4
62093|62093|Saint-Nicolas (Liège)|Saint-Nicolas (Liège)|Saint-Nicolas (Liège)|Saint-Nicolas (Luik)|1900-01-01|9999-12-31|BE332|4
62096|62096|Seraing|Seraing|Seraing|Seraing|1900-01-01|9999-12-31|BE332|4
62099|62099|Soumagne|Soumagne|Soumagne|Soumagne|1900-01-01|9999-12-31|BE332|4
62100|62100|Sprimont|Sprimont|Sprimont|Sprimont|1900-01-01|9999-12-31|BE332|4
62108|62108|Visé|Visé|Visé|Wezet|1900-01-01|9999-12-31|BE332|4
62118|62118|Grâce-Hollogne|Grâce-Hollogne|Grâce-Hollogne|Grâce-Hollogne|1900-01-01|9999-12-31|BE332|4
62119|62119|Blégny|Blégny|Blégny|Blégny|1900-01-01|9999-12-31|BE332|4
62120|62120|Flémalle|Flémalle|Flémalle|Flémalle|1900-01-01|9999-12-31|BE332|4
62121|62121|Neupré|Neupré|Neupré|Neupré|1900-01-01|9999-12-31|BE332|4
62122|62122|Trooz|Trooz|Trooz|Trooz|1900-01-01|9999-12-31|BE332|4
64008|64008|Berloz|Berloz|Berloz|Berloz|1900-01-01|9999-12-31|BE334|4
64015|64015|Braives|Braives|Braives|Braives|1900-01-01|9999-12-31|BE334|4
64021|64021|Crisnée|Crisnée|Crisnée|Crisnée|1900-01-01|9999-12-31|BE334|4
64023|64023|Donceel|Donceel|Donceel|Donceel|1900-01-01|9999-12-31|BE334|4
64025|64025|Fexhe-le-Haut-Clocher|Fexhe-le-Haut-Clocher|Fexhe-le-Haut-Clocher|Fexhe-le-Haut-Clocher|1900-01-01|9999-12-31|BE334|4
64029|64029|Geer|Geer|Geer|Geer|1900-01-01|9999-12-31|BE334|4
64034|64034|Hannut|Hannut|Hannut|Hannuit|1900-01-01|9999-12-31|BE334|4
64047|64047|Lincent|Lincent|Lincent|Lijsem|1900-01-01|9999-12-31|BE334|4
64056|64056|Oreye|Oreye|Oreye|Oerle|1900-01-01|9999-12-31|BE334|4
64063|64063|Remicourt|Remicourt|Remicourt|Remicourt|1900-01-01|9999-12-31|BE334|4
64065|64065|Saint-Georges-sur-Meuse|Saint-Georges-sur-Meuse|Saint-Georges-sur-Meuse|Saint-Georges-sur-Meuse|1900-01-01|9999-12-31|BE334|4
64074|64074|Waremme|Waremme|Waremme|Borgworm|1900-01-01|9999-12-31|BE334|4
64075|64075|Wasseiges|Wasseiges|Wasseiges|Wasseiges|1900-01-01|9999-12-31|BE334|4
64076|64076|Faimes|Faimes|Faimes|Faimes|1900-01-01|9999-12-31|BE334|4
63003|63003|Aubel|Aubel|Aubel|Aubel|1900-01-01|9999-12-31|BE335|4
63004|63004|Baelen|Baelen|Baelen|Baelen|1900-01-01|9999-12-31|BE335|4
63020|63020|Dison|Dison|Dison|Dison|1900-01-01|9999-12-31|BE335|4
63035|63035|Herve|Herve|Herve|Herve|1900-01-01|9999-12-31|BE335|4
63038|63038|Jalhay|Jalhay|Jalhay|Jalhay|1900-01-01|9999-12-31|BE335|4
63045|63045|Lierneux|Lierneux|Lierneux|Lierneux|1900-01-01|9999-12-31|BE335|4
63046|63046|Limburg|Limburg|Limbourg|Limburg|1900-01-01|9999-12-31|BE335|4
63049|63049|Malmedy|Malmedy|Malmedy|Malmedy|1900-01-01|9999-12-31|BE335|4
63057|63057|Olne|Olne|Olne|Olne|1900-01-01|9999-12-31|BE335|4
63058|63058|Pepinster|Pepinster|Pepinster|Pepinster|1900-01-01|9999-12-31|BE335|4
63072|63072|Spa|Spa|Spa|Spa|1900-01-01|9999-12-31|BE335|4
63073|63073|Stavelot|Stavelot|Stavelot|Stavelot|1900-01-01|9999-12-31|BE335|4
63075|63075|Stoumont|Stoumont|Stoumont|Stoumont|1900-01-01|9999-12-31|BE335|4
63076|63076|Theux|Theux|Theux|Theux|1900-01-01|9999-12-31|BE335|4
63079|63079|Verviers|Verviers|Verviers|Verviers|1900-01-01|9999-12-31|BE335|4
63080|63080|Weismes|Weismes|Waimes|Weismes|1900-01-01|9999-12-31|BE335|4
63084|63084|Welkenraedt|Welkenraedt|Welkenraedt|Welkenraedt|1900-01-01|9999-12-31|BE335|4
63086|63086|Trois-Ponts|Trois-Ponts|Trois-Ponts|Trois-Ponts|1900-01-01|9999-12-31|BE335|4
63088|63088|Plombières|Plombières|Plombières|Plombières|1900-01-01|9999-12-31|BE335|4
63089|63089|Thimister-Clermont|Thimister-Clermont|Thimister-Clermont|Thimister-Clermont|1900-01-01|9999-12-31|BE335|4
63001|63001|Amel|Amel|Amblève|Amel|1900-01-01|9999-12-31|BE336|4
63012|63012|Büllingen|Büllingen|Bullange|Büllingen|1900-01-01|9999-12-31|BE336|4
63013|63013|Bütgenbach|Bütgenbach|Butgenbach|Bütgenbach|1900-01-01|9999-12-31|BE336|4
63023|63023|Eupen|Eupen|Eupen|Eupen|1900-01-01|9999-12-31|BE336|4
63040|63040|Kelmis|Kelmis|La Calamine|Kelmis|1900-01-01|9999-12-31|BE336|4
63048|63048|Lontzen|Lontzen|Lontzen|Lontzen|1900-01-01|9999-12-31|BE336|4
63061|63061|Raeren|Raeren|Raeren|Raeren|1900-01-01|9999-12-31|BE336|4
63067|63067|Sankt Vith|Sankt Vith|Saint-Vith|Sankt Vith|1900-01-01|9999-12-31|BE336|4
63087|63087|Burg-Reuland|Burg-Reuland|Burg-Reuland|Burg-Reuland|1900-01-01|9999-12-31|BE336|4
81001|81001|Arlon|Arlon|Arlon|Aarlen|1900-01-01|9999-12-31|BE341|4
81003|81003|Attert|Attert|Attert|Attert|1900-01-01|9999-12-31|BE341|4
81004|81004|Aubange|Aubange|Aubange|Aubange|1900-01-01|9999-12-31|BE341|4
81013|81013|Martelange|Martelange|Martelange|Martelange|1900-01-01|9999-12-31|BE341|4
81015|81015|Messancy|Messancy|Messancy|Messancy|1900-01-01|9999-12-31|BE341|4
82003|82003|Bastogne|Bastogne|Bastogne|Bastenaken|1900-01-01|9999-12-31|BE342|4
82005|82005|Bertogne|Bertogne|Bertogne|Bertogne|1900-01-01|9999-12-31|BE342|4
82009|82009|Fauvillers|Fauvillers|Fauvillers|Fauvillers|1900-01-01|9999-12-31|BE342|4
82014|82014|Houffalize|Houffalize|Houffalize|Houffalize|1900-01-01|9999-12-31|BE342|4
82032|82032|Vielsalm|Vielsalm|Vielsalm|Vielsalm|1900-01-01|9999-12-31|BE342|4
82036|82036|Vaux-sur-Sûre|Vaux-sur-Sûre|Vaux-sur-Sûre|Vaux-sur-Sûre|1900-01-01|9999-12-31|BE342|4
82037|82037|Gouvy|Gouvy|Gouvy|Gouvy|1900-01-01|9999-12-31|BE342|4
82038|82038|Sainte-Ode|Sainte-Ode|Sainte-Ode|Sainte-Ode|1900-01-01|9999-12-31|BE342|4
83012|83012|Durbuy|Durbuy|Durbuy|Durbuy|1900-01-01|9999-12-31|BE343|4
83013|83013|Erezée|Erezée|Erezée|Erezée|1900-01-01|9999-12-31|BE343|4
83028|83028|Hotton|Hotton|Hotton|Hotton|1900-01-01|9999-12-31|BE343|4
83031|83031|La Roche-en-Ardenne|La Roche-en-Ardenne|La Roche-en-Ardenne|La Roche-en-Ardenne|1900-01-01|9999-12-31|BE343|4
83034|83034|Marche-en-Famenne|Marche-en-Famenne|Marche-en-Famenne|Marche-en-Famenne|1900-01-01|9999-12-31|BE343|4
83040|83040|Nassogne|Nassogne|Nassogne|Nassogne|1900-01-01|9999-12-31|BE343|4
83044|83044|Rendeux|Rendeux|Rendeux|Rendeux|1900-01-01|9999-12-31|BE343|4
83049|83049|Tenneville|Tenneville|Tenneville|Tenneville|1900-01-01|9999-12-31|BE343|4
83055|83055|Manhay|Manhay|Manhay|Manhay|1900-01-01|9999-12-31|BE343|4
84009|84009|Bertrix|Bertrix|Bertrix|Bertrix|1900-01-01|9999-12-31|BE344|4
84010|84010|Bouillon|Bouillon|Bouillon|Bouillon|1900-01-01|9999-12-31|BE344|4
84016|84016|Daverdisse|Daverdisse|Daverdisse|Daverdisse|1900-01-01|9999-12-31|BE344|4
84029|84029|Herbeumont|Herbeumont|Herbeumont|Herbeumont|1900-01-01|9999-12-31|BE344|4
84033|84033|Léglise|Léglise|Léglise|Léglise|1900-01-01|9999-12-31|BE344|4
84035|84035|Libin|Libin|Libin|Libin|1900-01-01|9999-12-31|BE344|4
84043|84043|Neufchâteau (Neufchâteau)|Neufchâteau (Neufchâteau)|Neufchâteau (Neufchâteau)|Neufchâteau (Neufchâteau)|1900-01-01|9999-12-31|BE344|4
84050|84050|Paliseul|Paliseul|Paliseul|Paliseul|1900-01-01|9999-12-31|BE344|4
84059|84059|Saint-Hubert|Saint-Hubert|Saint-Hubert|Saint-Hubert|1900-01-01|9999-12-31|BE344|4
84068|84068|Tellin|Tellin|Tellin|Tellin|1900-01-01|9999-12-31|BE344|4
84075|84075|Wellin|Wellin|Wellin|Wellin|1900-01-01|9999-12-31|BE344|4
84077|84077|Libramont-Chevigny|Libramont-Chevigny|Libramont-Chevigny|Libramont-Chevigny|1900-01-01|9999-12-31|BE344|4
85007|85007|Chiny|Chiny|Chiny|Chiny|1900-01-01|9999-12-31|BE345|4
85009|85009|Etalle|Etalle|Etalle|Etalle|1900-01-01|9999-12-31|BE345|4
85011|85011|Florenville|Florenville|Florenville|Florenville|1900-01-01|9999-12-31|BE345|4
85024|85024|Meix-devant-Virton|Meix-devant-Virton|Meix-devant-Virton|Meix-devant-Virton|1900-01-01|9999-12-31|BE345|4
85026|85026|Musson|Musson|Musson|Musson|1900-01-01|9999-12-31|BE345|4
85034|85034|Saint-Léger (Virton)|Saint-Léger (Virton)|Saint-Léger (Virton)|Saint-Léger (Virton)|1900-01-01|9999-12-31|BE345|4
85039|85039|Tintigny|Tintigny|Tintigny|Tintigny|1900-01-01|9999-12-31|BE345|4
85045|85045|Virton|Virton|Virton|Virton|1900-01-01|9999-12-31|BE345|4
85046|85046|Habay|Habay|Habay|Habay|1900-01-01|9999-12-31|BE345|4
85047|85047|Rouvroy|Rouvroy|Rouvroy|Rouvroy|1900-01-01|9999-12-31|BE345|4
91005|91005|Anhée|Anhée|Anhée|Anhée|1900-01-01|9999-12-31|BE351|4
91013|91013|Beauraing|Beauraing|Beauraing|Beauraing|1900-01-01|9999-12-31|BE351|4
91015|91015|Bièvre|Bièvre|Bièvre|Bièvre|1900-01-01|9999-12-31|BE351|4
91030|91030|Ciney|Ciney|Ciney|Ciney|1900-01-01|9999-12-31|BE351|4
91034|91034|Dinant|Dinant|Dinant|Dinant|1900-01-01|9999-12-31|BE351|4
91054|91054|Gedinne|Gedinne|Gedinne|Gedinne|1900-01-01|9999-12-31|BE351|4
91059|91059|Hamois|Hamois|Hamois|Hamois|1900-01-01|9999-12-31|BE351|4
91064|91064|Havelange|Havelange|Havelange|Havelange|1900-01-01|9999-12-31|BE351|4
91072|91072|Houyet|Houyet|Houyet|Houyet|1900-01-01|9999-12-31|BE351|4
91103|91103|Onhaye|Onhaye|Onhaye|Onhaye|1900-01-01|9999-12-31|BE351|4
91114|91114|Rochefort|Rochefort|Rochefort|Rochefort|1900-01-01|9999-12-31|BE351|4
91120|91120|Somme-Leuze|Somme-Leuze|Somme-Leuze|Somme-Leuze|1900-01-01|9999-12-31|BE351|4
91141|91141|Yvoir|Yvoir|Yvoir|Yvoir|1900-01-01|9999-12-31|BE351|4
91142|91142|Hastière|Hastière|Hastière|Hastière|1900-01-01|9999-12-31|BE351|4
91143|91143|Vresse-sur-Semois|Vresse-sur-Semois|Vresse-sur-Semois|Vresse-sur-Semois|1900-01-01|9999-12-31|BE351|4
92003|92003|Andenne|Andenne|Andenne|Andenne|1900-01-01|9999-12-31|BE352|4
92006|92006|Assesse|Assesse|Assesse|Assesse|1900-01-01|9999-12-31|BE352|4
92035|92035|Eghezée|Eghezée|Eghezée|Eghezée|1900-01-01|9999-12-31|BE352|4
92045|92045|Floreffe|Floreffe|Floreffe|Floreffe|1900-01-01|9999-12-31|BE352|4
92048|92048|Fosses-la-Ville|Fosses-la-Ville|Fosses-la-Ville|Fosses-la-Ville|1900-01-01|9999-12-31|BE352|4
92054|92054|Gesves|Gesves|Gesves|Gesves|1900-01-01|9999-12-31|BE352|4
92087|92087|Mettet|Mettet|Mettet|Mettet|1900-01-01|9999-12-31|BE352|4
92094|92094|Namur|Namur|Namur|Namen|1900-01-01|9999-12-31|BE352|4
92097|92097|Ohey|Ohey|Ohey|Ohey|1900-01-01|9999-12-31|BE352|4
92101|92101|Profondeville|Profondeville|Profondeville|Profondeville|1900-01-01|9999-12-31|BE352|4
92114|92114|Sombreffe|Sombreffe|Sombreffe|Sombreffe|1900-01-01|9999-12-31|BE352|4
92137|92137|Sambreville|Sambreville|Sambreville|Sambreville|1900-01-01|9999-12-31|BE352|4
92138|92138|Fernelmont|Fernelmont|Fernelmont|Fernelmont|1900-01-01|9999-12-31|BE352|4
92140|92140|Jemeppe-sur-Sambre|Jemeppe-sur-Sambre|Jemeppe-sur-Sambre|Jemeppe-sur-Sambre|1900-01-01|9999-12-31|BE352|4
92141|92141|La Bruyère|La Bruyère|La Bruyère|La Bruyère|1900-01-01|9999-12-31|BE352|4
92142|92142|Gembloux|Gembloux|Gembloux|Gembloux|1900-01-01|9999-12-31|BE352|4
93010|93010|Cerfontaine|Cerfontaine|Cerfontaine|Cerfontaine|1900-01-01|9999-12-31|BE353|4
93014|93014|Couvin|Couvin|Couvin|Couvin|1900-01-01|9999-12-31|BE353|4
93018|93018|Doische|Doische|Doische|Doische|1900-01-01|9999-12-31|BE353|4
93022|93022|Florennes|Florennes|Florennes|Florennes|1900-01-01|9999-12-31|BE353|4
93056|93056|Philippeville|Philippeville|Philippeville|Philippeville|1900-01-01|9999-12-31|BE353|4
93088|93088|Walcourt|Walcourt|Walcourt|Walcourt|1900-01-01|9999-12-31|BE353|4
93090|93090|Viroinval|Viroinval|Viroinval|Viroinval|1900-01-01|9999-12-31|BE353|4
BE224|71000|Bezirk Hasselt|District of Hasselt|Arrondissement de Hasselt|Arrondissement Hasselt|2019-01-01|9999-12-31|BE22|3
BE225|72000|Bezirk Maaseik|District of Maaseik|Arrondissement de Maaseik|Arrondissement Maaseik|2019-01-01|9999-12-31|BE22|3
BE328|57000|Berzik Tournai-Mouscron|District of Tournai-Mouscron|Arrondissement de Tournai-Mouscron|Arrondissement Tournai-Moeskroen|2019-01-01|9999-12-31|BE32|3
BE329|58000|Berzik La Louvière|District of La Louvière|Arrondissement de La Louvière|Arrondissement La Louvière|2019-01-01|9999-12-31|BE32|3
BE32A|51000|Bezirk d’Ath|District of d’Ath|Arrondissement d’Ath|Arrondissement Aat|2019-01-01|9999-12-31|BE32|3
BE32B|52000|Bezirk Charleroi|District of Charleroi|Arrondissement de Charleroi|Arrondissement Charleroi|2019-01-01|9999-12-31|BE32|3
BE32C|55000|Bezirk Soignies|District of Soignies|Arrondissement de Soignies|Arrondissement Zinnik|2019-01-01|9999-12-31|BE32|3
BE32D|56000|Bezirk Thuin|District of Thuin|Arrondissement de Thuin|Arrondissement Thuin|2019-01-01|9999-12-31|BE32|3
12041|12041|Puurs-Sint-Amands|Puurs-Sint-Amands|Puurs-Sint-Amands|Puurs-Sint-Amands|2019-01-01|9999-12-31|BE212|4
44083|44083|Deinze|Deinze|Deinze|Deinze|2019-01-01|9999-12-31|BE234|4
44084|44084|Aalter|Aalter|Aalter|Aalter|2019-01-01|9999-12-31|BE234|4
44085|44085|Lievegem|Lievegem|Lievegem|Lievegem|2019-01-01|9999-12-31|BE234|4
45068|45068|Kruisem|Kruisem|Kruisem|Kruisem|2019-01-01|9999-12-31|BE235|4
51004|51004|Ath|Ath|Ath|Aat|2019-01-01|9999-12-31|BE32A|4
51008|51008|Beloeil|Beloeil|Beloeil|Beloeil|2019-01-01|9999-12-31|BE32A|4
51009|51009|Bernissart|Bernissart|Bernissart|Bernissart|2019-01-01|9999-12-31|BE32A|4
51012|51012|Brugelette|Brugelette|Brugelette|Brugelette|2019-01-01|9999-12-31|BE32A|4
51014|51014|Chièvres|Chièvres|Chièvres|Chièvres|2019-01-01|9999-12-31|BE32A|4
51017|51017|Ellezelles|Ellezelles|Ellezelles|Elzele|2019-01-01|9999-12-31|BE32A|4
51019|51019|Flobecq|Flobecq|Flobecq|Vloesberg|2019-01-01|9999-12-31|BE32A|4
51065|51065|Frasnes-lez-Anvaing|Frasnes-lez-Anvaing|Frasnes-lez-Anvaing|Frasnes-lez-Anvaing|2019-01-01|9999-12-31|BE32A|4
51067|51067|Enghien|Enghien|Enghien|Edingen|2019-01-01|9999-12-31|BE32A|4
51068|51068|Silly|Silly|Silly|Opzullik|2019-01-01|9999-12-31|BE32A|4
51069|51069|Lessines|Lessines|Lessines|Lessen|2019-01-01|9999-12-31|BE32A|4
52010|52010|Chapelle-lez-Herlaimont|Chapelle-lez-Herlaimont|Chapelle-lez-Herlaimont|Chapelle-lez-Herlaimont|2019-01-01|9999-12-31|BE32B|4
52011|52011|Charleroi|Charleroi|Charleroi|Charleroi|2019-01-01|9999-12-31|BE32B|4
52012|52012|Châtelet|Châtelet|Châtelet|Châtelet|2019-01-01|9999-12-31|BE32B|4
52015|52015|Courcelles|Courcelles|Courcelles|Courcelles|2019-01-01|9999-12-31|BE32B|4
52018|52018|Farciennes|Farciennes|Farciennes|Farciennes|2019-01-01|9999-12-31|BE32B|4
52021|52021|Fleurus|Fleurus|Fleurus|Fleurus|2019-01-01|9999-12-31|BE32B|4
52022|52022|Fontaine-l’Evêque|Fontaine-l’Evêque|Fontaine-l’Evêque|Fontaine-l’Evêque|2019-01-01|9999-12-31|BE32B|4
52025|52025|Gerpinnes|Gerpinnes|Gerpinnes|Gerpinnes|2019-01-01|9999-12-31|BE32B|4
52048|52048|Montigny-le-Tilleul|Montigny-le-Tilleul|Montigny-le-Tilleul|Montigny-le-Tilleul|2019-01-01|9999-12-31|BE32B|4
52055|52055|Pont-à-Celles|Pont-à-Celles|Pont-à-Celles|Pont-à-Celles|2019-01-01|9999-12-31|BE32B|4
52074|52074|Aiseau-Presles|Aiseau-Presles|Aiseau-Presles|Aiseau-Presles|2019-01-01|9999-12-31|BE32B|4
52075|52075|Les Bons Villers|Les Bons Villers|Les Bons Villers|Les Bons Villers|2019-01-01|9999-12-31|BE32B|4
55004|55004|Braine-le-Comte|Braine-le-Comte|Braine-le-Comte|s Gravenbrakel|2019-01-01|9999-12-31|BE32C|4
55035|55035|Le Roeulx|Le Roeulx|Le Roeulx|Le Roeulx|2019-01-01|9999-12-31|BE32C|4
55040|55040|Soignies|Soignies|Soignies|Zinnik|2019-01-01|9999-12-31|BE32C|4
55050|55050|Ecaussinnes|Ecaussinnes|Ecaussinnes|Ecaussinnes|2019-01-01|9999-12-31|BE32C|4
55085|55085|Seneffe|Seneffe|Seneffe|Seneffe|2019-01-01|9999-12-31|BE32C|4
55086|55086|Manage|Manage|Manage|Manage|2019-01-01|9999-12-31|BE32C|4
56001|56001|Anderlues|Anderlues|Anderlues|Anderlues|2019-01-01|9999-12-31|BE32D|4
56005|56005|Beaumont|Beaumont|Beaumont|Beaumont|2019-01-01|9999-12-31|BE32D|4
56016|56016|Chimay|Chimay|Chimay|Chimay|2019-01-01|9999-12-31|BE32D|4
56022|56022|Erquelinnes|Erquelinnes|Erquelinnes|Erquelinnes|2019-01-01|9999-12-31|BE32D|4
56029|56029|Froidchapelle|Froidchapelle|Froidchapelle|Froidchapelle|2019-01-01|9999-12-31|BE32D|4
56044|56044|Lobbes|Lobbes|Lobbes|Lobbes|2019-01-01|9999-12-31|BE32D|4
56049|56049|Merbes-le-Château|Merbes-le-Château|Merbes-le-Château|Merbes-le-Château|2019-01-01|9999-12-31|BE32D|4
56051|56051|Momignies|Momignies|Momignies|Momignies|2019-01-01|9999-12-31|BE32D|4
56078|56078|Thuin|Thuin|Thuin|Thuin|2019-01-01|9999-12-31|BE32D|4
56086|56086|Ham-sur-Heure-Nalinnes|Ham-sur-Heure-Nalinnes|Ham-sur-Heure-Nalinnes|Ham-sur-Heure-Nalinnes|2019-01-01|9999-12-31|BE32D|4
56088|56088|Sivry-Rance|Sivry-Rance|Sivry-Rance|Sivry-Rance|2019-01-01|9999-12-31|BE32D|4
57003|57003|Antoing|Antoing|Antoing|Antoing|2019-01-01|9999-12-31|BE328|4
57018|57018|Celles (Tournai)|Celles (Tournai)|Celles (Tournai)|Celles (Doornik)|2019-01-01|9999-12-31|BE328|4
57027|57027|Estaimpuis|Estaimpuis|Estaimpuis|Estaimpuis|2019-01-01|9999-12-31|BE328|4
57062|57062|Pecq|Pecq|Pecq|Pecq|2019-01-01|9999-12-31|BE328|4
57064|57064|Péruwelz|Péruwelz|Péruwelz|Péruwelz|2019-01-01|9999-12-31|BE328|4
57072|57072|Rumes|Rumes|Rumes|Rumes|2019-01-01|9999-12-31|BE328|4
57081|57081|Tournai|Tournai|Tournai|Doornik|2019-01-01|9999-12-31|BE328|4
57093|57093|Brunehaut|Brunehaut|Brunehaut|Brunehaut|2019-01-01|9999-12-31|BE328|4
57094|57094|Leuze-en-Hainaut|Leuze-en-Hainaut|Leuze-en-Hainaut|Leuze-en-Hainaut|2019-01-01|9999-12-31|BE328|4
57095|57095|Mont-de-l’Enclus|Mont-de-l’Enclus|Mont-de-l’Enclus|Mont-de-l’Enclus|2019-01-01|9999-12-31|BE328|4
57096|57096|Mouscron|Mouscron|Mouscron|Moeskroen|2019-01-01|9999-12-31|BE328|4
57097|57097|Comines-Warneton|Comines-Warneton|Comines-Warneton|Komen-Waasten|2019-01-01|9999-12-31|BE328|4
58001|58001|La Louvière|La Louvière|La Louvière|La Louvière|2019-01-01|9999-12-31|BE329|4
58002|58002|Binche|Binche|Binche|Binche|2019-01-01|9999-12-31|BE329|4
58003|58003|Estinnes|Estinnes|Estinnes|Estinnes|2019-01-01|9999-12-31|BE329|4
58004|58004|Morlanwelz|Morlanwelz|Morlanwelz|Morlanwelz|2019-01-01|9999-12-31|BE329|4
71002|71002|As|As|As|As|2019-01-01|9999-12-31|BE224|4
71004|71004|Beringen|Beringen|Beringen|Beringen|2019-01-01|9999-12-31|BE224|4
71011|71011|Diepenbeek|Diepenbeek|Diepenbeek|Diepenbeek|2019-01-01|9999-12-31|BE224|4
71016|71016|Genk|Genk|Genk|Genk|2019-01-01|9999-12-31|BE224|4
71017|71017|Gingelom|Gingelom|Gingelom|Gingelom|2019-01-01|9999-12-31|BE224|4
71020|71020|Halen|Halen|Halen|Halen|2019-01-01|9999-12-31|BE224|4
71022|71022|Hasselt|Hasselt|Hasselt|Hasselt|2019-01-01|9999-12-31|BE224|4
71024|71024|Herk-de-Stad|Herk-de-Stad|Herck-la-Ville|Herk-de-Stad|2019-01-01|9999-12-31|BE224|4
71034|71034|Leopoldsburg|Leopoldsburg|Bourg-Léopold|Leopoldsburg|2019-01-01|9999-12-31|BE224|4
71037|71037|Lummen|Lummen|Lummen|Lummen|2019-01-01|9999-12-31|BE224|4
71045|71045|Nieuwerkerken (Hasselt)|Nieuwerkerken (Hasselt)|Nieuwerkerken (Hasselt)|Nieuwerkerken (Hasselt)|2019-01-01|9999-12-31|BE224|4
71053|71053|Sint-Truiden|Sint-Truiden|Saint-Trond|Sint-Truiden|2019-01-01|9999-12-31|BE224|4
71057|71057|Tessenderlo|Tessenderlo|Tessenderlo|Tessenderlo|2019-01-01|9999-12-31|BE224|4
71066|71066|Zonhoven|Zonhoven|Zonhoven|Zonhoven|2019-01-01|9999-12-31|BE224|4
71067|71067|Zutendaal|Zutendaal|Zutendaal|Zutendaal|2019-01-01|9999-12-31|BE224|4
71069|71069|Ham|Ham|Ham|Ham|2019-01-01|9999-12-31|BE224|4
71070|71070|Heusden-Zolder|Heusden-Zolder|Heusden-Zolder|Heusden-Zolder|2019-01-01|9999-12-31|BE224|4
72003|72003|Bocholt|Bocholt|Bocholt|Bocholt|2019-01-01|9999-12-31|BE225|4
72004|72004|Bree|Bree|Bree|Bree|2019-01-01|9999-12-31|BE225|4
72018|72018|Kinrooi|Kinrooi|Kinrooi|Kinrooi|2019-01-01|9999-12-31|BE225|4
72020|72020|Lommel|Lommel|Lommel|Lommel|2019-01-01|9999-12-31|BE225|4
72021|72021|Maaseik|Maaseik|Maaseik|Maaseik|2019-01-01|9999-12-31|BE225|4
72030|72030|Peer|Peer|Peer|Peer|2019-01-01|9999-12-31|BE225|4
72037|72037|Hamont-Achel|Hamont-Achel|Hamont-Achel|Hamont-Achel|2019-01-01|9999-12-31|BE225|4
72038|72038|Hechtel-Eksel|Hechtel-Eksel|Hechtel-Eksel|Hechtel-Eksel|2019-01-01|9999-12-31|BE225|4
