CD_LAU|CD_MUNTY_REFNIS|TX_DESCR_DE|TX_DESCR_EN|TX_DESCR_FR|TX_DESCR_NL|DT_VLDT_STRT|DT_VLDT_STOP|CD_LVL_SUP|CD_LVL
BE351|91000|Bezirk Dinant|District of Dinant|Arrondissement de Dinant|Arrondissement Dinant|1900-01-01|9999-12-31|BE35|3
BE352|92000|Bezirk Namur|District of Namur|Arrondissement de Namur|Arrondissement Namen|1900-01-01|9999-12-31|BE35|3
BE353|93000|Bezirk Philippeville|District of Philippeville|Arrondissement de Philippeville|Arrondissement Philippeville|1900-01-01|9999-12-31|BE35|3
21001|21001|Anderlecht|Anderlecht|Anderlecht|Anderlecht|1900-01-01|9999-12-31|BE100|4
21002|21002|Auderghem|Auderghem|Auderghem|Oudergem|1900-01-01|9999-12-31|BE100|4
21003|21003|Berchem-Sainte-Agathe|Berchem-Sainte-Agathe|Berchem-Sainte-Agathe|Sint-Agatha-Berchem|1900-01-01|9999-12-31|BE100|4
21004|21004|Brüssel|Brussels|Bruxelles|Brussel|1900-01-01|9999-12-31|BE100|4
21005|21005|Etterbeek|Etterbeek|Etterbeek|Etterbeek|1900-01-01|9999-12-31|BE100|4
21006|21006|Evere|Evere|Evere|Evere|1900-01-01|9999-12-31|BE100|4
21007|21007|Forest (Bruxelles-Capitale)|Forest (Bruxelles-Capitale)|Forest (Bruxelles-Capitale)|Vorst (Brussel-Hoofdstad)|1900-01-01|9999-12-31|BE100|4
21008|21008|Ganshoren|Ganshoren|Ganshoren|Ganshoren|1900-01-01|9999-12-31|BE100|4
21009|21009|Ixelles|Ixelles|Ixelles|Elsene|1900-01-01|9999-12-31|BE100|4
21010|21010|Jette|Jette|Jette|Jette|1900-01-01|9999-12-31|BE100|4
21011|21011|Koekelberg|Koekelberg|Koekelberg|Koekelberg|1900-01-01|9999-12-31|BE100|4
21012|21012|Molenbeek-Saint-Jean|Molenbeek-Saint-Jean|Molenbeek-Saint-Jean|Sint-Jans-Molenbeek|1900-01-01|9999-12-31|BE100|4
21013|21013|Saint-Gilles|Saint-Gilles|Saint-Gilles|Sint-Gillis|1900-01-01|9999-12-31|BE100|4
21014|21014|Saint-Josse-ten-Noode|Saint-Josse-ten-Noode|Saint-Josse-ten-Noode|Sint-Joost-ten-Node|1900-01-01|9999-12-31|BE100|4
21015|21015|Schaerbeek|Schaerbeek|Schaerbeek|Schaarbeek|1900-01-01|9999-12-31|BE100|4
21016|21016|Uccle|Uccle|Uccle|Ukkel|1900-01-01|9999-12-31|BE100|4
21017|21017|Watermael-Boitsfort|Watermael-Boitsfort|Watermael-Boitsfort|Watermaal-Bosvoorde|1900-01-01|9999-12-31|BE100|4
21018|21018|Woluwe-Saint-Lambert|Woluwe-Saint-Lambert|Woluwe-Saint-Lambert|Sint-Lambrechts-Woluwe|1900-01-01|9999-12-31|BE100|4
21019|21019|Woluwe-Saint-Pierre|Woluwe-Saint-Pierre|Woluwe-Saint-Pierre|Sint-Pieters-Woluwe|1900-01-01|9999-12-31|BE100|4
11001|11001|Aartselaar|Aartselaar|Aartselaar|Aartselaar|1900-01-01|9999-12-31|BE211|4
11002|11002|Antwerpen|Antwerpen|Anvers|Antwerpen|1900-01-01|9999-12-31|BE211|4
11004|11004|Boechout|Boechout|Boechout|Boechout|1900-01-01|9999-12-31|BE211|4
11005|11005|Boom|Boom|Boom|Boom|1900-01-01|9999-12-31|BE211|4
11007|11007|Borsbeek|Borsbeek|Borsbeek|Borsbeek|1900-01-01|9999-12-31|BE211|4
11008|11008|Brasschaat|Brasschaat|Brasschaat|Brasschaat|1900-01-01|9999-12-31|BE211|4
11009|11009|Brecht|Brecht|Brecht|Brecht|1900-01-01|9999-12-31|BE211|4
11013|11013|Edegem|Edegem|Edegem|Edegem|1900-01-01|9999-12-31|BE211|4
11016|11016|Essen|Essen|Essen|Essen|1900-01-01|9999-12-31|BE211|4
