Asset Management,Audit Comité,Build,CEO office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,"Procurement, Production & Supply Chain",Strategy & Corporate & Public Affairs
1645.0,7.0,0.0,4.0,407.0,212.0,202.0,767.0,433.0,0.0,80.0
1581.0,7.0,0.0,4.0,412.0,209.0,196.0,755.0,408.0,0.0,79.0
1574.0,7.0,0.0,4.0,416.0,209.0,196.0,760.0,421.0,0.0,82.0
1584.0,7.0,0.0,4.0,421.0,207.0,200.0,747.0,417.0,0.0,82.0
1440.0,7.0,0.0,4.0,419.0,206.0,184.0,731.0,399.0,0.0,81.0
1350.0,7.0,0.0,4.0,417.0,206.0,193.0,733.0,383.0,0.0,79.0
1407.0,8.0,0.0,4.0,416.0,205.0,197.0,755.0,386.0,0.0,82.0
1399.0,8.0,0.0,4.0,408.0,205.0,197.0,751.0,385.0,0.0,83.0
1510.0,8.0,0.0,4.0,408.0,200.0,198.0,765.0,406.0,0.0,83.0
1538.0,8.0,0.0,4.0,406.0,197.0,195.0,759.0,410.0,0.0,84.0
1577.0,9.0,0.0,4.0,415.0,198.0,191.0,762.0,400.0,0.0,85.0
1522.0,8.0,0.0,4.0,420.0,198.0,191.0,753.0,397.0,0.0,86.0
1444.0,8.0,0.0,4.0,426.0,194.0,188.0,747.0,388.0,0.0,83.0
1216.0,8.0,0.0,3.0,420.0,188.0,175.0,647.0,445.0,0.0,82.0
1188.0,8.0,0.0,3.0,420.0,189.0,146.0,613.0,449.0,0.0,82.0
1164.0,8.0,0.0,3.0,416.0,193.0,144.0,622.0,451.0,0.0,78.0
1070.0,9.0,0.0,4.0,400.0,189.0,136.0,606.0,428.0,0.0,78.0
1100.0,9.0,0.0,4.0,412.0,195.0,145.0,614.0,415.0,0.0,76.0
1162.0,9.0,0.0,4.0,420.0,198.0,175.0,634.0,434.0,0.0,78.0
1181.0,9.0,0.0,4.0,458.0,198.0,154.0,639.0,448.0,0.0,79.0
1200.0,9.0,0.0,4.0,450.0,198.0,152.0,640.0,456.0,0.0,77.0
1165.0,9.0,0.0,5.0,450.0,199.0,153.0,629.0,445.0,0.0,74.0
1173.0,9.0,0.0,4.0,458.0,196.0,160.0,638.0,450.0,0.0,73.0
1169.0,9.0,0.0,4.0,455.0,196.0,155.0,632.0,449.0,0.0,73.0
1185.0,8.0,0.0,4.0,462.0,202.0,155.0,629.0,452.0,0.0,72.0
1116.0,9.0,0.0,4.0,453.0,203.0,150.0,627.0,449.0,0.0,74.0
1153.0,9.0,0.0,4.0,455.0,202.0,149.0,634.0,445.0,0.0,75.0
1136.0,9.0,0.0,4.0,455.0,207.0,153.0,641.0,459.0,0.0,77.0
1006.0,9.0,0.0,4.0,446.0,125.0,147.0,638.0,439.0,169.0,76.0
998.0,9.0,0.0,4.0,449.0,128.0,146.0,640.0,448.0,169.0,75.0
1041.0,10.0,0.0,4.0,462.0,128.0,160.0,664.0,481.0,172.0,79.0
800.0,10.0,0.0,4.0,462.0,127.0,162.0,675.0,718.0,207.0,78.0
782.0,10.0,0.0,4.0,471.0,126.0,157.0,679.0,751.0,214.0,78.0
774.0,10.0,0.0,4.0,471.0,128.0,159.0,668.0,742.0,207.0,79.0
0.0,10.0,0.0,4.0,473.0,125.0,160.0,674.0,1565.0,219.0,79.0
0.0,10.0,0.0,4.0,474.0,125.0,158.0,669.0,1547.0,215.0,80.0
0.0,10.0,0.0,4.0,471.0,124.0,161.0,673.0,1525.0,216.0,80.0
0.0,10.0,0.0,4.0,465.0,125.0,161.0,669.0,1500.0,211.0,80.0
0.0,10.0,0.0,4.0,469.0,126.0,155.0,660.0,1509.0,206.0,80.0
0.0,10.0,0.0,4.0,465.0,126.0,158.0,652.0,1504.0,214.0,78.0
