Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/zelden (%),Af en toe (%),Vaak/altijd (%)
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.29,0.26,0.45
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.82,0.13,0.05
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.87,0.09,0.04
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.69,0.13,0.18
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.35,0.33,0.32
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.26,0.33,0.41
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.34,0.31,0.35
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.93,0.03,0.03
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.91,0.05,0.03
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.18,0.38,0.44
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.19,0.32,0.49
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.75,0.16,0.09
 Anzegem ,34002,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.77,0.16,0.07
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.15,0.09,0.76
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.14,0.11,0.75
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.21,0.26,0.53
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.31,0.26,0.43
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.84,0.1,0.05
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.87,0.09,0.04
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.77,0.1,0.14
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.32,0.29,0.39
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.3,0.29,0.41
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.37,0.28,0.35
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.96,0.02,0.02
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.94,0.04,0.03
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2017,0.26,0.32,0.43
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Te voet,2020,0.22,0.33,0.45
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2017,0.82,0.13,0.05
 Ardooie ,37020,nee,Verplaatsingen vrije tijd: per vervoermiddel,Trein,2020,0.8,0.16,0.04
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2017,0.14,0.17,0.69
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als bestuurder,2020,0.16,0.19,0.65
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2017,0.22,0.32,0.45
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Auto als passagier,2020,0.22,0.37,0.41
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2017,0.75,0.17,0.07
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Bus, tram of metro",2020,0.8,0.13,0.07
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Elektrische fiets,2020,0.57,0.12,0.31
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2017,0.14,0.27,0.59
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Fiets - algemeen,2020,0.12,0.22,0.67
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,Gewone fiets,2020,0.24,0.2,0.56
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2017,0.93,0.05,0.02
 Arendonk ,13001,nee,Verplaatsingen vrije tijd: per vervoermiddel,"Overig gemotoriseerd verkeer (motorrijder/-passagier, brom-/snorfiets)",2020,0.92,0.06,0.02
