Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Beringen ,71004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.55,0.22,0.23
 Berlaar ,12002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.58,0.26,0.16
 Berlaar ,12002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.79,0.14,0.07
 Berlaar ,12002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.44,0.24,0.32
 Berlaar ,12002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.26,0.18,0.57
 Berlaar ,12002,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.71,0.12,0.17
 Berlare ,42003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.62,0.24,0.14
 Berlare ,42003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.76,0.15,0.09
 Berlare ,42003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.52,0.26,0.23
 Berlare ,42003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.38,0.25,0.37
 Berlare ,42003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.64,0.2,0.17
 Bertem ,24009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.52,0.24,0.24
 Bertem ,24009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.72,0.15,0.13
 Bertem ,24009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.52,0.25,0.23
 Bertem ,24009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.08,0.1,0.83
 Bertem ,24009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.63,0.18,0.19
 Bever ,23009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.62,0.23,0.15
 Bever ,23009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.77,0.18,0.05
 Bever ,23009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.67,0.2,0.13
 Bever ,23009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.51,0.2,0.29
 Bever ,23009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.57,0.19,0.24
 Beveren ,46003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.37,0.34,0.29
 Beveren ,46003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.55,0.25,0.2
 Beveren ,46003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.33,0.3,0.37
 Beveren ,46003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.17,0.21,0.63
 Beveren ,46003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.58,0.24,0.18
 Bierbeek ,24011,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.45,0.34,0.21
 Bierbeek ,24011,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.71,0.22,0.07
 Bierbeek ,24011,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.3,0.28,0.42
 Bierbeek ,24011,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.19,0.15,0.65
 Bierbeek ,24011,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.61,0.19,0.2
 Bilzen ,73006,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.56,0.3,0.14
 Bilzen ,73006,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.65,0.27,0.08
 Bilzen ,73006,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.36,0.31,0.33
 Bilzen ,73006,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.24,0.18,0.58
 Bilzen ,73006,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.59,0.22,0.19
 Blankenberge ,31004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.31,0.24,0.45
 Blankenberge ,31004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.63,0.24,0.12
 Blankenberge ,31004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.35,0.25,0.4
 Blankenberge ,31004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.1,0.1,0.8
 Blankenberge ,31004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.49,0.29,0.22
 Bocholt ,72003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.55,0.25,0.2
 Bocholt ,72003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.68,0.18,0.14
 Bocholt ,72003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.27,0.29,0.44
 Bocholt ,72003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.52,0.15,0.32
 Bocholt ,72003,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.57,0.27,0.16
 Boechout ,11004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.26,0.29,0.44
 Boechout ,11004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.41,0.29,0.31
 Boechout ,11004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.1,0.18,0.72
 Boechout ,11004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.09,0.1,0.81
 Boechout ,11004,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.44,0.25,0.31
 Bonheiden ,12005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.28,0.23,0.49
 Bonheiden ,12005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.34,0.29,0.37
 Bonheiden ,12005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.16,0.18,0.66
 Bonheiden ,12005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.24,0.21,0.55
 Bonheiden ,12005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.4,0.29,0.3
 Boom ,11005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.34,0.31,0.35
 Boom ,11005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.25,0.22,0.52
 Boom ,11005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.32,0.33,0.35
 Boom ,11005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.08,0.1,0.82
 Boom ,11005,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.54,0.17,0.3
 Boortmeerbeek ,24014,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.54,0.22,0.25
 Boortmeerbeek ,24014,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.82,0.14,0.05
 Boortmeerbeek ,24014,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.47,0.29,0.24
 Boortmeerbeek ,24014,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.21,0.13,0.66
 Boortmeerbeek ,24014,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.72,0.13,0.16
 Borgloon ,73009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.62,0.23,0.15
 Borgloon ,73009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.7,0.17,0.14
 Borgloon ,73009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.39,0.2,0.41
 Borgloon ,73009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.28,0.19,0.53
 Borgloon ,73009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.5,0.22,0.28
 Bornem ,12007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.46,0.25,0.29
 Bornem ,12007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.36,0.33,0.3
 Bornem ,12007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.28,0.29,0.43
 Bornem ,12007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.24,0.19,0.57
 Bornem ,12007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.61,0.2,0.19
 Borsbeek ,11007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.55,0.23,0.22
 Borsbeek ,11007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.68,0.17,0.15
 Borsbeek ,11007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.33,0.29,0.38
 Borsbeek ,11007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.13,0.15,0.72
 Borsbeek ,11007,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.61,0.22,0.17
 Boutersem ,24016,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.63,0.2,0.16
 Boutersem ,24016,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.85,0.1,0.04
 Boutersem ,24016,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.71,0.16,0.12
 Boutersem ,24016,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.3,0.16,0.54
 Boutersem ,24016,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.63,0.2,0.17
 Brakel ,45059,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.44,0.27,0.29
 Brakel ,45059,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.48,0.3,0.22
 Brakel ,45059,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.47,0.27,0.26
 Brakel ,45059,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.28,0.21,0.51
 Brakel ,45059,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.51,0.24,0.25
 Brasschaat ,11008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.45,0.26,0.29
 Brasschaat ,11008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.23,0.27,0.51
 Brasschaat ,11008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.24,0.23,0.52
 Brasschaat ,11008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.12,0.15,0.73
 Brasschaat ,11008,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.35,0.27,0.39
 Brecht ,11009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Autoluwe en autovrije zones,2020,0.54,0.28,0.18
 Brecht ,11009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Deelsystemen,2020,0.69,0.23,0.09
 Brecht ,11009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Fietsinfrastructuur,2020,0.21,0.27,0.52
 Brecht ,11009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Openbaar vervoer,2020,0.18,0.17,0.65
 Brecht ,11009,nee,Voldoende aanbod duurzame mobiliteitskeuzes,Publieke laadpalen,2020,0.56,0.24,0.2
