Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,15 min of minder (%),meer dan 15 tot en met 30 min (%),meer dan 30 min tot en met 1 uur (%),meer dan een uur (%)
 Houthulst ,32006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.33,0.3,0.11
 Hove ,11021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.3,0.42,0.13
 Hove ,11021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.33,0.39,0.09
 Huldenberg ,24045,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.12,0.28,0.41,0.2
 Huldenberg ,24045,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.35,0.42,0.1
 Hulshout ,13016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.28,0.34,0.2
 Hulshout ,13016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.23,0.39,0.16
 Ichtegem ,35006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.36,0.3,0.1
 Ichtegem ,35006,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.11,0.43,0.31,0.14
 Ieper ,33011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.42,0.33,0.17,0.08
 Ieper ,33011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.4,0.28,0.24,0.08
 Ingelmunster ,36007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.37,0.2,0.13
 Ingelmunster ,36007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.4,0.26,0.05
 Izegem ,36008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.35,0.32,0.23,0.1
 Izegem ,36008,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.39,0.31,0.21,0.09
 Jabbeke ,31012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.31,0.32,0.13
 Jabbeke ,31012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.41,0.22,0.1
 Kalmthout ,11022,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.25,0.34,0.21
 Kalmthout ,11022,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.28,0.43,0.12
 Kampenhout ,23038,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.11,0.27,0.46,0.15
 Kampenhout ,23038,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.4,0.39,0.06
 Kapellen ,11023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.25,0.45,0.16
 Kapellen ,11023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.32,0.41,0.09
 Kapelle-Op-Den-Bos ,23039,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.27,0.22,0.35,0.16
 Kapelle-Op-Den-Bos ,23039,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.29,0.35,0.12
 Kaprijke ,43007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.28,0.32,0.28,0.11
 Kaprijke ,43007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.26,0.37,0.08
 Kasterlee ,13017,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.43,0.23,0.15
 Kasterlee ,13017,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.41,0.28,0.11
 Keerbergen ,24048,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.2,0.38,0.27
 Keerbergen ,24048,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.26,0.39,0.19
 Kinrooi ,72018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.28,0.34,0.25,0.13
 Kinrooi ,72018,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.35,0.31,0.26,0.08
 Kluisbergen ,45060,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.37,0.23,0.15
 Kluisbergen ,45060,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.35,0.25,0.17
 Knesselare ,44029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.35,0.23,0.19
 Knokke-Heist ,31043,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.3,0.28,0.12
 Knokke-Heist ,31043,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.24,0.27,0.21
 Koekelare ,32010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.3,0.37,0.11
 Koekelare ,32010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.41,0.27,0.06
 Koksijde ,38014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.2,0.24,0.26
 Koksijde ,38014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.36,0.21,0.24,0.19
 Kontich ,11024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.33,0.31,0.14
 Kontich ,11024,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.42,0.33,0.09
 Kortemark ,32011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.33,0.32,0.27,0.09
 Kortemark ,32011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.37,0.3,0.1
 Kortenaken ,24054,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.12,0.3,0.37,0.21
 Kortenaken ,24054,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.33,0.35,0.15
 Kortenberg ,24055,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.32,0.38,0.14
 Kortenberg ,24055,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.31,0.41,0.1
 Kortessem ,73040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.4,0.31,0.11
 Kortessem ,73040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.41,0.24,0.12
 Kortrijk ,34022,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.42,0.35,0.15,0.08
 Kortrijk ,34022,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.42,0.3,0.16,0.12
 Kortrijk ,34022,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.37,0.32,0.19,0.13
 Kraainem ,23099,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.14,0.27,0.47,0.12
 Kraainem ,23099,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.35,0.41,0.09
 Kruibeke ,46013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.3,0.39,0.15
 Kruibeke ,46013,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.12,0.3,0.48,0.11
 Kruisem ,45068,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.38,0.33,0.12
 Kruishoutem ,45017,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.35,0.3,0.09
 Kuurne ,34023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.28,0.43,0.19,0.1
 Kuurne ,34023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.34,0.38,0.19,0.09
 Laakdal ,13053,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.42,0.23,0.13
 Laakdal ,13053,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.38,0.24,0.1
 Laarne ,42010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.39,0.29,0.14
 Laarne ,42010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.46,0.22,0.11
 Lanaken ,73042,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.29,0.31,0.3,0.1
 Lanaken ,73042,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.48,0.17,0.07
 Landen ,24059,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.17,0.35,0.26
 Landen ,24059,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.24,0.37,0.2
 Langemark-Poelkapelle ,33040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.37,0.37,0.22,0.04
 Langemark-Poelkapelle ,33040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.36,0.37,0.19,0.08
 Lebbeke ,42011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.27,0.28,0.19
 Lebbeke ,42011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.3,0.39,0.14
 Lede ,41034,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.25,0.35,0.2
 Lede ,41034,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.27,0.38,0.17
 Ledegem ,36010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.46,0.21,0.09
 Ledegem ,36010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.47,0.18,0.07
 Lendelede ,34025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.33,0.43,0.19,0.06
 Lendelede ,34025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.47,0.2,0.03
 Lennik ,23104,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.23,0.34,0.22
 Lennik ,23104,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.35,0.34,0.17
 Leopoldsburg ,71034,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.31,0.28,0.17
 Leopoldsburg ,71034,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.31,0.31,0.13
 Leuven ,24062,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.36,0.27,0.27,0.09
 Leuven ,24062,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.3,0.3,0.1
 Leuven ,24062,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.3,0.31,0.11
 Lichtervelde ,36011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.41,0.27,0.08
 Lichtervelde ,36011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.42,0.23,0.06
 Liedekerke ,23044,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.12,0.25,0.35,0.28
 Liedekerke ,23044,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.23,0.51,0.11
 Lier ,12021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.29,0.35,0.12
 Lier ,12021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.25,0.33,0.16
 Lierde ,45063,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.26,0.28,0.26
 Lierde ,45063,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.22,0.3,0.22
 Lievegem ,44085,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.44,0.33,0.07
 Lille ,13019,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.33,0.32,0.15
 Lille ,13019,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.41,0.29,0.11
 Linkebeek ,23100,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.07,0.28,0.52,0.13
 Linkebeek ,23100,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.07,0.43,0.42,0.09
 Lint ,11025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.11,0.35,0.4,0.14
 Lint ,11025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.34,0.42,0.08
 Linter ,24133,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.32,0.27,0.2
 Linter ,24133,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.16,0.32,0.31,0.21
 Lochristi ,44034,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.28,0.4,0.14
 Lochristi ,44034,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.36,0.31,0.14
 Lokeren ,46014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.33,0.27,0.19
 Lokeren ,46014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.23,0.27,0.34,0.16
 Lommel ,72020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.33,0.28,0.22,0.16
 Lommel ,72020,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.31,0.27,0.11
 Londerzeel ,23045,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.25,0.44,0.14
 Londerzeel ,23045,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.35,0.35,0.09
 Lo-Reninge ,32030,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.43,0.19,0.12
 Lo-Reninge ,32030,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.32,0.4,0.17,0.11
 Lovendegem ,44036,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.29,0.44,0.12
 Lubbeek ,24066,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.13,0.34,0.39,0.14
 Lubbeek ,24066,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.11,0.37,0.4,0.11
 Lummen ,71037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.38,0.25,0.16
 Lummen ,71037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.3,0.29,0.11
 Maarkedal ,45064,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.3,0.25,0.22
 Maarkedal ,45064,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.34,0.22,0.28,0.16
 Maaseik ,72021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.29,0.3,0.1
 Maaseik ,72021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.36,0.29,0.1
 Maasmechelen ,73107,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.3,0.25,0.15
 Maasmechelen ,73107,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.38,0.24,0.08
 Machelen ,23047,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.41,0.25,0.16
 Machelen ,23047,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.34,0.31,0.27,0.08
 Maldegem ,43010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.34,0.27,0.31,0.09
 Maldegem ,43010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.36,0.31,0.08
 Malle ,11057,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.19,0.28,0.28
 Malle ,11057,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.31,0.39,0.09
 Mechelen ,12025,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.29,0.29,0.35,0.07
 Mechelen ,12025,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.33,0.37,0.1
 Mechelen ,12025,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.33,0.37,0.12
 Meerhout ,13021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.37,0.29,0.13
 Meerhout ,13021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.47,0.2,0.08
 Meeuwen-Gruitrode ,72040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.39,0.3,0.09
 Meise ,23050,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.12,0.27,0.42,0.19
 Meise ,23050,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.36,0.35,0.07
 Melle ,44040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.36,0.29,0.17
 Melle ,44040,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.39,0.28,0.08
 Menen ,34027,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.32,0.36,0.16,0.16
 Menen ,34027,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.34,0.38,0.22,0.06
 Merchtem ,23052,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.23,0.42,0.19
 Merchtem ,23052,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.28,0.46,0.11
 Merelbeke ,44043,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.34,0.34,0.15
 Merelbeke ,44043,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.4,0.26,0.12
 Merksplas ,13023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.3,0.34,0.22,0.13
 Merksplas ,13023,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.26,0.39,0.25,0.11
 Mesen ,33016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.54,0.2,0.06
 Mesen ,33016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.47,0.21,0.04
 Meulebeke ,37007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.37,0.32,0.2,0.11
 Meulebeke ,37007,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.44,0.27,0.19,0.11
 Middelkerke ,35011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.3,0.31,0.19
 Middelkerke ,35011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.35,0.3,0.22,0.13
 Moerbeke ,44045,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.12,0.27,0.44,0.17
 Moerbeke ,44045,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.41,0.32,0.13
 Mol ,13025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.29,0.32,0.21,0.18
 Mol ,13025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.3,0.25,0.16
 Moorslede ,36012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.28,0.33,0.29,0.1
 Moorslede ,36012,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.51,0.17,0.08
 Mortsel ,11029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.32,0.36,0.16
 Mortsel ,11029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.42,0.3,0.07
 Nazareth ,44048,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.34,0.32,0.16
 Nazareth ,44048,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.36,0.34,0.12
 Neerpelt ,72025,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.28,0.27,0.26,0.18
 Nevele ,44049,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.31,0.29,0.19
 Niel ,11030,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.25,0.34,0.3,0.11
 Niel ,11030,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.46,0.3,0.08
 Nieuwerkerken ,71045,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.31,0.25,0.13
 Nieuwerkerken ,71045,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.25,0.41,0.25,0.09
 Nieuwpoort ,38016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.43,0.22,0.15,0.2
 Nieuwpoort ,38016,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.28,0.27,0.17
 Nijlen ,12026,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.24,0.4,0.17
 Nijlen ,12026,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.3,0.4,0.13
 Ninove ,41048,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.22,0.23,0.33
 Ninove ,41048,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.18,0.21,0.39,0.22
 Olen ,13029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.31,0.28,0.15
 Olen ,13029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.33,0.36,0.21,0.1
 Oostende ,35013,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.47,0.24,0.17,0.12
 Oostende ,35013,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.41,0.22,0.21,0.16
 Oostende ,35013,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.39,0.26,0.2,0.15
 Oosterzele ,44052,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.15,0.27,0.41,0.16
 Oosterzele ,44052,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.28,0.39,0.16
 Oostkamp ,31022,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.18,0.43,0.22,0.17
 Oostkamp ,31022,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.46,0.23,0.09
 Oostrozebeke ,37010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.33,0.37,0.21,0.09
 Oostrozebeke ,37010,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.44,0.2,0.07
 Opglabbeek ,71047,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.4,0.28,0.1
 Opwijk ,23060,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.19,0.21,0.36,0.23
 Opwijk ,23060,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.14,0.22,0.49,0.14
 Oudenaarde ,45035,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.27,0.28,0.26,0.19
 Oudenaarde ,45035,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.3,0.25,0.17
 Oudenburg ,35014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.21,0.41,0.29,0.08
 Oudenburg ,35014,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.47,0.25,0.07
 Oud-Heverlee ,24086,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.11,0.38,0.34,0.17
 Oud-Heverlee ,24086,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.15,0.43,0.31,0.11
 Oudsbergen ,72042,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.36,0.33,0.07
 Oud-Turnhout ,13031,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.23,0.37,0.21,0.19
 Oud-Turnhout ,13031,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.29,0.36,0.23,0.13
 Overijse ,23062,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.14,0.47,0.23
 Overijse ,23062,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.2,0.29,0.43,0.08
 Overpelt ,72029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.35,0.3,0.24,0.1
 Peer ,72030,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.26,0.39,0.25,0.11
 Peer ,72030,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.28,0.38,0.25,0.09
 Pelt ,72043,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.37,0.27,0.23,0.13
 Pepingen ,23064,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.31,0.3,0.23
 Pepingen ,23064,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.22,0.25,0.36,0.17
 Pittem ,37011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.31,0.32,0.26,0.11
 Pittem ,37011,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.27,0.43,0.21,0.09
 Poperinge ,33021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.37,0.3,0.24,0.09
 Poperinge ,33021,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.34,0.35,0.24,0.08
 Putte ,12029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.2,0.33,0.29,0.17
 Putte ,12029,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.35,0.35,0.1
 Puurs ,12030,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.22,0.37,0.27,0.14
 Puurs-Sint-Amands ,12041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.22,0.35,0.12
 Ranst ,11035,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.25,0.39,0.19
 Ranst ,11035,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.17,0.35,0.39,0.08
 Ravels ,13035,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.32,0.33,0.18
 Ravels ,13035,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.21,0.39,0.29,0.1
 Retie ,13036,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.32,0.25,0.19
 Retie ,13036,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.37,0.3,0.09
 Riemst ,73066,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.16,0.37,0.3,0.16
 Riemst ,73066,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.24,0.41,0.25,0.1
 Rijkevorsel ,13037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.24,0.33,0.29,0.15
 Rijkevorsel ,13037,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.3,0.3,0.28,0.13
 Roeselare ,36015,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2014,0.48,0.32,0.14,0.06
 Roeselare ,36015,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.43,0.32,0.18,0.07
 Roeselare ,36015,ja,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.38,0.35,0.18,0.08
 Ronse ,45041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.38,0.28,0.16,0.18
 Ronse ,45041,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.31,0.22,0.3,0.17
 Roosdaal ,23097,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2017,0.17,0.29,0.31,0.24
 Roosdaal ,23097,nee,Verplaatsingen woon-werk/woon-school: tijdsduur,2020,0.19,0.25,0.4,0.17
