Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,5 km of minder (%),meer dan 5 tot en met 10 km (%),meer dan 10 tot en met 25 km (%),meer dan 25 tot en met 50km (%),meer dan 50 km (%)
 Erpe-Mere ,41082,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.22,0.24,0.33,0.11
 Essen ,11016,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.17,0.25,0.35,0.09
 Evergem ,44019,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.22,0.48,0.13,0.06
 Galmaarden ,23023,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.08,0.26,0.46,0.13
 Gavere ,44020,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.09,0.5,0.16,0.12
 Geel ,13008,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.27,0.3,0.19,0.08
 Geetbets ,24028,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.03,0.13,0.5,0.23,0.11
 Genk ,71016,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.23,0.21,0.32,0.11,0.12
 Genk ,71016,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.21,0.21,0.32,0.14,0.12
 Genk ,71016,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.22,0.19,0.35,0.13,0.11
 Gent ,44021,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.33,0.24,0.15,0.13,0.16
 Gent ,44021,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.32,0.23,0.17,0.12,0.17
 Gent ,44021,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.31,0.22,0.16,0.14,0.16
 Geraardsbergen ,41018,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.14,0.18,0.48,0.13
 Gingelom ,71017,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.09,0.3,0.29,0.23
 Gistel ,35005,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.18,0.34,0.22,0.12
 Glabbeek ,24137,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.17,0.45,0.21,0.1
 Gooik ,23024,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.04,0.06,0.54,0.28,0.07
 Grimbergen ,23025,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.23,0.46,0.1,0.07
 Grobbendonk ,13010,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.14,0.34,0.27,0.12
 Haacht ,24033,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.12,0.53,0.16,0.05
 Haaltert ,41024,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.2,0.27,0.39,0.05
 Halen ,71020,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.13,0.28,0.31,0.19
 Halle ,23027,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.26,0.13,0.45,0.13,0.04
 Ham ,71069,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.23,0.33,0.16,0.15
 Hamme ,42008,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.18,0.36,0.28,0.06
 Hamont-Achel ,72037,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.14,0.33,0.21,0.14
 Harelbeke ,34013,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.28,0.26,0.17,0.1
 Hasselt ,71022,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.32,0.22,0.22,0.11,0.13
 Hasselt ,71022,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.3,0.18,0.23,0.12,0.18
 Hasselt ,71022,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.25,0.21,0.26,0.13,0.15
 Hechtel-Eksel,72038,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.15,0.42,0.24,0.07
 Heers ,73022,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.04,0.12,0.35,0.22,0.26
 Heist-Op-Den-Berg ,12014,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.11,0.41,0.35,0.06
 Hemiksem ,11018,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.3,0.34,0.13,0.05
 Herent ,24038,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.29,0.27,0.21,0.07
 Herentals ,13011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.21,0.17,0.29,0.23,0.1
 Herenthout ,13012,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.27,0.29,0.29,0.06
 Herk-De-Stad ,71024,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.1,0.32,0.27,0.15
 Herne ,23032,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.05,0.06,0.37,0.41,0.1
 Herselt ,13013,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.12,0.4,0.31,0.11
 Herzele ,41027,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.1,0.35,0.4,0.08
 Heusden-Zolder ,71070,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.2,0.39,0.18,0.1
 Heuvelland ,33039,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.12,0.44,0.19,0.16
 Hoegaarden ,24041,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.15,0.28,0.35,0.14
 Hoeilaart ,23033,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.12,0.63,0.13,0.02
 Hoeselt ,73032,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.18,0.42,0.16,0.13
 Holsbeek ,24043,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.22,0.38,0.23,0.08
 Hooglede ,36006,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.24,0.24,0.28,0.18,0.06
 Hoogstraten ,13014,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.2,0.16,0.28,0.24,0.12
 Horebeke ,45062,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.02,0.14,0.29,0.41,0.13
 Houthalen-Helchteren ,72039,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.18,0.41,0.21,0.06
 Houthulst ,32006,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.15,0.39,0.26,0.07
 Hove ,11021,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.2,0.28,0.25,0.19,0.08
 Huldenberg ,24045,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.04,0.17,0.47,0.25,0.06
 Hulshout ,13016,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.05,0.19,0.3,0.37,0.09
 Ichtegem ,35006,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.05,0.12,0.5,0.2,0.13
 Ieper ,33011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.29,0.18,0.19,0.21,0.13
 Ingelmunster ,36007,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.21,0.42,0.15,0.04
 Izegem ,36008,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.32,0.16,0.27,0.16,0.09
 Jabbeke ,31012,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.17,0.48,0.12,0.11
 Kalmthout ,11022,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.16,0.42,0.25,0.08
 Kampenhout ,23038,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.13,0.6,0.17,0.03
 Kapellen ,11023,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.15,0.51,0.15,0.07
 Kapelle-Op-Den-Bos ,23039,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.13,0.42,0.21,0.09
 Kaprijke ,43007,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.17,0.36,0.26,0.1
 Kasterlee ,13017,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.15,0.46,0.15,0.12
 Keerbergen ,24048,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.09,0.47,0.26,0.09
 Kinrooi ,72018,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.28,0.28,0.23,0.1
 Kluisbergen ,45060,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.13,0.36,0.22,0.18
 Knokke-Heist ,31043,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.23,0.11,0.22,0.09,0.35
 Koekelare ,32010,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.09,0.47,0.19,0.08
 Koksijde ,38014,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.27,0.22,0.07,0.13,0.31
 Kontich ,11024,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.23,0.38,0.2,0.06
 Kortemark ,32011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.13,0.44,0.21,0.1
 Kortenaken ,24054,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.1,0.33,0.33,0.13
 Kortenberg ,24055,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.22,0.5,0.12,0.06
 Kortessem ,73040,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.21,0.44,0.09,0.17
 Kortrijk ,34022,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.34,0.21,0.2,0.14,0.12
 Kortrijk ,34022,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.34,0.19,0.21,0.14,0.12
 Kortrijk ,34022,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.26,0.24,0.19,0.19,0.12
 Kraainem ,23099,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.36,0.36,0.09,0.06
 Kruibeke ,46013,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.17,0.44,0.22,0.08
 Kruisem ,45068,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.15,0.45,0.22,0.13
 Kuurne ,34023,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.26,0.26,0.28,0.15,0.06
 Laakdal ,13053,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.18,0.44,0.19,0.07
 Laarne ,42010,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.14,0.5,0.14,0.11
 Lanaken ,73042,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.17,0.43,0.18,0.05
 Landen ,24059,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.08,0.24,0.33,0.22
 Langemark-Poelkapelle ,33040,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.2,0.39,0.15,0.12
 Lebbeke ,42011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.2,0.31,0.33,0.07
 Lede ,41034,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.17,0.34,0.34,0.04
 Ledegem ,36010,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.31,0.42,0.09,0.07
 Lendelede ,34025,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.28,0.36,0.14,0.05
 Lennik ,23104,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.08,0.48,0.23,0.11
 Leopoldsburg ,71034,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.11,0.36,0.23,0.16
 Leuven ,24062,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.4,0.15,0.16,0.21,0.09
 Leuven ,24062,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.38,0.17,0.18,0.2,0.07
 Leuven ,24062,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.38,0.16,0.17,0.23,0.07
 Lichtervelde ,36011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.16,0.41,0.19,0.07
 Liedekerke ,23044,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.11,0.45,0.27,0.05
 Lier ,12021,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.22,0.15,0.39,0.21,0.04
 Lierde ,45063,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.19,0.21,0.38,0.11
 Lievegem ,44085,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.14,0.56,0.11,0.08
 Lille ,13019,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.18,0.39,0.22,0.13
 Linkebeek ,23100,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.33,0.41,0.04,0.1
 Lint ,11025,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.25,0.43,0.16,0.02
 Linter ,24133,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.2,0.25,0.31,0.18
 Lochristi ,44034,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.18,0.46,0.12,0.16
 Lokeren ,46014,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.1,0.39,0.23,0.1
 Lommel ,72020,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.19,0.26,0.27,0.1
 Londerzeel ,23045,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.12,0.41,0.24,0.04
 Lo-Reninge ,32030,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.1,0.46,0.13,0.2
 Lubbeek ,24066,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.29,0.31,0.26,0.08
 Lummen ,71037,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.22,0.33,0.25,0.1
 Maarkedal ,45064,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.26,0.23,0.26,0.16
 Maaseik ,72021,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.15,0.36,0.29,0.1
 Maasmechelen ,73107,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.11,0.36,0.25,0.12
 Machelen ,23047,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.21,0.31,0.35,0.12,0.01
 Maldegem ,43010,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.13,0.12,0.36,0.27,0.12
 Malle ,11057,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.18,0.31,0.25,0.1
 Mechelen ,12025,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.24,0.16,0.33,0.2,0.08
 Mechelen ,12025,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.24,0.11,0.38,0.22,0.04
 Mechelen ,12025,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.16,0.17,0.35,0.25,0.07
 Meerhout ,13021,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.28,0.36,0.15,0.08
 Meise ,23050,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.22,0.47,0.15,0.05
 Melle ,44040,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.3,0.33,0.12,0.1
 Menen ,34027,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.25,0.21,0.34,0.13,0.08
 Merchtem ,23052,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.13,0.52,0.19,0.06
 Merelbeke ,44043,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.29,0.27,0.14,0.12
 Merksplas ,13023,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.3,0.27,0.21,0.09
 Mesen ,33016,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.08,0.12,0.49,0.25,0.06
 Meulebeke ,37007,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.34,0.29,0.17,0.06
 Middelkerke ,35011,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.17,0.25,0.29,0.12,0.17
 Moerbeke ,44045,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.05,0.11,0.44,0.35,0.05
 Mol ,13025,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.19,0.2,0.29,0.17,0.15
 Moorslede ,36012,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.19,0.46,0.13,0.09
 Mortsel ,11029,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.28,0.34,0.19,0.14,0.06
 Nazareth ,44048,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.18,0.41,0.19,0.15
 Niel ,11030,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.14,0.23,0.48,0.12,0.03
 Nieuwerkerken ,71045,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.07,0.22,0.4,0.2,0.11
 Nieuwpoort ,38016,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.22,0.14,0.24,0.16,0.23
 Nijlen ,12026,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.16,0.42,0.27,0.05
 Ninove ,41048,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.06,0.34,0.38,0.07
 Olen ,13029,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.18,0.29,0.32,0.17,0.03
 Oostende ,35013,ja,Verplaatsingen woon-werk/woon-school: afstand,2014,0.46,0.12,0.11,0.12,0.19
 Oostende ,35013,ja,Verplaatsingen woon-werk/woon-school: afstand,2017,0.39,0.13,0.15,0.15,0.18
 Oostende ,35013,ja,Verplaatsingen woon-werk/woon-school: afstand,2020,0.4,0.13,0.15,0.15,0.16
 Oosterzele ,44052,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.06,0.12,0.48,0.21,0.13
 Oostkamp ,31022,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.12,0.24,0.33,0.21,0.09
 Oostrozebeke ,37010,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.15,0.23,0.43,0.12,0.06
 Opwijk ,23060,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.09,0.1,0.43,0.33,0.06
 Oudenaarde ,45035,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.2,0.15,0.31,0.19,0.15
 Oudenburg ,35014,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.22,0.42,0.11,0.14
 Oud-Heverlee ,24086,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.11,0.32,0.23,0.23,0.1
 Oudsbergen ,72042,nee,Verplaatsingen woon-werk/woon-school: afstand,2020,0.1,0.15,0.45,0.21,0.09
