Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/een uitzonderlijke keer (%),Minstens maandelijks (%),Minstens wekelijks (%)
 Antwerpen ,11002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2017,0.4,0.14,0.46
 Antwerpen ,11002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.33,0.13,0.53
 Antwerpen ,11002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2014,0.07,0.15,0.78
 Antwerpen ,11002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2017,0.08,0.14,0.79
 Antwerpen ,11002,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.06,0.11,0.83
 Anzegem ,34002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.38,0.24,0.37
 Anzegem ,34002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.27,0.24,0.49
 Ardooie ,37020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.36,0.22,0.42
 Ardooie ,37020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.25,0.22,0.53
 Arendonk ,13001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.18,0.17,0.66
 Arendonk ,13001,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.19,0.22,0.59
 As ,71002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.41,0.22,0.37
 As ,71002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.22,0.24,0.54
 Asse ,23002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.53,0.16,0.31
 Asse ,23002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.25,0.6
 Assenede ,43002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.26,0.23,0.51
 Assenede ,43002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.22,0.23,0.55
 Avelgem ,34003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.37,0.29,0.33
 Avelgem ,34003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.2,0.31,0.49
 Baarle-Hertog ,13002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.25,0.14,0.61
 Baarle-Hertog ,13002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.09,0.16,0.75
 Balen ,13003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.24,0.26,0.5
 Balen ,13003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.21,0.3,0.49
 Beernem ,31003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.24,0.24,0.52
 Beernem ,31003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.22,0.21,0.57
 Beerse ,13004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.2,0.21,0.59
 Beerse ,13004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.21,0.62
 Beersel ,23003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.55,0.19,0.26
 Beersel ,23003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.12,0.26,0.62
 Begijnendijk ,24007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.26,0.25,0.49
 Begijnendijk ,24007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.22,0.29,0.49
 Bekkevoort ,24008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.41,0.27,0.32
 Bekkevoort ,24008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.22,0.3,0.48
 Beringen ,71004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.31,0.23,0.46
 Beringen ,71004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.22,0.26,0.52
 Berlaar ,12002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.28,0.22,0.51
 Berlaar ,12002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.12,0.26,0.62
 Berlare ,42003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.3,0.27,0.43
 Berlare ,42003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.29,0.55
 Bertem ,24009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.38,0.23,0.39
 Bertem ,24009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.09,0.24,0.67
 Bever ,23009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.57,0.21,0.22
 Bever ,23009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.2,0.32,0.47
 Beveren ,46003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.22,0.2,0.59
 Beveren ,46003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.19,0.66
 Bierbeek ,24011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.28,0.21,0.51
 Bierbeek ,24011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.24,0.61
 Bilzen ,73006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.38,0.23,0.39
 Bilzen ,73006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.21,0.64
 Blankenberge ,31004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.38,0.1,0.52
 Blankenberge ,31004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.07,0.1,0.83
 Bocholt ,72003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.28,0.21,0.51
 Bocholt ,72003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.21,0.22,0.57
 Boechout ,11004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.21,0.17,0.62
 Boechout ,11004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.12,0.2,0.68
 Bonheiden ,12005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.25,0.2,0.55
 Bonheiden ,12005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.19,0.23,0.58
 Boom ,11005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.37,0.17,0.46
 Boom ,11005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.12,0.18,0.7
 Boortmeerbeek ,24014,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.25,0.24,0.51
 Boortmeerbeek ,24014,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.18,0.25,0.57
 Borgloon ,73009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.5,0.21,0.3
 Borgloon ,73009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.17,0.25,0.58
 Bornem ,12007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.23,0.2,0.57
 Bornem ,12007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.13,0.19,0.69
 Borsbeek ,11007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.24,0.19,0.57
 Borsbeek ,11007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.09,0.16,0.75
 Boutersem ,24016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.37,0.24,0.4
 Boutersem ,24016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.17,0.25,0.59
 Brakel ,45059,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.52,0.2,0.28
 Brakel ,45059,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.18,0.3,0.52
 Brasschaat ,11008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.25,0.17,0.58
 Brasschaat ,11008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.1,0.22,0.68
 Brecht ,11009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.25,0.23,0.53
 Brecht ,11009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.23,0.62
 Bredene ,35002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.26,0.18,0.56
 Bredene ,35002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.11,0.16,0.74
 Bree ,72004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.24,0.21,0.54
 Bree ,72004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.21,0.64
 Brugge ,31005,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2014,0.25,0.16,0.58
 Brugge ,31005,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2017,0.25,0.16,0.59
 Brugge ,31005,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.21,0.15,0.64
 Brugge ,31005,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2014,0.12,0.22,0.66
 Brugge ,31005,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2017,0.14,0.19,0.67
 Brugge ,31005,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.09,0.16,0.74
 Buggenhout ,42004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.27,0.22,0.51
 Buggenhout ,42004,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.21,0.23,0.56
 Damme ,31006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.24,0.24,0.52
 Damme ,31006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.2,0.25,0.55
 De Haan ,35029,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.38,0.17,0.46
 De Haan ,35029,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.11,0.14,0.75
 De Panne ,38008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.37,0.18,0.45
 De Panne ,38008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.05,0.14,0.81
 De Pinte ,44012,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.21,0.22,0.57
 De Pinte ,44012,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.14,0.24,0.62
 Deerlijk ,34009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.29,0.24,0.47
 Deerlijk ,34009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.2,0.27,0.53
 Deinze ,44083,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.25,0.26,0.5
 Deinze ,44083,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.25,0.58
 Denderleeuw ,41011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.39,0.25,0.36
 Denderleeuw ,41011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.12,0.27,0.61
 Dendermonde ,42006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.26,0.21,0.53
 Dendermonde ,42006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.14,0.2,0.66
 Dentergem ,37002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.34,0.3,0.35
 Dentergem ,37002,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.26,0.32,0.42
 Dessel ,13006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.16,0.21,0.63
 Dessel ,13006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.17,0.26,0.58
 Destelbergen ,44013,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.23,0.21,0.55
 Destelbergen ,44013,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.22,0.62
 Diepenbeek ,71011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.31,0.21,0.48
 Diepenbeek ,71011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.22,0.23,0.55
 Diest ,24020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.33,0.2,0.48
 Diest ,24020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.18,0.18,0.64
 Diksmuide ,32003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.32,0.22,0.47
 Diksmuide ,32003,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.22,0.61
 Dilbeek ,23016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.53,0.22,0.25
 Dilbeek ,23016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.28,0.57
 Dilsen-Stokkem ,72041,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.38,0.2,0.42
 Dilsen-Stokkem ,72041,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.19,0.28,0.53
 Drogenbos ,23098,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.65,0.2,0.15
 Drogenbos ,23098,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.12,0.24,0.64
 Duffel ,12009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.24,0.24,0.52
 Duffel ,12009,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.24,0.62
 Edegem ,11013,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.25,0.17,0.59
 Edegem ,11013,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.07,0.18,0.74
 Eeklo ,43005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.31,0.15,0.54
 Eeklo ,43005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.23,0.62
 Erpe-Mere ,41082,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.42,0.21,0.37
 Erpe-Mere ,41082,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.23,0.28,0.49
 Essen ,11016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.22,0.19,0.59
 Essen ,11016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.19,0.65
 Evergem ,44019,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.27,0.25,0.47
 Evergem ,44019,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.21,0.26,0.53
 Galmaarden ,23023,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.5,0.26,0.23
 Galmaarden ,23023,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.2,0.33,0.47
 Gavere ,44020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.33,0.3,0.37
 Gavere ,44020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.21,0.3,0.49
 Geel ,13008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.19,0.18,0.63
 Geel ,13008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.21,0.2,0.6
 Geetbets ,24028,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.42,0.26,0.31
 Geetbets ,24028,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.25,0.22,0.53
 Genk ,71016,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2014,0.46,0.25,0.29
 Genk ,71016,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2017,0.51,0.22,0.27
 Genk ,71016,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.41,0.23,0.36
 Genk ,71016,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2014,0.22,0.27,0.51
 Genk ,71016,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2017,0.25,0.26,0.5
 Genk ,71016,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.18,0.26,0.56
 Gent ,44021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2014,0.37,0.17,0.45
 Gent ,44021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2017,0.35,0.14,0.51
 Gent ,44021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.27,0.14,0.6
 Gent ,44021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2014,0.09,0.2,0.7
 Gent ,44021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2017,0.11,0.17,0.73
 Gent ,44021,ja,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.07,0.15,0.78
 Geraardsbergen ,41018,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.59,0.22,0.18
 Geraardsbergen ,41018,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.32,0.52
 Gingelom ,71017,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.57,0.2,0.23
 Gingelom ,71017,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.21,0.29,0.5
 Gistel ,35005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.26,0.23,0.52
 Gistel ,35005,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.18,0.22,0.6
 Glabbeek ,24137,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.44,0.25,0.31
 Glabbeek ,24137,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.19,0.26,0.54
 Gooik ,23024,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.49,0.25,0.26
 Gooik ,23024,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.19,0.29,0.53
 Grimbergen ,23025,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.48,0.18,0.33
 Grimbergen ,23025,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.27,0.58
 Grobbendonk ,13010,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.28,0.2,0.52
 Grobbendonk ,13010,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.15,0.26,0.6
 Haacht ,24033,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.24,0.29,0.47
 Haacht ,24033,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.11,0.26,0.63
 Haaltert ,41024,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.43,0.24,0.33
 Haaltert ,41024,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.16,0.31,0.53
 Halen ,71020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.33,0.27,0.4
 Halen ,71020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.19,0.29,0.52
 Halle ,23027,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.57,0.15,0.29
 Halle ,23027,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.12,0.21,0.67
 Ham ,71069,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.31,0.23,0.46
 Ham ,71069,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.22,0.27,0.51
 Hamme ,42008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.26,0.23,0.51
 Hamme ,42008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden te voet,2020,0.19,0.18,0.63
 Hamont-Achel ,72037,nee,Duurzaam verplaatsingsgedrag voor korte afstanden (detail),Korte afstanden met fiets,2020,0.19,0.17,0.64
