Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Nooit/een uitzonderlijke keer (%),Minstens maandelijks (%),Minstens wekelijks (%)
 Herzele ,41027,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.28,0.59
 Heusden-Zolder ,71070,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.15,0.25,0.61
 Heuvelland ,33039,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.24,0.64
 Hoegaarden ,24041,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.2,0.7
 Hoeilaart ,23033,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.26,0.65
 Hoeselt ,73032,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.18,0.25,0.57
 Holsbeek ,24043,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.23,0.67
 Hooglede ,36006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.21,0.66
 Hoogstraten ,13014,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.16,0.78
 Horebeke ,45062,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.3,0.54
 Houthalen-Helchteren ,72039,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.17,0.32,0.52
 Houthulst ,32006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.27,0.63
 Hove ,11021,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.11,0.84
 Huldenberg ,24045,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.31,0.59
 Hulshout ,13016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.26,0.65
 Ichtegem ,35006,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.23,0.64
 Ieper ,33011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.16,0.75
 Ingelmunster ,36007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.28,0.6
 Izegem ,36008,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.24,0.66
 Jabbeke ,31012,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.25,0.66
 Kalmthout ,11022,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.13,0.81
 Kampenhout ,23038,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.27,0.61
 Kapellen ,11023,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.15,0.78
 Kapelle-Op-Den-Bos ,23039,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.21,0.68
 Kaprijke ,43007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.21,0.71
 Kasterlee ,13017,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.19,0.74
 Keerbergen ,24048,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.26,0.61
 Kinrooi ,72018,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.15,0.75
 Kluisbergen ,45060,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.3,0.58
 Knokke-Heist ,31043,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.03,0.11,0.86
 Koekelare ,32010,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.25,0.61
 Koksijde ,38014,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.03,0.16,0.81
 Kontich ,11024,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.17,0.76
 Kortemark ,32011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.27,0.57
 Kortenaken ,24054,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.34,0.53
 Kortenberg ,24055,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.19,0.72
 Kortessem ,73040,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.29,0.59
 Kortrijk ,34022,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.14,0.23,0.63
 Kortrijk ,34022,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.12,0.2,0.68
 Kortrijk ,34022,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.18,0.78
 Kraainem ,23099,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.19,0.73
 Kruibeke ,46013,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.19,0.74
 Kruisem ,45068,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.24,0.64
 Kuurne ,34023,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.2,0.7
 Laakdal ,13053,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.22,0.68
 Laarne ,42010,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.25,0.64
 Lanaken ,73042,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.22,0.64
 Landen ,24059,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.2,0.67
 Langemark-Poelkapelle ,33040,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.22,0.66
 Lebbeke ,42011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.18,0.7
 Lede ,41034,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.18,0.69
 Ledegem ,36010,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.23,0.66
 Lendelede ,34025,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.26,0.64
 Lennik ,23104,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.28,0.59
 Leopoldsburg ,71034,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.15,0.22,0.64
 Leuven ,24062,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.05,0.14,0.8
 Leuven ,24062,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.05,0.11,0.84
 Leuven ,24062,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.02,0.09,0.89
 Lichtervelde ,36011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.22,0.69
 Liedekerke ,23044,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.2,0.68
 Lier ,12021,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.11,0.83
 Lierde ,45063,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.18,0.3,0.52
 Lievegem ,44085,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.24,0.65
 Lille ,13019,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.2,0.72
 Linkebeek ,23100,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.19,0.73
 Lint ,11025,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.15,0.8
 Linter ,24133,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.27,0.62
 Lochristi ,44034,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.24,0.63
 Lokeren ,46014,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.18,0.77
 Lommel ,72020,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.15,0.74
 Londerzeel ,23045,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.2,0.72
 Lo-Reninge ,32030,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.24,0.61
 Lubbeek ,24066,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.24,0.63
 Lummen ,71037,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.17,0.25,0.58
 Maarkedal ,45064,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.34,0.53
 Maaseik ,72021,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.17,0.71
 Maasmechelen ,73107,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.33,0.51
 Machelen ,23047,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.21,0.65
 Maldegem ,43010,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.21,0.69
 Malle ,11057,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.18,0.77
 Mechelen ,12025,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.06,0.2,0.74
 Mechelen ,12025,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.07,0.14,0.79
 Mechelen ,12025,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.05,0.15,0.8
 Meerhout ,13021,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.19,0.71
 Meise ,23050,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.27,0.61
 Melle ,44040,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.23,0.7
 Menen ,34027,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.25,0.65
 Merchtem ,23052,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.24,0.7
 Merelbeke ,44043,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.22,0.7
 Merksplas ,13023,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.18,0.74
 Mesen ,33016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.17,0.7
 Meulebeke ,37007,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.23,0.66
 Middelkerke ,35011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.11,0.8
 Moerbeke ,44045,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.21,0.66
 Mol ,13025,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.21,0.72
 Moorslede ,36012,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.24,0.64
 Mortsel ,11029,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.03,0.08,0.88
 Nazareth ,44048,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.22,0.68
 Niel ,11030,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.06,0.15,0.79
 Nieuwerkerken ,71045,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.2,0.28,0.52
 Nieuwpoort ,38016,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.04,0.08,0.88
 Nijlen ,12026,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.09,0.19,0.72
 Ninove ,41048,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.23,0.63
 Olen ,13029,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.19,0.73
 Oostende ,35013,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.05,0.13,0.82
 Oostende ,35013,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.06,0.1,0.84
 Oostende ,35013,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.04,0.12,0.84
 Oosterzele ,44052,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.26,0.62
 Oostkamp ,31022,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.25,0.65
 Oostrozebeke ,37010,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.26,0.61
 Opwijk ,23060,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.19,0.71
 Oudenaarde ,45035,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.24,0.65
 Oudenburg ,35014,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.22,0.67
 Oud-Heverlee ,24086,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.2,0.7
 Oudsbergen ,72042,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.22,0.66
 Oud-Turnhout ,13031,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.16,0.76
 Overijse ,23062,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.29,0.61
 Peer ,72030,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.11,0.2,0.69
 Pelt ,72043,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.17,0.73
 Pepingen ,23064,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.34,0.5
 Pittem ,37011,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.14,0.25,0.61
 Poperinge ,33021,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.16,0.74
 Putte ,12029,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.2,0.72
 Puurs-Sint-Amands ,12041,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.2,0.72
 Ranst ,11035,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.16,0.76
 Ravels ,13035,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.22,0.68
 Retie ,13036,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.19,0.74
 Riemst ,73066,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.12,0.24,0.64
 Rijkevorsel ,13037,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.22,0.71
 Roeselare ,36015,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2014,0.12,0.23,0.65
 Roeselare ,36015,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2017,0.14,0.23,0.63
 Roeselare ,36015,ja,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.08,0.21,0.71
 Ronse ,45041,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.27,0.57
 Roosdaal ,23097,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.16,0.31,0.54
 Rotselaar ,24094,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.07,0.21,0.73
 Ruiselede ,37012,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.13,0.24,0.63
 Rumst ,11037,nee,Duurzaam verplaatsingsgedrag voor korte afstanden,2020,0.1,0.22,0.68
