Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Minder dan 2 dagen (%),2 dagen of meer (%)
 Evergem ,44019,nee,Thuiswerk,2020,0.71,0.29
 Galmaarden ,23023,nee,Thuiswerk,2020,0.68,0.32
 Gavere ,44020,nee,Thuiswerk,2020,0.72,0.28
 Geel ,13008,nee,Thuiswerk,2020,0.76,0.24
 Geetbets ,24028,nee,Thuiswerk,2020,0.73,0.27
 Genk ,71016,ja,Thuiswerk,2017,0.77,0.23
 Genk ,71016,ja,Thuiswerk,2020,0.76,0.24
 Gent ,44021,ja,Thuiswerk,2017,0.78,0.22
 Gent ,44021,ja,Thuiswerk,2020,0.6,0.4
 Geraardsbergen ,41018,nee,Thuiswerk,2020,0.66,0.34
 Gingelom ,71017,nee,Thuiswerk,2020,0.7,0.3
 Gistel ,35005,nee,Thuiswerk,2020,0.78,0.22
 Glabbeek ,24137,nee,Thuiswerk,2020,0.71,0.29
 Gooik ,23024,nee,Thuiswerk,2020,0.66,0.34
 Grimbergen ,23025,nee,Thuiswerk,2020,0.6,0.4
 Grobbendonk ,13010,nee,Thuiswerk,2020,0.75,0.25
 Haacht ,24033,nee,Thuiswerk,2020,0.67,0.33
 Haaltert ,41024,nee,Thuiswerk,2020,0.67,0.33
 Halen ,71020,nee,Thuiswerk,2020,0.65,0.35
 Halle ,23027,nee,Thuiswerk,2020,0.67,0.33
 Ham ,71069,nee,Thuiswerk,2020,0.85,0.15
 Hamme ,42008,nee,Thuiswerk,2020,0.74,0.26
 Hamont-Achel ,72037,nee,Thuiswerk,2020,0.77,0.23
 Harelbeke ,34013,nee,Thuiswerk,2020,0.73,0.27
 Hasselt ,71022,ja,Thuiswerk,2017,0.78,0.22
 Hasselt ,71022,ja,Thuiswerk,2020,0.67,0.33
 Hechtel-Eksel,72038,nee,Thuiswerk,2020,0.77,0.23
 Heers ,73022,nee,Thuiswerk,2020,0.7,0.3
 Heist-Op-Den-Berg ,12014,nee,Thuiswerk,2020,0.71,0.29
 Hemiksem ,11018,nee,Thuiswerk,2020,0.74,0.26
 Herent ,24038,nee,Thuiswerk,2020,0.59,0.41
 Herentals ,13011,nee,Thuiswerk,2020,0.76,0.24
 Herenthout ,13012,nee,Thuiswerk,2020,0.8,0.2
 Herk-De-Stad ,71024,nee,Thuiswerk,2020,0.69,0.31
 Herne ,23032,nee,Thuiswerk,2020,0.67,0.33
 Herselt ,13013,nee,Thuiswerk,2020,0.75,0.25
 Herzele ,41027,nee,Thuiswerk,2020,0.73,0.27
 Heusden-Zolder ,71070,nee,Thuiswerk,2020,0.69,0.31
 Heuvelland ,33039,nee,Thuiswerk,2020,0.78,0.22
 Hoegaarden ,24041,nee,Thuiswerk,2020,0.72,0.28
 Hoeilaart ,23033,nee,Thuiswerk,2020,0.57,0.43
 Hoeselt ,73032,nee,Thuiswerk,2020,0.79,0.21
 Holsbeek ,24043,nee,Thuiswerk,2020,0.59,0.41
 Hooglede ,36006,nee,Thuiswerk,2020,0.85,0.15
 Hoogstraten ,13014,nee,Thuiswerk,2020,0.75,0.25
 Horebeke ,45062,nee,Thuiswerk,2020,0.58,0.42
 Houthalen-Helchteren ,72039,nee,Thuiswerk,2020,0.8,0.2
 Houthulst ,32006,nee,Thuiswerk,2020,0.79,0.21
 Hove ,11021,nee,Thuiswerk,2020,0.62,0.38
 Huldenberg ,24045,nee,Thuiswerk,2020,0.63,0.37
 Hulshout ,13016,nee,Thuiswerk,2020,0.8,0.2
 Ichtegem ,35006,nee,Thuiswerk,2020,0.81,0.19
 Ieper ,33011,nee,Thuiswerk,2020,0.83,0.17
 Ingelmunster ,36007,nee,Thuiswerk,2020,0.81,0.19
 Izegem ,36008,nee,Thuiswerk,2020,0.75,0.25
 Jabbeke ,31012,nee,Thuiswerk,2020,0.81,0.19
 Kalmthout ,11022,nee,Thuiswerk,2020,0.71,0.29
 Kampenhout ,23038,nee,Thuiswerk,2020,0.63,0.37
 Kapellen ,11023,nee,Thuiswerk,2020,0.74,0.26
 Kapelle-Op-Den-Bos ,23039,nee,Thuiswerk,2020,0.69,0.31
 Kaprijke ,43007,nee,Thuiswerk,2020,0.73,0.27
 Kasterlee ,13017,nee,Thuiswerk,2020,0.78,0.22
 Keerbergen ,24048,nee,Thuiswerk,2020,0.67,0.33
 Kinrooi ,72018,nee,Thuiswerk,2020,0.81,0.19
 Kluisbergen ,45060,nee,Thuiswerk,2020,0.73,0.27
 Knokke-Heist ,31043,nee,Thuiswerk,2020,0.68,0.32
 Koekelare ,32010,nee,Thuiswerk,2020,0.82,0.18
 Koksijde ,38014,nee,Thuiswerk,2020,0.75,0.25
 Kontich ,11024,nee,Thuiswerk,2020,0.65,0.35
 Kortemark ,32011,nee,Thuiswerk,2020,0.81,0.19
 Kortenaken ,24054,nee,Thuiswerk,2020,0.74,0.26
 Kortenberg ,24055,nee,Thuiswerk,2020,0.63,0.37
 Kortessem ,73040,nee,Thuiswerk,2020,0.69,0.31
 Kortrijk ,34022,ja,Thuiswerk,2017,0.82,0.18
 Kortrijk ,34022,ja,Thuiswerk,2020,0.73,0.27
 Kraainem ,23099,nee,Thuiswerk,2020,0.53,0.47
 Kruibeke ,46013,nee,Thuiswerk,2020,0.7,0.3
 Kruisem ,45068,nee,Thuiswerk,2020,0.7,0.3
 Kuurne ,34023,nee,Thuiswerk,2020,0.75,0.25
 Laakdal ,13053,nee,Thuiswerk,2020,0.79,0.21
 Laarne ,42010,nee,Thuiswerk,2020,0.71,0.29
 Lanaken ,73042,nee,Thuiswerk,2020,0.76,0.24
 Landen ,24059,nee,Thuiswerk,2020,0.62,0.38
 Langemark-Poelkapelle ,33040,nee,Thuiswerk,2020,0.82,0.18
 Lebbeke ,42011,nee,Thuiswerk,2020,0.66,0.34
 Lede ,41034,nee,Thuiswerk,2020,0.68,0.32
 Ledegem ,36010,nee,Thuiswerk,2020,0.79,0.21
 Lendelede ,34025,nee,Thuiswerk,2020,0.85,0.15
 Lennik ,23104,nee,Thuiswerk,2020,0.63,0.37
 Leopoldsburg ,71034,nee,Thuiswerk,2020,0.71,0.29
 Leuven ,24062,ja,Thuiswerk,2017,0.84,0.16
 Leuven ,24062,ja,Thuiswerk,2020,0.54,0.46
 Lichtervelde ,36011,nee,Thuiswerk,2020,0.84,0.16
 Liedekerke ,23044,nee,Thuiswerk,2020,0.66,0.34
 Lier ,12021,nee,Thuiswerk,2020,0.73,0.27
 Lierde ,45063,nee,Thuiswerk,2020,0.69,0.31
 Lievegem ,44085,nee,Thuiswerk,2020,0.75,0.25
 Lille ,13019,nee,Thuiswerk,2020,0.77,0.23
 Linkebeek ,23100,nee,Thuiswerk,2020,0.51,0.49
 Lint ,11025,nee,Thuiswerk,2020,0.71,0.29
 Linter ,24133,nee,Thuiswerk,2020,0.68,0.32
 Lochristi ,44034,nee,Thuiswerk,2020,0.74,0.26
 Lokeren ,46014,nee,Thuiswerk,2020,0.71,0.29
 Lommel ,72020,nee,Thuiswerk,2020,0.77,0.23
 Londerzeel ,23045,nee,Thuiswerk,2020,0.65,0.35
 Lo-Reninge ,32030,nee,Thuiswerk,2020,0.8,0.2
 Lubbeek ,24066,nee,Thuiswerk,2020,0.61,0.39
 Lummen ,71037,nee,Thuiswerk,2020,0.74,0.26
 Maarkedal ,45064,nee,Thuiswerk,2020,0.73,0.27
 Maaseik ,72021,nee,Thuiswerk,2020,0.73,0.27
 Maasmechelen ,73107,nee,Thuiswerk,2020,0.82,0.18
 Machelen ,23047,nee,Thuiswerk,2020,0.62,0.38
 Maldegem ,43010,nee,Thuiswerk,2020,0.79,0.21
 Malle ,11057,nee,Thuiswerk,2020,0.73,0.27
 Mechelen ,12025,ja,Thuiswerk,2017,0.82,0.18
 Mechelen ,12025,ja,Thuiswerk,2020,0.62,0.38
 Meerhout ,13021,nee,Thuiswerk,2020,0.76,0.24
 Meise ,23050,nee,Thuiswerk,2020,0.68,0.32
 Melle ,44040,nee,Thuiswerk,2020,0.7,0.3
 Menen ,34027,nee,Thuiswerk,2020,0.77,0.23
 Merchtem ,23052,nee,Thuiswerk,2020,0.63,0.37
 Merelbeke ,44043,nee,Thuiswerk,2020,0.7,0.3
 Merksplas ,13023,nee,Thuiswerk,2020,0.79,0.21
 Mesen ,33016,nee,Thuiswerk,2020,0.8,0.2
 Meulebeke ,37007,nee,Thuiswerk,2020,0.77,0.23
 Middelkerke ,35011,nee,Thuiswerk,2020,0.77,0.23
 Moerbeke ,44045,nee,Thuiswerk,2020,0.76,0.24
 Mol ,13025,nee,Thuiswerk,2020,0.72,0.28
 Moorslede ,36012,nee,Thuiswerk,2020,0.82,0.18
 Mortsel ,11029,nee,Thuiswerk,2020,0.58,0.42
 Nazareth ,44048,nee,Thuiswerk,2020,0.65,0.35
 Niel ,11030,nee,Thuiswerk,2020,0.71,0.29
 Nieuwerkerken ,71045,nee,Thuiswerk,2020,0.75,0.25
 Nieuwpoort ,38016,nee,Thuiswerk,2020,0.78,0.22
 Nijlen ,12026,nee,Thuiswerk,2020,0.76,0.24
 Ninove ,41048,nee,Thuiswerk,2020,0.65,0.35
 Olen ,13029,nee,Thuiswerk,2020,0.79,0.21
 Oostende ,35013,ja,Thuiswerk,2017,0.79,0.21
 Oostende ,35013,ja,Thuiswerk,2020,0.74,0.26
 Oosterzele ,44052,nee,Thuiswerk,2020,0.63,0.37
 Oostkamp ,31022,nee,Thuiswerk,2020,0.77,0.23
 Oostrozebeke ,37010,nee,Thuiswerk,2020,0.87,0.13
 Opwijk ,23060,nee,Thuiswerk,2020,0.74,0.26
 Oudenaarde ,45035,nee,Thuiswerk,2020,0.72,0.28
 Oudenburg ,35014,nee,Thuiswerk,2020,0.78,0.22
 Oud-Heverlee ,24086,nee,Thuiswerk,2020,0.61,0.39
 Oudsbergen ,72042,nee,Thuiswerk,2020,0.74,0.26
 Oud-Turnhout ,13031,nee,Thuiswerk,2020,0.7,0.3
 Overijse ,23062,nee,Thuiswerk,2020,0.56,0.44
 Peer ,72030,nee,Thuiswerk,2020,0.82,0.18
 Pelt ,72043,nee,Thuiswerk,2020,0.75,0.25
 Pepingen ,23064,nee,Thuiswerk,2020,0.62,0.38
 Pittem ,37011,nee,Thuiswerk,2020,0.83,0.17
 Poperinge ,33021,nee,Thuiswerk,2020,0.82,0.18
 Putte ,12029,nee,Thuiswerk,2020,0.78,0.22
 Puurs-Sint-Amands ,12041,nee,Thuiswerk,2020,0.72,0.28
 Ranst ,11035,nee,Thuiswerk,2020,0.74,0.26
 Ravels ,13035,nee,Thuiswerk,2020,0.81,0.19
 Retie ,13036,nee,Thuiswerk,2020,0.79,0.21
 Riemst ,73066,nee,Thuiswerk,2020,0.73,0.27
 Rijkevorsel ,13037,nee,Thuiswerk,2020,0.82,0.18
 Roeselare ,36015,ja,Thuiswerk,2017,0.82,0.18
 Roeselare ,36015,ja,Thuiswerk,2020,0.79,0.21
 Ronse ,45041,nee,Thuiswerk,2020,0.67,0.33
 Roosdaal ,23097,nee,Thuiswerk,2020,0.71,0.29
 Rotselaar ,24094,nee,Thuiswerk,2020,0.65,0.35
 Ruiselede ,37012,nee,Thuiswerk,2020,0.77,0.23
 Rumst ,11037,nee,Thuiswerk,2020,0.68,0.32
 Schelle ,11038,nee,Thuiswerk,2020,0.68,0.32
 Scherpenheuvel-Zichem ,24134,nee,Thuiswerk,2020,0.71,0.29
 Schilde ,11039,nee,Thuiswerk,2020,0.67,0.33
 Schoten ,11040,nee,Thuiswerk,2020,0.64,0.36
 Sint-Genesius-Rode ,23101,nee,Thuiswerk,2020,0.52,0.48
 Sint-Gillis-Waas ,46020,nee,Thuiswerk,2020,0.77,0.23
 Sint-Katelijne-Waver ,12035,nee,Thuiswerk,2020,0.67,0.33
 Sint-Laureins ,43014,nee,Thuiswerk,2020,0.81,0.19
 Sint-Lievens-Houtem ,41063,nee,Thuiswerk,2020,0.75,0.25
 Sint-Martens-Latem ,44064,nee,Thuiswerk,2020,0.62,0.38
 Sint-Niklaas ,46021,ja,Thuiswerk,2017,0.82,0.18
 Sint-Niklaas ,46021,ja,Thuiswerk,2020,0.73,0.27
 Sint-Pieters-Leeuw ,23077,nee,Thuiswerk,2020,0.7,0.3
 Sint-Truiden ,71053,nee,Thuiswerk,2020,0.69,0.31
 Spiere-Helkijn ,34043,nee,Thuiswerk,2020,0.74,0.26
 Stabroek ,11044,nee,Thuiswerk,2020,0.71,0.29
 Staden ,36019,nee,Thuiswerk,2020,0.8,0.2
 Steenokkerzeel ,23081,nee,Thuiswerk,2020,0.6,0.4
 Stekene ,46024,nee,Thuiswerk,2020,0.79,0.21
 Temse ,46025,nee,Thuiswerk,2020,0.76,0.24
 Ternat ,23086,nee,Thuiswerk,2020,0.6,0.4
 Tervuren ,24104,nee,Thuiswerk,2020,0.48,0.52
 Tessenderlo ,71057,nee,Thuiswerk,2020,0.76,0.24
 Tielt ,37015,nee,Thuiswerk,2020,0.82,0.18
 Tielt-Winge ,24135,nee,Thuiswerk,2020,0.62,0.38
 Tienen ,24107,nee,Thuiswerk,2020,0.67,0.33
 Tongeren ,73083,nee,Thuiswerk,2020,0.77,0.23
 Torhout ,31033,nee,Thuiswerk,2020,0.83,0.17
 Tremelo ,24109,nee,Thuiswerk,2020,0.77,0.23
 Turnhout ,13040,ja,Thuiswerk,2017,0.8,0.2
 Turnhout ,13040,ja,Thuiswerk,2020,0.72,0.28
 Veurne ,38025,nee,Thuiswerk,2020,0.82,0.18
 Vilvoorde ,23088,nee,Thuiswerk,2020,0.5,0.5
 Vleteren ,33041,nee,Thuiswerk,2020,0.86,0.14
 Voeren ,73109,nee,Thuiswerk,2020,0.65,0.35
 Vorselaar ,13044,nee,Thuiswerk,2020,0.79,0.21
 Vosselaar ,13046,nee,Thuiswerk,2020,0.76,0.24
 Waasmunster ,42023,nee,Thuiswerk,2020,0.75,0.25
 Wachtebeke ,44073,nee,Thuiswerk,2020,0.8,0.2
 Waregem ,34040,nee,Thuiswerk,2020,0.78,0.22
 Wellen ,73098,nee,Thuiswerk,2020,0.77,0.23
 Wemmel ,23102,nee,Thuiswerk,2020,0.62,0.38
 Wervik ,33029,nee,Thuiswerk,2020,0.85,0.15
 Westerlo ,13049,nee,Thuiswerk,2020,0.78,0.22
 Wetteren ,42025,nee,Thuiswerk,2020,0.65,0.35
 Wevelgem ,34041,nee,Thuiswerk,2020,0.83,0.17
 Wezembeek-Oppem ,23103,nee,Thuiswerk,2020,0.55,0.45
 Wichelen ,42026,nee,Thuiswerk,2020,0.72,0.28
 Wielsbeke ,37017,nee,Thuiswerk,2020,0.79,0.21
 Wijnegem ,11050,nee,Thuiswerk,2020,0.66,0.34
 Willebroek ,12040,nee,Thuiswerk,2020,0.74,0.26
 Wingene ,37018,nee,Thuiswerk,2020,0.79,0.21
 Wommelgem ,11052,nee,Thuiswerk,2020,0.77,0.23
 Wortegem-Petegem ,45061,nee,Thuiswerk,2020,0.77,0.23
 Wuustwezel ,11053,nee,Thuiswerk,2020,0.72,0.28
 Zandhoven ,11054,nee,Thuiswerk,2020,0.74,0.26
 Zaventem ,23094,nee,Thuiswerk,2020,0.59,0.41
 Zedelgem ,31040,nee,Thuiswerk,2020,0.74,0.26
 Zele ,42028,nee,Thuiswerk,2020,0.83,0.17
 Zelzate ,43018,nee,Thuiswerk,2020,0.76,0.24
 Zemst ,23096,nee,Thuiswerk,2020,0.61,0.39
 Zoersel ,11055,nee,Thuiswerk,2020,0.73,0.27
 Zonhoven ,71066,nee,Thuiswerk,2020,0.85,0.15
 Zonnebeke ,33037,nee,Thuiswerk,2020,0.83,0.17
 Zottegem ,41081,nee,Thuiswerk,2020,0.63,0.37
 Zoutleeuw ,24130,nee,Thuiswerk,2020,0.79,0.21
 Zuienkerke ,31042,nee,Thuiswerk,2020,0.79,0.21
 Zulte ,44081,nee,Thuiswerk,2020,0.71,0.29
 Zutendaal ,71067,nee,Thuiswerk,2020,0.72,0.28
 Zwalm ,45065,nee,Thuiswerk,2020,0.68,0.32
 Zwevegem ,34042,nee,Thuiswerk,2020,0.74,0.26
 Zwijndrecht ,11056,nee,Thuiswerk,2020,0.67,0.33
13 centrumsteden,/,/,Thuiswerk,2017,0.8,0.2
13 centrumsteden,/,/,Thuiswerk,2020,0.66,0.34
Gemeenten groter dan 50.000 inw.,/,/,Thuiswerk,2020,0.66,0.34
Gemeenten kleiner dan 10.000 inw.,/,/,Thuiswerk,2020,0.74,0.26
Gemeenten van 10.000 tot 20.000 inw.,/,/,Thuiswerk,2020,0.72,0.28
Gemeenten van 20.000 tot 30.000 inw.,/,/,Thuiswerk,2020,0.72,0.28
Gemeenten van 30.000 tot 50.000 inw.,/,/,Thuiswerk,2020,0.71,0.29
Vlaams Gewest,/,/,Thuiswerk,2020,0.7,0.3
