Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Bredene ,35002,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.07,0.91
 Bredene ,35002,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.08,0.88
 Bree ,72004,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.09,0.85
 Bree ,72004,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.1,0.84
 Brugge ,31005,ja,Tevredenheid over huisvuilvoorzieningen,2011,0.04,0.09,0.86
 Brugge ,31005,ja,Tevredenheid over huisvuilvoorzieningen,2014,0.05,0.09,0.86
 Brugge ,31005,ja,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.08,0.88
 Brugge ,31005,ja,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.08,0.86
 Buggenhout ,42004,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.08,0.86
 Buggenhout ,42004,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.06,0.88
 Damme ,31006,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.07,0.89
 Damme ,31006,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.11,0.11,0.78
 De Haan ,35029,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.07,0.87
 De Haan ,35029,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.08,0.14,0.78
 De Panne ,38008,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.07,0.87
 De Panne ,38008,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.06,0.9
 De Pinte ,44012,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.06,0.9
 De Pinte ,44012,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.07,0.85
 Deerlijk ,34009,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.07,0.89
 Deerlijk ,34009,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.08,0.88
 Deinze ,44011,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.1,0.82
 Deinze ,44083,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.11,0.1,0.79
 Denderleeuw ,41011,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.06,0.88
 Denderleeuw ,41011,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.09,0.85
 Dendermonde ,42006,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.13,0.79
