Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Laag (%),Middelmatig (%),Hoog (%)
 Boutersem ,24016,nee,Milieubewust handelen,2020,0.26,0.46,0.28
 Brakel ,45059,nee,Milieubewust handelen,2020,0.26,0.48,0.26
 Brasschaat ,11008,nee,Milieubewust handelen,2020,0.17,0.45,0.38
 Brecht ,11009,nee,Milieubewust handelen,2020,0.22,0.5,0.28
 Bredene ,35002,nee,Milieubewust handelen,2020,0.26,0.49,0.26
 Bree ,72004,nee,Milieubewust handelen,2020,0.19,0.53,0.27
 Brugge ,31005,ja,Milieubewust handelen,2020,0.15,0.48,0.37
 Buggenhout ,42004,nee,Milieubewust handelen,2020,0.23,0.48,0.29
 Damme ,31006,nee,Milieubewust handelen,2020,0.2,0.52,0.28
 De Haan ,35029,nee,Milieubewust handelen,2020,0.22,0.5,0.27
 De Panne ,38008,nee,Milieubewust handelen,2020,0.23,0.51,0.26
 De Pinte ,44012,nee,Milieubewust handelen,2020,0.15,0.42,0.43
 Deerlijk ,34009,nee,Milieubewust handelen,2020,0.3,0.45,0.25
 Deinze ,44083,nee,Milieubewust handelen,2020,0.2,0.49,0.31
 Denderleeuw ,41011,nee,Milieubewust handelen,2020,0.25,0.54,0.21
 Dendermonde ,42006,nee,Milieubewust handelen,2020,0.22,0.5,0.28
 Dentergem ,37002,nee,Milieubewust handelen,2020,0.3,0.5,0.19
 Dessel ,13006,nee,Milieubewust handelen,2020,0.19,0.55,0.26
 Destelbergen ,44013,nee,Milieubewust handelen,2020,0.18,0.47,0.35
 Diepenbeek ,71011,nee,Milieubewust handelen,2020,0.22,0.51,0.27
 Diest ,24020,nee,Milieubewust handelen,2020,0.19,0.52,0.29
 Diksmuide ,32003,nee,Milieubewust handelen,2020,0.23,0.52,0.25
 Dilbeek ,23016,nee,Milieubewust handelen,2020,0.23,0.52,0.25
 Dilsen-Stokkem ,72041,nee,Milieubewust handelen,2020,0.29,0.51,0.19
 Drogenbos ,23098,nee,Milieubewust handelen,2020,0.29,0.46,0.25
 Duffel ,12009,nee,Milieubewust handelen,2020,0.19,0.51,0.3
 Edegem ,11013,nee,Milieubewust handelen,2020,0.15,0.52,0.34
 Eeklo ,43005,nee,Milieubewust handelen,2020,0.28,0.51,0.22
 Erpe-Mere ,41082,nee,Milieubewust handelen,2020,0.29,0.46,0.25
 Essen ,11016,nee,Milieubewust handelen,2020,0.19,0.51,0.3
 Evergem ,44019,nee,Milieubewust handelen,2020,0.23,0.5,0.26
 Galmaarden ,23023,nee,Milieubewust handelen,2020,0.28,0.47,0.26
 Gavere ,44020,nee,Milieubewust handelen,2020,0.24,0.54,0.22
 Geel ,13008,nee,Milieubewust handelen,2020,0.15,0.51,0.34
 Geetbets ,24028,nee,Milieubewust handelen,2020,0.29,0.5,0.21
 Genk ,71016,ja,Milieubewust handelen,2020,0.25,0.53,0.22
 Gent ,44021,ja,Milieubewust handelen,2020,0.15,0.39,0.46
 Geraardsbergen ,41018,nee,Milieubewust handelen,2020,0.32,0.5,0.19
