Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/een uitzonderlijke keer (%) ,Minstens maandelijks (%),Minstens wekelijks (%) 
 Alveringem ,38002,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.27,0.24,0.5
 Alveringem ,38002,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.8,0.12,0.09
 Alveringem ,38002,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.22,0.09,0.69
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.29,0.24,0.47
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2014,0.52,0.22,0.25
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2017,0.48,0.22,0.3
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.42,0.28,0.3
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2014,0.42,0.16,0.42
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2017,0.4,0.14,0.46
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.33,0.13,0.53
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Korte afstanden te voet,2014,0.07,0.15,0.78
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Korte afstanden te voet,2017,0.08,0.14,0.79
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.06,0.11,0.83
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.33,0.07,0.6
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2014,0.7,0.16,0.13
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2017,0.69,0.16,0.15
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.36,0.28,0.36
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.51,0.27,0.22
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Seizoensgroenten,2017,0.35,0.26,0.39
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Seizoensgroenten,2020,0.31,0.25,0.43
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Vegetarisch eten,2017,0.53,0.24,0.23
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Vegetarisch eten,2020,0.46,0.2,0.34
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Weggooien eten beperken,2017,0.24,0.15,0.61
 Antwerpen ,11002,ja,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.21,0.15,0.64
 Anzegem ,34002,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.31,0.22,0.47
 Anzegem ,34002,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.58,0.26,0.16
 Anzegem ,34002,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.38,0.24,0.37
 Anzegem ,34002,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.27,0.24,0.49
 Anzegem ,34002,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.43,0.05,0.52
 Anzegem ,34002,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.29,0.34,0.37
 Anzegem ,34002,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.68,0.19,0.12
 Anzegem ,34002,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.3,0.28,0.42
 Anzegem ,34002,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.71,0.15,0.14
 Anzegem ,34002,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.21,0.13,0.66
 Ardooie ,37020,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.32,0.22,0.46
 Ardooie ,37020,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.64,0.2,0.16
 Ardooie ,37020,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.36,0.22,0.42
 Ardooie ,37020,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.25,0.22,0.53
 Ardooie ,37020,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.45,0.06,0.49
 Ardooie ,37020,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.21,0.27,0.53
 Ardooie ,37020,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.66,0.21,0.14
 Ardooie ,37020,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.29,0.25,0.46
 Ardooie ,37020,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.76,0.11,0.12
 Ardooie ,37020,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.17,0.13,0.7
 Arendonk ,13001,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.3,0.27,0.42
 Arendonk ,13001,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.54,0.27,0.2
 Arendonk ,13001,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.18,0.17,0.66
 Arendonk ,13001,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.19,0.22,0.59
 Arendonk ,13001,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.24,0.04,0.73
 Arendonk ,13001,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.31,0.29,0.4
 Arendonk ,13001,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.61,0.22,0.16
 Arendonk ,13001,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.31,0.27,0.43
 Arendonk ,13001,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.67,0.15,0.17
 Arendonk ,13001,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.21,0.16,0.63
 As ,71002,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.31,0.21,0.48
 As ,71002,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.55,0.23,0.22
 As ,71002,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.41,0.22,0.37
 As ,71002,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.22,0.24,0.54
 As ,71002,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.23,0.06,0.71
 As ,71002,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.41,0.28,0.31
 As ,71002,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.6,0.24,0.16
 As ,71002,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.38,0.27,0.35
 As ,71002,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.66,0.18,0.16
 As ,71002,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.2,0.13,0.67
 Asse ,23002,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.3,0.24,0.46
 Asse ,23002,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.44,0.35,0.22
 Asse ,23002,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.53,0.16,0.31
 Asse ,23002,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.15,0.25,0.6
 Asse ,23002,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.32,0.07,0.61
 Asse ,23002,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.31,0.29,0.4
 Asse ,23002,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.62,0.23,0.16
 Asse ,23002,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.27,0.25,0.47
 Asse ,23002,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.58,0.23,0.19
 Asse ,23002,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.21,0.18,0.61
 Assenede ,43002,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.25,0.26,0.49
 Assenede ,43002,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.54,0.26,0.2
 Assenede ,43002,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.26,0.23,0.51
 Assenede ,43002,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.22,0.23,0.55
 Assenede ,43002,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.34,0.07,0.59
 Assenede ,43002,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.24,0.29,0.47
 Assenede ,43002,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.6,0.25,0.15
 Assenede ,43002,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.27,0.25,0.48
 Assenede ,43002,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.68,0.16,0.17
 Assenede ,43002,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.16,0.13,0.71
