Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Eeklo ,43005,nee,Voldoende groen buurt,2020,0.14,0.13,0.73
 Erpe-Mere ,41082,nee,Voldoende groen buurt,2017,0.14,0.13,0.73
 Erpe-Mere ,41082,nee,Voldoende groen buurt,2020,0.13,0.08,0.79
 Essen ,11016,nee,Voldoende groen buurt,2017,0.06,0.06,0.88
 Essen ,11016,nee,Voldoende groen buurt,2020,0.08,0.07,0.85
 Evergem ,44019,nee,Voldoende groen buurt,2017,0.14,0.12,0.74
 Evergem ,44019,nee,Voldoende groen buurt,2020,0.11,0.1,0.79
 Galmaarden ,23023,nee,Voldoende groen buurt,2017,0.03,0.04,0.93
 Galmaarden ,23023,nee,Voldoende groen buurt,2020,0.05,0.06,0.89
 Gavere ,44020,nee,Voldoende groen buurt,2017,0.12,0.1,0.78
 Gavere ,44020,nee,Voldoende groen buurt,2020,0.15,0.1,0.75
 Geel ,13008,nee,Voldoende groen buurt,2017,0.15,0.09,0.76
 Geel ,13008,nee,Voldoende groen buurt,2020,0.15,0.1,0.75
 Geetbets ,24028,nee,Voldoende groen buurt,2017,0.02,0.09,0.88
 Geetbets ,24028,nee,Voldoende groen buurt,2020,0.05,0.06,0.89
 Genk ,71016,ja,Voldoende groen buurt,2008,0.05,0.06,0.88
 Genk ,71016,ja,Voldoende groen buurt,2011,0.08,0.07,0.85
 Genk ,71016,ja,Voldoende groen buurt,2014,0.07,0.07,0.86
 Genk ,71016,ja,Voldoende groen buurt,2017,0.06,0.07,0.87
 Genk ,71016,ja,Voldoende groen buurt,2020,0.06,0.06,0.88
 Gent ,44021,ja,Voldoende groen buurt,2008,0.23,0.13,0.63
 Gent ,44021,ja,Voldoende groen buurt,2011,0.21,0.11,0.68
 Gent ,44021,ja,Voldoende groen buurt,2014,0.17,0.14,0.69
 Gent ,44021,ja,Voldoende groen buurt,2017,0.18,0.1,0.72
 Gent ,44021,ja,Voldoende groen buurt,2020,0.2,0.1,0.7
 Geraardsbergen ,41018,nee,Voldoende groen buurt,2017,0.14,0.09,0.77
 Geraardsbergen ,41018,nee,Voldoende groen buurt,2020,0.12,0.09,0.78
 Gingelom ,71017,nee,Voldoende groen buurt,2017,0.09,0.08,0.84
 Gingelom ,71017,nee,Voldoende groen buurt,2020,0.09,0.06,0.84
 Gistel ,35005,nee,Voldoende groen buurt,2017,0.14,0.09,0.77
 Gistel ,35005,nee,Voldoende groen buurt,2020,0.13,0.11,0.76
 Glabbeek ,24137,nee,Voldoende groen buurt,2017,0.04,0.06,0.91
 Glabbeek ,24137,nee,Voldoende groen buurt,2020,0.04,0.02,0.94
 Gooik ,23024,nee,Voldoende groen buurt,2017,0.05,0.06,0.89
 Gooik ,23024,nee,Voldoende groen buurt,2020,0.06,0.06,0.88
 Grimbergen ,23025,nee,Voldoende groen buurt,2017,0.13,0.08,0.8
 Grimbergen ,23025,nee,Voldoende groen buurt,2020,0.14,0.1,0.76
 Grobbendonk ,13010,nee,Voldoende groen buurt,2017,0.08,0.05,0.87
 Grobbendonk ,13010,nee,Voldoende groen buurt,2020,0.04,0.05,0.9
 Haacht ,24033,nee,Voldoende groen buurt,2017,0.11,0.09,0.81
 Haacht ,24033,nee,Voldoende groen buurt,2020,0.11,0.1,0.79
 Haaltert ,41024,nee,Voldoende groen buurt,2017,0.08,0.08,0.83
 Haaltert ,41024,nee,Voldoende groen buurt,2020,0.1,0.1,0.8
 Halen ,71020,nee,Voldoende groen buurt,2017,0.05,0.09,0.86
 Halen ,71020,nee,Voldoende groen buurt,2020,0.07,0.06,0.87
 Halle ,23027,nee,Voldoende groen buurt,2017,0.16,0.13,0.7
 Halle ,23027,nee,Voldoende groen buurt,2020,0.15,0.11,0.74
 Ham ,71069,nee,Voldoende groen buurt,2017,0.08,0.05,0.87
 Ham ,71069,nee,Voldoende groen buurt,2020,0.05,0.05,0.9
 Hamme ,42008,nee,Voldoende groen buurt,2017,0.07,0.1,0.83
 Hamme ,42008,nee,Voldoende groen buurt,2020,0.14,0.09,0.77
 Hamont-Achel ,72037,nee,Voldoende groen buurt,2017,0.05,0.07,0.89
 Hamont-Achel ,72037,nee,Voldoende groen buurt,2020,0.05,0.07,0.89
 Harelbeke ,34013,nee,Voldoende groen buurt,2017,0.1,0.12,0.78
 Harelbeke ,34013,nee,Voldoende groen buurt,2020,0.15,0.11,0.74
 Hasselt ,71022,ja,Voldoende groen buurt,2008,0.1,0.1,0.8
 Hasselt ,71022,ja,Voldoende groen buurt,2011,0.09,0.08,0.83
 Hasselt ,71022,ja,Voldoende groen buurt,2014,0.12,0.09,0.79
 Hasselt ,71022,ja,Voldoende groen buurt,2017,0.1,0.07,0.83
 Hasselt ,71022,ja,Voldoende groen buurt,2020,0.13,0.08,0.79
 Hechtel-Eksel ,72038,nee,Voldoende groen buurt,2017,0.02,0.02,0.96
 Hechtel-Eksel ,72038,nee,Voldoende groen buurt,2020,0.03,0.01,0.95
 Heers ,73022,nee,Voldoende groen buurt,2017,0.04,0.05,0.9
 Heers ,73022,nee,Voldoende groen buurt,2020,0.04,0.04,0.92
 Heist-Op-Den-Berg ,12014,nee,Voldoende groen buurt,2017,0.08,0.07,0.85
 Heist-Op-Den-Berg ,12014,nee,Voldoende groen buurt,2020,0.13,0.07,0.8
 Hemiksem ,11018,nee,Voldoende groen buurt,2017,0.2,0.15,0.65
 Hemiksem ,11018,nee,Voldoende groen buurt,2020,0.18,0.12,0.7
 Herent ,24038,nee,Voldoende groen buurt,2017,0.16,0.09,0.75
 Herent ,24038,nee,Voldoende groen buurt,2020,0.15,0.1,0.75
 Herentals ,13011,nee,Voldoende groen buurt,2017,0.11,0.09,0.8
 Herentals ,13011,nee,Voldoende groen buurt,2020,0.12,0.08,0.8
 Herenthout ,13012,nee,Voldoende groen buurt,2017,0.07,0.1,0.83
 Herenthout ,13012,nee,Voldoende groen buurt,2020,0.07,0.08,0.85
 Herk-De-Stad ,71024,nee,Voldoende groen buurt,2017,0.05,0.06,0.9
 Herk-De-Stad ,71024,nee,Voldoende groen buurt,2020,0.06,0.04,0.9
 Herne ,23032,nee,Voldoende groen buurt,2017,0.05,0.06,0.89
 Herne ,23032,nee,Voldoende groen buurt,2020,0.06,0.05,0.89
 Herselt ,13013,nee,Voldoende groen buurt,2017,0.07,0.06,0.88
 Herselt ,13013,nee,Voldoende groen buurt,2020,0.05,0.04,0.91
 Herzele ,41027,nee,Voldoende groen buurt,2017,0.08,0.09,0.83
 Herzele ,41027,nee,Voldoende groen buurt,2020,0.09,0.05,0.87
 Heusden-Zolder ,71070,nee,Voldoende groen buurt,2017,0.1,0.08,0.82
 Heusden-Zolder ,71070,nee,Voldoende groen buurt,2020,0.07,0.07,0.86
 Heuvelland ,33039,nee,Voldoende groen buurt,2017,0.04,0.06,0.9
 Heuvelland ,33039,nee,Voldoende groen buurt,2020,0.05,0.05,0.9
 Hoegaarden ,24041,nee,Voldoende groen buurt,2017,0.06,0.09,0.85
 Hoegaarden ,24041,nee,Voldoende groen buurt,2020,0.1,0.04,0.86
 Hoeilaart ,23033,nee,Voldoende groen buurt,2017,0.04,0.04,0.92
 Hoeilaart ,23033,nee,Voldoende groen buurt,2020,0.03,0.06,0.91
 Hoeselt ,73032,nee,Voldoende groen buurt,2017,0.08,0.09,0.83
