,Gemeente,NSI-code,Vrouw,Man
185,Genepiën,25031,7914,7697
186,Genk,71016,33954,33055
187,Gent,44021,132891,132195
188,Geraardsbergen,41018,17402,16926
189,Gerpinnes,52025,6637,6134
190,Gesves,92054,3668,3666
191,Gingelom,71017,4243,4240
192,Gistel,35005,6114,5992
193,Glabbeek,24137,2726,2618
194,Gooik,23024,4757,4635
195,Gouvy,82037,2693,2713
196,Graven,25037,7153,6852
197,Grimbergen,23025,19870,18669
198,Grobbendonk,13010,5718,5724
199,Grâce-Hollogne,62118,11688,11349
200,Haacht,24033,7780,7484
201,Haaltert,41024,9615,9345
202,Habay,85046,4330,4256
203,Halen,71020,4743,4732
204,Halle (Halle-Vilvoorde),23027,21197,20087
205,Ham,71069,5584,5579
206,Ham-sur-Heure-Nalinnes,56086,7129,6596
207,Hamme (Dendermonde),42008,12736,12405
208,Hamoir,61024,1912,1877
209,Hamois,91059,3678,3708
210,Hamont-Achel,72037,7092,7283
211,Hannuit,64034,8767,8201
212,Harelbeke,34013,14543,14552
213,Hasselt,71022,40606,38918
214,Hastière,91142,2959,3130
215,Havelange,91064,2695,2611
216,Hechtel-Eksel,72038,6287,6473
217,Heers,73022,3727,3730
218,Heist-op-den-Berg,12014,22064,21530
219,Hemiksem,11018,5921,5891
220,Hensies,53039,3554,3272
221,Herbeumont,84029,805,872
222,Herent,24038,11448,10982
223,Herentals,13011,14379,14076
224,Herenthout,13012,4686,4601
225,Herk-de-Stad,71024,6447,6309
226,Herne,23032,3410,3333
227,Herselt,13013,7306,7425
228,Herstal,62051,20861,19620
229,Herstappe,73028,37,42
230,Herve,63035,8985,8689
231,Herzele,41027,9347,9142
232,Heusden-Zolder,71070,17293,16950
233,Heuvelland,33039,3878,4113
234,Hoegaarden,24041,3391,3420
235,Hoei,61031,11020,10385
236,Hoeilaart,23033,5850,5583
237,Hoeselt,73032,4949,4884
238,Holsbeek,24043,5066,5044
239,Honnelles,53083,2615,2563
240,Hooglede,36006,4938,5065
241,Hoogstraten,13014,10746,11149
242,Horebeke,45062,1051,972
243,Hotton,83028,2883,2824
244,Houffalize,82014,2563,2670
245,Houthalen-Helchteren,72039,15405,15439
246,Houthulst,32006,5116,5151
247,Houyet,91072,2570,2497
248,Hove (Antwerpen),11021,4318,3993
249,Huldenberg,24045,5091,4926
250,Hulshout,13016,5275,5285
251,Hélécine,25118,1844,1843
252,Héron,61028,2801,2759
253,Ichtegem,35006,7027,7112
254,Ieper,33011,17741,17298
