,Gemeente,NSI-code,Aantal
74,Bouillon,84010,5433
75,Boussu,53014,19913
76,Boutersem,24016,8386
77,Braives,64015,6442
78,Brakel,45059,14850
79,Brasschaat,11008,38237
80,Brecht,11009,30143
81,Bredene,35002,18167
82,Bree,72004,16324
83,Brugelette,51012,3776
84,Brugge,31005,118509
85,Brunehaut,57093,8167
86,Brussel,21004,188737
87,Buggenhout,42004,14748
88,Burdinne,61010,3306
89,Burg-Reuland,63087,3940
90,Büllingen,63012,5475
91,Bütgenbach,63013,5607
92,Celles (Doornik),57018,5675
93,Cerfontaine,93010,5014
94,Chapelle-lez-Herlaimont,52010,14672
95,Charleroi,52011,202421
96,Chastre,25117,7727
97,Chaudfontaine,62022,20556
98,Chaumont-Gistoux,25018,11685
99,Chimay,56016,9769
100,Chiny,85007,5292
101,Chièvres,51014,7004
102,Châtelet,52012,35527
103,Ciney,91030,17007
104,Clavier,61012,4848
105,Colfontaine,53082,20714
106,Comblain-au-Pont,62026,5321
107,Courcelles,52015,31148
108,Court-Saint-Etienne,25023,10603
109,Couvin,93014,13871
110,Crisnée,64021,3517
111,Dalhem,62027,7649
112,Damme,31006,11044
113,Daverdisse,84016,1408
114,De Haan,35029,12740
115,De Panne,38008,11122
116,De Pinte,44012,11046
117,Deerlijk,34009,12356
118,Deinze,44083,44315
119,Denderleeuw,41011,20772
120,Dendermonde,42006,46325
121,Dentergem,37002,8699
122,Dessel,13006,9686
123,Destelbergen,44013,18856
124,Diepenbeek,71011,19241
125,Diest,24020,24516
126,Diksmuide,32003,16926
127,Dilbeek,23016,44095
128,Dilsen-Stokkem,72041,20995
129,Dinant,91034,13313
130,Dison,63020,15207
131,Doische,93018,3010
132,Donceel,64023,3120
133,Doornik,57081,68518
134,Dour,53020,16553
135,Drogenbos,23098,5770
136,Duffel,12009,17770
137,Durbuy,83012,11467
138,Ecaussinnes,55050,11338
139,Edegem,11013,22386
140,Edingen,51067,14233
141,Eeklo,43005,21775
142,Eghezée,92035,16577
143,Eigenbrakel,25014,40346
144,Elsene,21009,87052
145,Elzele,51017,6025
146,Engis,61080,6269
147,Erezée,83013,3337
148,Erpe-Mere,41082,20606
149,Erquelinnes,56022,10084
150,Esneux,62032,12865
151,Essen,11016,19341
152,Estaimpuis,57027,10654
153,Estinnes,58003,7940
154,Etalle,85009,6052
155,Etterbeek,21005,48535
156,Eupen,63023,19874
157,Evere,21006,43608
158,Evergem,44019,36087
159,Faimes,64076,4026
160,Farciennes,52018,11233
161,Fauvillers,82009,2368
162,Fernelmont,92138,8115
163,Ferrières,61019,5077
164,Fexhe-le-Haut-Clocher,64025,3327
165,Fleurus,52021,22923
166,Floreffe,92045,8077
167,Florennes,93022,11320
168,Florenville,85011,5765
169,Flémalle,62120,26677
170,Fléron,62038,16235
171,Fontaine-lEvêque,52022,17999
172,Fosses-la-Ville,92048,10401
173,Frameries,53028,21717
174,Frasnes-lez-Anvaing,51065,11974
175,Froidchapelle,56029,4049
176,Galmaarden,23023,8806
177,Ganshoren,21008,25252
178,Gavere,44020,13205
179,Gedinne,91054,4672
180,Geel,13008,41146
181,Geer,64029,3521
182,Geetbets,24028,6201
183,Geldenaken,25048,14558
184,Gembloux,92142,26330
185,Genepiën,25031,15611
186,Genk,71016,67009
187,Gent,44021,265086
188,Geraardsbergen,41018,34328
189,Gerpinnes,52025,12771
190,Gesves,92054,7334
191,Gingelom,71017,8483
192,Gistel,35005,12106
193,Glabbeek,24137,5344
194,Gooik,23024,9392
195,Gouvy,82037,5406
196,Graven,25037,14005
197,Grimbergen,23025,38539
198,Grobbendonk,13010,11442
199,Grâce-Hollogne,62118,23037
200,Haacht,24033,15264
201,Haaltert,41024,18960
202,Habay,85046,8586
203,Halen,71020,9475
204,Halle (Halle-Vilvoorde),23027,41284
205,Ham,71069,11163
206,Ham-sur-Heure-Nalinnes,56086,13725
207,Hamme (Dendermonde),42008,25141
208,Hamoir,61024,3789
209,Hamois,91059,7386
210,Hamont-Achel,72037,14375
211,Hannuit,64034,16968
212,Harelbeke,34013,29095
213,Hasselt,71022,79524
214,Hastière,91142,6089
215,Havelange,91064,5306
216,Hechtel-Eksel,72038,12760
217,Heers,73022,7457
218,Heist-op-den-Berg,12014,43594
219,Hemiksem,11018,11812
220,Hensies,53039,6826
221,Herbeumont,84029,1677
222,Herent,24038,22430
223,Herentals,13011,28455
224,Herenthout,13012,9287
225,Herk-de-Stad,71024,12756
226,Herne,23032,6743
227,Herselt,13013,14731
228,Herstal,62051,40481
229,Herstappe,73028,79
230,Herve,63035,17674
231,Herzele,41027,18489
232,Heusden-Zolder,71070,34243
233,Heuvelland,33039,7991
234,Hoegaarden,24041,6811
235,Hoei,61031,21405
236,Hoeilaart,23033,11433
237,Hoeselt,73032,9833
238,Holsbeek,24043,10110
239,Honnelles,53083,5178
240,Hooglede,36006,10003
241,Hoogstraten,13014,21895
242,Horebeke,45062,2023
243,Hotton,83028,5707
244,Houffalize,82014,5233
245,Houthalen-Helchteren,72039,30844
246,Houthulst,32006,10267
247,Houyet,91072,5067
248,Hove (Antwerpen),11021,8311
249,Huldenberg,24045,10017
250,Hulshout,13016,10560
251,Hélécine,25118,3687
252,Héron,61028,5560
253,Ichtegem,35006,14139
254,Ieper,33011,35039
255,Incourt,25043,5614
256,Ingelmunster,36007,11294
257,Itter,25044,7067
258,Izegem,36008,28845
259,Jabbeke,31012,14222
260,Jalhay,63038,8700
261,Jemeppe-sur-Sambre,92140,19146
262,Jette,21010,52751
263,Juprelle,62060,9639
264,Jurbeke,53044,10802
265,Kalmthout,11022,19179
266,Kampenhout,23038,12350
267,Kapelle-op-den-Bos,23039,9610
268,Kapellen (Antwerpen),11023,27442
269,Kaprijke,43007,6539
270,Kasteelbrakel,25015,10638
271,Kasterlee,13017,19140
272,Keerbergen,24048,13118
273,Kelmis,63040,11229
274,Kinrooi,72018,12258
275,Kluisbergen,45060,6791
276,Knokke-Heist,31043,32875
277,Koekelare,32010,8769
278,Koekelberg,21011,22023
279,Koksijde,38014,21851
280,Komen-Waasten,57097,18209
281,Kontich,11024,21340
282,Kortemark,32011,12803
283,Kortenaken,24054,7916
284,Kortenberg,24055,20462
285,Kortessem,73040,8595
286,Kortrijk,34022,77741
287,Kraainem,23099,13928
288,Kruibeke,46013,16980
289,Kruisem,45068,15876
290,Kuurne,34023,13975
291,La Bruyère,92141,9316
292,La Louvière,58001,80992
293,La Roche-en-Ardenne,83031,4210
294,Laakdal,13053,16464
295,Laarne,42010,12518
296,Lanaken,73042,26172
297,Landen,24059,16149
298,Langemark-Poelkapelle,33040,7926
299,Lasne,25119,14299
300,Le Roeulx,55035,8738
301,Lebbeke,42011,19719
302,Lede,41034,19054
303,Ledegem,36010,9738
304,Lendelede,34025,5803
305,Lennik,23104,9312
306,Lens,53046,4651
307,Leopoldsburg,71034,16125
308,Les Bons Villers,52075,9510
309,Lessen,51069,18780
310,Leuven,24062,102236
311,Leuze-en-Hainaut,57094,13998
312,Libin,84035,5307
313,Libramont-Chevigny,84077,11598
314,Lichtervelde,36011,9018
315,Liedekerke,23044,13651
316,Lier,12021,37309
317,Lierde,45063,6689
318,Lierneux,63045,3579
319,Lievegem,44085,26657
320,Lijsem,64047,3309
321,Lille,13019,16688
322,Limburg,63046,5695
323,Linkebeek,23100,4709
324,Lint,11025,8553
325,Linter,24133,7276
326,Lo-Reninge,32030,3217
327,Lobbes,56044,5867
328,Lochristi,44034,22897
329,Lokeren,46014,42703
330,Lommel,72020,34396
331,Londerzeel,23045,19136
332,Lontzen,63048,5947
333,Lubbeek,24066,14776
334,Luik,62063,195278
335,Lummen,71037,15172
336,Léglise,84033,5705
337,Maarkedal,45064,6386
338,Maaseik,72021,25524
339,Maasmechelen,73107,39409
340,Machelen (Halle-Vilvoorde),23047,16108
341,Maldegem,43010,24409
342,Malle,11057,15756
343,Malmedy,63049,12857
344,Manage,55086,23825
345,Manhay,83055,3650
346,Marche-en-Famenne,83034,17758
347,Marchin,61039,5501
348,Martelange,81013,1931
349,Mechelen,12025,86996
350,Meerhout,13021,10258
351,Meise,23050,19991
352,Meix-devant-Virton,85024,2823
353,Melle,44040,11887
354,Menen,34027,33982
355,Merbes-le-Château,56049,4224
356,Merchtem,23052,17507
357,Merelbeke,44043,24886
358,Merksplas,13023,8683
359,Mesen,33016,1062
360,Messancy,81015,8339
361,Mettet,92087,13488
362,Meulebeke,37007,11010
363,Middelkerke,35011,19723
364,Modave,61041,4231
365,Moerbeke (Gent),44045,6685
366,Moeskroen,57096,59179
367,Mol,13025,37600
368,Momignies,56051,5284
369,Mont-Saint-Guibert,25068,8081
370,Mont-de-lEnclus,57095,3806
371,Montigny-le-Tilleul,52048,10125
372,Moorslede,36012,11386
373,Morlanwelz,58004,19208
374,Mortsel,11029,26189
375,Musson,85026,4650
376,Namen,92094,112559
377,Nandrin,61043,5802
378,Nassogne,83040,5632
379,Nazareth,44048,12040
380,Neufchâteau (Neufchâteau),84043,8041
381,Neupré,62121,10020
382,Niel,11030,10595
383,Nieuwerkerken (Hasselt),71045,7027
384,Nieuwpoort,38016,11488
385,Nijlen,12026,23259
386,Nijvel,25072,29085
387,Ninove,41048,39626
388,Oerle,64056,4001
389,Ohey,92097,5144
390,Olen,13029,12582
391,Olne,63057,4068
392,Onhaye,91103,3267
393,Oostende,35013,71557
394,Oosterzele,44052,13840
395,Oostkamp,31022,23998
396,Oostrozebeke,37010,7972
397,Opwijk,23060,14828
398,Opzullik,51068,8415
399,Orp-Jauche,25120,9048
400,Ottignies-Louvain-la-Neuve,25121,31363
401,Oud-Heverlee,24086,11470
402,Oud-Turnhout,13031,14402
403,Oudenaarde,45035,31866
404,Oudenburg,35014,9717
405,Oudergem,21002,34986
406,Oudsbergen,72042,23611
407,Ouffet,61048,2806
408,Oupeye,62079,25571
409,Overijse,23062,25888
410,Paliseul,84050,5469
411,Pecq,57062,5847
412,Peer,72030,16449
413,Pelt,72043,33601
414,Pepingen,23064,4507
415,Pepinster,63058,9285
416,Perwijs (Nijvel),25084,9513
417,Philippeville,93056,9243
418,Pittem,37011,6793
419,Plombières,63088,10682
420,Pont-à-Celles,52055,17449
421,Poperinge,33021,19782
422,Profondeville,92101,12197
423,Putte,12029,18392
424,Puurs-Sint-Amands,12041,26311
425,Péruwelz,57064,17141
426,Quaregnon,53065,18878
427,Quiévrain,53068,6826
428,Quévy,53084,8087
429,Raeren,63061,10997
430,Ramillies,25122,6651
431,Ranst,11035,19366
432,Ravels,13035,15293
433,Rebecq,25123,10977
434,Remicourt,64063,6053
435,Rendeux,83044,2693
436,Retie,13036,11663
437,Riemst,73066,16779
438,Rijkevorsel,13037,12324
439,Rixensart,25091,22856
440,Rochefort,91114,12610
441,Roeselare,36015,64495
442,Ronse,45041,26702
443,Roosdaal,23097,11735
444,Rotselaar,24094,17294
445,Rouvroy,85047,2138
446,Ruiselede,37012,5444
447,Rumes,57072,5286
448,Rumst,11037,15254
449,Saint-Georges-sur-Meuse,64065,7076
450,Saint-Ghislain,53070,23502
451,Saint-Hubert,84059,5672
452,Saint-Léger (Virton),85034,3735
453,Saint-Nicolas (Luik),62093,24369
454,Sainte-Ode,82038,2655
455,Sambreville,92137,28254
456,Sankt Vith,63067,9966
457,Schaarbeek,21015,130690
458,Schelle,11038,8692
459,Scherpenheuvel-Zichem,24134,23375
460,Schilde,11039,20031
461,Schoten,11040,34157
462,Seneffe,55085,11465
463,Seraing,62096,63926
464,Sint-Agatha-Berchem,21003,25298
465,Sint-Genesius-Rode,23101,18628
466,Sint-Gillis,21013,48837
467,Sint-Gillis-Waas,46020,19716
468,Sint-Jans-Molenbeek,21012,97697
469,Sint-Joost-ten-Node,21014,26965
470,Sint-Katelijne-Waver,12035,21391
471,Sint-Lambrechts-Woluwe,21018,58541
472,Sint-Laureins,43014,6940
473,Sint-Lievens-Houtem,41063,10534
474,Sint-Martens-Latem,44064,8263
475,Sint-Niklaas (Sint-Niklaas),46021,80167
476,Sint-Pieters-Leeuw,23077,35486
477,Sint-Pieters-Woluwe,21019,42216
478,Sint-Truiden,71053,40845
479,Sivry-Rance,56088,4850
480,Sombreffe,92114,8404
481,Somme-Leuze,91120,5975
482,Soumagne,62099,17287
483,Spa,63072,10002
484,Spiere-Helkijn,34043,2056
485,Sprimont,62100,15043
486,Stabroek,11044,18782
487,Staden,36019,11530
488,Stavelot,63073,7202
489,Steenokkerzeel,23081,12497
490,Stekene,46024,19030
491,Stoumont,63075,3189
492,Tellin,84068,2528
493,Temse,46025,30635
494,Tenneville,83049,2884
495,Terhulpen,25050,7499
496,Ternat,23086,16283
497,Tervuren,24104,22852
498,Tessenderlo,71057,18884
499,Theux,63076,11957
500,Thimister-Clermont,63089,5608
501,Thuin,56078,14907
502,Tielt (Tielt),37015,20500
503,Tielt-Winge,24135,11037
504,Tienen,24107,35973
505,Tinlot,61081,2719
506,Tintigny,85039,4371
507,Tongeren,73083,31562
508,Torhout,31033,20517
509,Tremelo,24109,15190
510,Trois-Ponts,63086,2560
511,Trooz,62122,7822
512,Tubeke,25105,27774
513,Turnhout,13040,46372
514,Ukkel,21016,85099
515,Vaux-sur-Sûre,82036,6023
516,Verlaine,61063,4265
517,Verviers,63079,55102
518,Veurne,38025,12295
519,Vielsalm,82032,7891
520,Villers-Le-Bouillet,61068,6683
521,Villers-la-Ville,25107,10970
522,Vilvoorde,23088,46354
523,Viroinval,93090,5705
524,Virton,85045,11404
525,Vleteren,33041,3646
526,Vloesberg,51019,3453
527,Voeren,73109,4287
528,Vorselaar,13044,8019
529,Vorst (Brussel-Hoofdstad),21007,56616
530,Vosselaar,13046,11556
531,Vresse-sur-Semois,91143,2515
532,Waasmunster,42023,11022
533,Wachtebeke,44073,7847
534,Walcourt,93088,18429
535,Walhain,25124,7485
536,Wanze,61072,13999
537,Waregem,34040,38948
538,Wasseiges,64075,3060
539,Waterloo,25110,30356
540,Watermaal-Bosvoorde,21017,25187
541,Waver,25112,35111
542,Weismes,63080,7414
543,Welkenraedt,63084,10428
544,Wellen,73098,7459
545,Wellin,84075,3135
546,Wemmel,23102,17182
547,Wervik,33029,19020
548,Westerlo,13049,25308
549,Wetteren,42025,26444
550,Wevelgem,34041,31565
551,Wezembeek-Oppem,23103,14488
552,Wezet,62108,17973
553,Wichelen,42026,11765
554,Wielsbeke,37017,9917
555,Wijnegem,11050,10244
556,Willebroek,12040,27436
557,Wingene,37018,14852
558,Wommelgem,11052,13181
559,Wortegem-Petegem,45061,6517
560,Wuustwezel,11053,21523
561,Yvoir,91141,9181
562,Zandhoven,11054,13172
563,Zaventem,23094,35916
564,Zedelgem,31040,23157
565,Zele,42028,21349
566,Zelzate,43018,13298
567,Zemst,23096,23306
568,Zinnik,55040,28523
569,Zoersel,11055,22317
570,Zonhoven,71066,21473
571,Zonnebeke,33037,12556
572,Zottegem,41081,27341
573,Zoutleeuw,24130,8591
574,Zuienkerke,31042,2709
575,Zulte,44081,15943
576,Zutendaal,71067,7307
577,Zwalm,45065,8244
578,Zwevegem,34042,25140
579,Zwijndrecht,11056,19243
580,s Gravenbrakel,55004,22752
