Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteit,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar nationaliteitsgroep,Aantal inwoners,Procent
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2020,101,14427,0.00700076
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2021,203,14455,0.0140436
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2021,472,14455,0.0326531
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2021,157,14455,0.0108613
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2021,79,14455,0.00546524
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2021,367,14455,0.0253891
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2021,85,14455,0.00588032
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2021,206,14455,0.0142511
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2021,109,14455,0.00754064
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2022,236,14610,0.0161533
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU,2022,511,14610,0.034976
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2022,179,14610,0.0122519
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2022,90,14610,0.00616016
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2022,430,14610,0.0294319
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2022,104,14610,0.00711841
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2022,210,14610,0.0143737
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2022,122,14610,0.00835044
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2011,23277,493517,0.0471655
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2011,37445,493517,0.0758738
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2011,11160,493517,0.0226132
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2011,8403,493517,0.0170268
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2011,49337,493517,0.0999702
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2011,17657,493517,0.0357779
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2011,19217,493517,0.0389389
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2011,7068,493517,0.0143217
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2012,26045,502604,0.0518201
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2012,41715,502604,0.0829977
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2012,13317,502604,0.026496
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2012,8599,502604,0.0171089
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2012,52441,502604,0.104339
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2012,17797,502604,0.0354096
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2012,20719,502604,0.0412233
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2012,7679,502604,0.0152784
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2013,27138,507911,0.0534306
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2013,45455,507911,0.089494
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2013,15070,507911,0.0296706
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2013,8253,507911,0.0162489
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2013,52658,507911,0.103676
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2013,17267,507911,0.0339961
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2013,21966,507911,0.0432477
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2013,8419,507911,0.0165757
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2014,27577,510610,0.054008
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2014,47390,510610,0.0928106
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2014,16035,510610,0.0314036
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2014,7895,510610,0.0154619
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2014,52368,510610,0.10256
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2014,16896,510610,0.0330898
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2014,22349,510610,0.0437692
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2014,9006,510610,0.0176377
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2015,28446,513570,0.0553887
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2015,50036,513570,0.0974278
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2015,17211,513570,0.0335125
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2015,7706,513570,0.0150048
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2015,53116,513570,0.103425
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2015,16964,513570,0.0330315
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2015,23100,513570,0.0449793
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2015,9725,513570,0.0189361
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2016,29629,517042,0.0573048
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2016,51730,517042,0.10005
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2016,17870,517042,0.034562
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2016,7394,517042,0.0143006
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2016,53986,517042,0.104413
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2016,16963,517042,0.0328078
