Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe uitwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2004,1153,455148,2.53324
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2005,1256,457749,2.74386
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2006,1492,461496,3.23296
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2007,1773,466203,3.80306
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2008,1852,471598,3.92707
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2009,2170,477936,4.54036
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2010,1950,483505,4.03305
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2011,2081,493517,4.21667
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2012,1968,502604,3.91561
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2013,1991,507911,3.91998
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2014,2202,510610,4.31249
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2015,2463,513570,4.79584
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2016,2607,517042,5.04214
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2017,2648,520504,5.08738
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2018,2642,523248,5.04923
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2019,2791,525935,5.30674
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2020,2508,529247,4.73881
Antwerpen,11002,Ja,Externe uitwijking van vreemdelingen,2021,2318,529417,4.3784
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2000,6,11919,0.5034
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2001,12,11953,1.00393
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2002,13,11886,1.09372
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2003,21,11974,1.7538
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2004,11,11953,0.92027
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2005,9,11992,0.7505
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2006,11,12090,0.90984
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2007,11,12149,0.90542
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2008,11,12333,0.89192
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2009,8,12589,0.63548
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2010,11,12749,0.86281
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2011,17,12728,1.33564
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2012,7,12724,0.55014
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2013,18,12774,1.40911
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2014,15,12804,1.17151
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2015,9,12792,0.70356
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2016,11,12844,0.85643
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2017,14,12908,1.0846
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2018,20,13120,1.52439
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2019,23,13266,1.73376
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2020,16,13372,1.19653
Boechout,11004,Nee,Externe uitwijking van vreemdelingen,2021,9,13527,0.66534
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2000,13,15057,0.86339
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2001,12,14986,0.80075
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2002,5,15089,0.33137
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2003,3,15330,0.19569
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2004,13,15567,0.8351
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2005,5,15729,0.31788
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2006,4,16096,0.24851
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2007,2,16326,0.1225
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2008,23,16444,1.39869
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2009,26,16598,1.56645
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2010,19,16709,1.13711
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2011,15,16989,0.88292
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2012,22,17166,1.2816
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2013,22,17227,1.27707
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2014,10,17231,0.58035
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2015,11,17559,0.62646
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2016,24,17737,1.3531
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2017,12,17788,0.67461
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2018,16,17970,0.89037
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2019,20,18244,1.09625
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2020,19,18555,1.02398
Boom,11005,Nee,Externe uitwijking van vreemdelingen,2021,20,18799,1.06389
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2000,19,10373,1.83168
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2001,7,10295,0.67994
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2002,4,10278,0.38918
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2003,4,10298,0.38842
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2004,5,10304,0.48525
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2005,10,10304,0.9705
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2006,2,10257,0.19499
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2007,11,10224,1.0759
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2008,7,10125,0.69136
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2009,9,10136,0.88792
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2010,9,10125,0.88889
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2011,8,10207,0.78378
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2012,6,10233,0.58634
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2013,18,10278,1.75131
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2014,8,10451,0.76548
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2015,15,10465,1.43335
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2016,13,10540,1.2334
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2017,17,10581,1.60665
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2018,8,10685,0.74871
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2019,11,10854,1.01345
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2020,19,10949,1.73532
Borsbeek,11007,Nee,Externe uitwijking van vreemdelingen,2021,9,11077,0.81249
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2000,156,37138,4.20055
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2001,210,37151,5.65261
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2002,141,37249,3.78534
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2003,189,37183,5.08297
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2004,179,37165,4.81636
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2005,233,37180,6.26681
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2006,157,37282,4.21115
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2007,182,37133,4.9013
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2008,206,37180,5.54061
Brasschaat,11008,Nee,Externe uitwijking van vreemdelingen,2009,233,37014,6.29492
