Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal vreemde nationaliteiten
Brasschaat,11008,Nee,Vreemde nationaliteiten,2015,105
Brasschaat,11008,Nee,Vreemde nationaliteiten,2016,105
Brasschaat,11008,Nee,Vreemde nationaliteiten,2017,108
Brasschaat,11008,Nee,Vreemde nationaliteiten,2018,106
Brasschaat,11008,Nee,Vreemde nationaliteiten,2019,106
Brasschaat,11008,Nee,Vreemde nationaliteiten,2020,107
Brasschaat,11008,Nee,Vreemde nationaliteiten,2021,104
Brasschaat,11008,Nee,Vreemde nationaliteiten,2022,109
Brecht,11009,Nee,Vreemde nationaliteiten,2000,44
Brecht,11009,Nee,Vreemde nationaliteiten,2001,44
Brecht,11009,Nee,Vreemde nationaliteiten,2002,48
Brecht,11009,Nee,Vreemde nationaliteiten,2003,46
Brecht,11009,Nee,Vreemde nationaliteiten,2004,49
Brecht,11009,Nee,Vreemde nationaliteiten,2005,52
Brecht,11009,Nee,Vreemde nationaliteiten,2006,52
Brecht,11009,Nee,Vreemde nationaliteiten,2007,52
Brecht,11009,Nee,Vreemde nationaliteiten,2008,50
Brecht,11009,Nee,Vreemde nationaliteiten,2009,58
Brecht,11009,Nee,Vreemde nationaliteiten,2010,63
Brecht,11009,Nee,Vreemde nationaliteiten,2011,64
Brecht,11009,Nee,Vreemde nationaliteiten,2012,66
Brecht,11009,Nee,Vreemde nationaliteiten,2013,67
Brecht,11009,Nee,Vreemde nationaliteiten,2014,73
Brecht,11009,Nee,Vreemde nationaliteiten,2015,74
Brecht,11009,Nee,Vreemde nationaliteiten,2016,74
Brecht,11009,Nee,Vreemde nationaliteiten,2017,74
Brecht,11009,Nee,Vreemde nationaliteiten,2018,80
Brecht,11009,Nee,Vreemde nationaliteiten,2019,85
Brecht,11009,Nee,Vreemde nationaliteiten,2020,85
Brecht,11009,Nee,Vreemde nationaliteiten,2021,90
Brecht,11009,Nee,Vreemde nationaliteiten,2022,89
Edegem,11013,Nee,Vreemde nationaliteiten,2000,49
Edegem,11013,Nee,Vreemde nationaliteiten,2001,55
Edegem,11013,Nee,Vreemde nationaliteiten,2002,57
Edegem,11013,Nee,Vreemde nationaliteiten,2003,56
Edegem,11013,Nee,Vreemde nationaliteiten,2004,60
Edegem,11013,Nee,Vreemde nationaliteiten,2005,62
Edegem,11013,Nee,Vreemde nationaliteiten,2006,63
Edegem,11013,Nee,Vreemde nationaliteiten,2007,73
Edegem,11013,Nee,Vreemde nationaliteiten,2008,77
Edegem,11013,Nee,Vreemde nationaliteiten,2009,78
Edegem,11013,Nee,Vreemde nationaliteiten,2010,75
Edegem,11013,Nee,Vreemde nationaliteiten,2011,82
Edegem,11013,Nee,Vreemde nationaliteiten,2012,86
Edegem,11013,Nee,Vreemde nationaliteiten,2013,91
Edegem,11013,Nee,Vreemde nationaliteiten,2014,89
Edegem,11013,Nee,Vreemde nationaliteiten,2015,88
Edegem,11013,Nee,Vreemde nationaliteiten,2016,91
Edegem,11013,Nee,Vreemde nationaliteiten,2017,97
Edegem,11013,Nee,Vreemde nationaliteiten,2018,99
Edegem,11013,Nee,Vreemde nationaliteiten,2019,104
Edegem,11013,Nee,Vreemde nationaliteiten,2020,106
Edegem,11013,Nee,Vreemde nationaliteiten,2021,107
Edegem,11013,Nee,Vreemde nationaliteiten,2022,109
Essen,11016,Nee,Vreemde nationaliteiten,2000,45
Essen,11016,Nee,Vreemde nationaliteiten,2001,43
Essen,11016,Nee,Vreemde nationaliteiten,2002,50
Essen,11016,Nee,Vreemde nationaliteiten,2003,52
Essen,11016,Nee,Vreemde nationaliteiten,2004,50
Essen,11016,Nee,Vreemde nationaliteiten,2005,53
Essen,11016,Nee,Vreemde nationaliteiten,2006,58
Essen,11016,Nee,Vreemde nationaliteiten,2007,55
Essen,11016,Nee,Vreemde nationaliteiten,2008,61
Essen,11016,Nee,Vreemde nationaliteiten,2009,66
Essen,11016,Nee,Vreemde nationaliteiten,2010,70
Essen,11016,Nee,Vreemde nationaliteiten,2011,76
Essen,11016,Nee,Vreemde nationaliteiten,2012,73
Essen,11016,Nee,Vreemde nationaliteiten,2013,69
Essen,11016,Nee,Vreemde nationaliteiten,2014,72
Essen,11016,Nee,Vreemde nationaliteiten,2015,78
Essen,11016,Nee,Vreemde nationaliteiten,2016,82
Essen,11016,Nee,Vreemde nationaliteiten,2017,83
Essen,11016,Nee,Vreemde nationaliteiten,2018,87
Essen,11016,Nee,Vreemde nationaliteiten,2019,85
Essen,11016,Nee,Vreemde nationaliteiten,2020,87
Essen,11016,Nee,Vreemde nationaliteiten,2021,84
Essen,11016,Nee,Vreemde nationaliteiten,2022,77
Hemiksem,11018,Nee,Vreemde nationaliteiten,2000,28
Hemiksem,11018,Nee,Vreemde nationaliteiten,2001,33
Hemiksem,11018,Nee,Vreemde nationaliteiten,2002,33
Hemiksem,11018,Nee,Vreemde nationaliteiten,2003,32
Hemiksem,11018,Nee,Vreemde nationaliteiten,2004,31
Hemiksem,11018,Nee,Vreemde nationaliteiten,2005,34
Hemiksem,11018,Nee,Vreemde nationaliteiten,2006,35
Hemiksem,11018,Nee,Vreemde nationaliteiten,2007,40
Hemiksem,11018,Nee,Vreemde nationaliteiten,2008,46
Hemiksem,11018,Nee,Vreemde nationaliteiten,2009,49
Hemiksem,11018,Nee,Vreemde nationaliteiten,2010,49
Hemiksem,11018,Nee,Vreemde nationaliteiten,2011,55
Hemiksem,11018,Nee,Vreemde nationaliteiten,2012,62
Hemiksem,11018,Nee,Vreemde nationaliteiten,2013,64
Hemiksem,11018,Nee,Vreemde nationaliteiten,2014,71
Hemiksem,11018,Nee,Vreemde nationaliteiten,2015,72
Hemiksem,11018,Nee,Vreemde nationaliteiten,2016,72
Hemiksem,11018,Nee,Vreemde nationaliteiten,2017,71
Hemiksem,11018,Nee,Vreemde nationaliteiten,2018,75
Hemiksem,11018,Nee,Vreemde nationaliteiten,2019,74
Hemiksem,11018,Nee,Vreemde nationaliteiten,2020,77
Hemiksem,11018,Nee,Vreemde nationaliteiten,2021,83
Hemiksem,11018,Nee,Vreemde nationaliteiten,2022,82
Hove,11021,Nee,Vreemde nationaliteiten,2000,29
Hove,11021,Nee,Vreemde nationaliteiten,2001,33
Hove,11021,Nee,Vreemde nationaliteiten,2002,29
Hove,11021,Nee,Vreemde nationaliteiten,2003,34
Hove,11021,Nee,Vreemde nationaliteiten,2004,29
Hove,11021,Nee,Vreemde nationaliteiten,2005,30
Hove,11021,Nee,Vreemde nationaliteiten,2006,30
Hove,11021,Nee,Vreemde nationaliteiten,2007,29
Hove,11021,Nee,Vreemde nationaliteiten,2008,29
Hove,11021,Nee,Vreemde nationaliteiten,2009,34
Hove,11021,Nee,Vreemde nationaliteiten,2010,36
Hove,11021,Nee,Vreemde nationaliteiten,2011,37
Hove,11021,Nee,Vreemde nationaliteiten,2012,35
Hove,11021,Nee,Vreemde nationaliteiten,2013,40
Hove,11021,Nee,Vreemde nationaliteiten,2014,45
Hove,11021,Nee,Vreemde nationaliteiten,2015,40
Hove,11021,Nee,Vreemde nationaliteiten,2016,45
Hove,11021,Nee,Vreemde nationaliteiten,2017,46
Hove,11021,Nee,Vreemde nationaliteiten,2018,48
Hove,11021,Nee,Vreemde nationaliteiten,2019,46
Hove,11021,Nee,Vreemde nationaliteiten,2020,50
Hove,11021,Nee,Vreemde nationaliteiten,2021,46
Hove,11021,Nee,Vreemde nationaliteiten,2022,48
Kalmthout,11022,Nee,Vreemde nationaliteiten,2000,40
Kalmthout,11022,Nee,Vreemde nationaliteiten,2001,38
Kalmthout,11022,Nee,Vreemde nationaliteiten,2002,41
Kalmthout,11022,Nee,Vreemde nationaliteiten,2003,41
Kalmthout,11022,Nee,Vreemde nationaliteiten,2004,48
Kalmthout,11022,Nee,Vreemde nationaliteiten,2005,45
Kalmthout,11022,Nee,Vreemde nationaliteiten,2006,53
Kalmthout,11022,Nee,Vreemde nationaliteiten,2007,59
Kalmthout,11022,Nee,Vreemde nationaliteiten,2008,57
Kalmthout,11022,Nee,Vreemde nationaliteiten,2009,60
Kalmthout,11022,Nee,Vreemde nationaliteiten,2010,68
Kalmthout,11022,Nee,Vreemde nationaliteiten,2011,70
Kalmthout,11022,Nee,Vreemde nationaliteiten,2012,66
Kalmthout,11022,Nee,Vreemde nationaliteiten,2013,66
Kalmthout,11022,Nee,Vreemde nationaliteiten,2014,64
Kalmthout,11022,Nee,Vreemde nationaliteiten,2015,67
Kalmthout,11022,Nee,Vreemde nationaliteiten,2016,71
Kalmthout,11022,Nee,Vreemde nationaliteiten,2017,68
Kalmthout,11022,Nee,Vreemde nationaliteiten,2018,68
Kalmthout,11022,Nee,Vreemde nationaliteiten,2019,67
Kalmthout,11022,Nee,Vreemde nationaliteiten,2020,67
Kalmthout,11022,Nee,Vreemde nationaliteiten,2021,68
Kalmthout,11022,Nee,Vreemde nationaliteiten,2022,74
Kapellen,11023,Nee,Vreemde nationaliteiten,2000,65
Kapellen,11023,Nee,Vreemde nationaliteiten,2001,63
Kapellen,11023,Nee,Vreemde nationaliteiten,2002,58
Kapellen,11023,Nee,Vreemde nationaliteiten,2003,57
Kapellen,11023,Nee,Vreemde nationaliteiten,2004,60
Kapellen,11023,Nee,Vreemde nationaliteiten,2005,72
Kapellen,11023,Nee,Vreemde nationaliteiten,2006,64
Kapellen,11023,Nee,Vreemde nationaliteiten,2007,72
Kapellen,11023,Nee,Vreemde nationaliteiten,2008,71
Kapellen,11023,Nee,Vreemde nationaliteiten,2009,79
Kapellen,11023,Nee,Vreemde nationaliteiten,2010,72
Kapellen,11023,Nee,Vreemde nationaliteiten,2011,75
Kapellen,11023,Nee,Vreemde nationaliteiten,2012,81
Kapellen,11023,Nee,Vreemde nationaliteiten,2013,81
Kapellen,11023,Nee,Vreemde nationaliteiten,2014,86
Kapellen,11023,Nee,Vreemde nationaliteiten,2015,89
Kapellen,11023,Nee,Vreemde nationaliteiten,2016,86
Kapellen,11023,Nee,Vreemde nationaliteiten,2017,90
Kapellen,11023,Nee,Vreemde nationaliteiten,2018,93
Kapellen,11023,Nee,Vreemde nationaliteiten,2019,96
Kapellen,11023,Nee,Vreemde nationaliteiten,2020,97
Kapellen,11023,Nee,Vreemde nationaliteiten,2021,104
Kapellen,11023,Nee,Vreemde nationaliteiten,2022,102
Kontich,11024,Nee,Vreemde nationaliteiten,2000,45
Kontich,11024,Nee,Vreemde nationaliteiten,2001,48
Kontich,11024,Nee,Vreemde nationaliteiten,2002,55
Kontich,11024,Nee,Vreemde nationaliteiten,2003,52
Kontich,11024,Nee,Vreemde nationaliteiten,2004,54
Kontich,11024,Nee,Vreemde nationaliteiten,2005,58
Kontich,11024,Nee,Vreemde nationaliteiten,2006,59
Kontich,11024,Nee,Vreemde nationaliteiten,2007,63
Kontich,11024,Nee,Vreemde nationaliteiten,2008,67
Kontich,11024,Nee,Vreemde nationaliteiten,2009,70
Kontich,11024,Nee,Vreemde nationaliteiten,2010,70
Kontich,11024,Nee,Vreemde nationaliteiten,2011,78
Kontich,11024,Nee,Vreemde nationaliteiten,2012,76
Kontich,11024,Nee,Vreemde nationaliteiten,2013,78
Kontich,11024,Nee,Vreemde nationaliteiten,2014,72
Kontich,11024,Nee,Vreemde nationaliteiten,2015,73
Kontich,11024,Nee,Vreemde nationaliteiten,2016,75
Kontich,11024,Nee,Vreemde nationaliteiten,2017,75
Kontich,11024,Nee,Vreemde nationaliteiten,2018,72
Kontich,11024,Nee,Vreemde nationaliteiten,2019,78
Kontich,11024,Nee,Vreemde nationaliteiten,2020,84
Kontich,11024,Nee,Vreemde nationaliteiten,2021,86
Kontich,11024,Nee,Vreemde nationaliteiten,2022,86
Lint,11025,Nee,Vreemde nationaliteiten,2000,17
Lint,11025,Nee,Vreemde nationaliteiten,2001,17
Lint,11025,Nee,Vreemde nationaliteiten,2002,17
Lint,11025,Nee,Vreemde nationaliteiten,2003,17
Lint,11025,Nee,Vreemde nationaliteiten,2004,17
Lint,11025,Nee,Vreemde nationaliteiten,2005,19
Lint,11025,Nee,Vreemde nationaliteiten,2006,20
Lint,11025,Nee,Vreemde nationaliteiten,2007,27
Lint,11025,Nee,Vreemde nationaliteiten,2008,30
Lint,11025,Nee,Vreemde nationaliteiten,2009,40
Lint,11025,Nee,Vreemde nationaliteiten,2010,41
Lint,11025,Nee,Vreemde nationaliteiten,2011,36
Lint,11025,Nee,Vreemde nationaliteiten,2012,38
Lint,11025,Nee,Vreemde nationaliteiten,2013,41
Lint,11025,Nee,Vreemde nationaliteiten,2014,42
Lint,11025,Nee,Vreemde nationaliteiten,2015,41
Lint,11025,Nee,Vreemde nationaliteiten,2016,42
Lint,11025,Nee,Vreemde nationaliteiten,2017,43
Lint,11025,Nee,Vreemde nationaliteiten,2018,48
Lint,11025,Nee,Vreemde nationaliteiten,2019,49
Lint,11025,Nee,Vreemde nationaliteiten,2020,52
Lint,11025,Nee,Vreemde nationaliteiten,2021,50
Lint,11025,Nee,Vreemde nationaliteiten,2022,52
Mortsel,11029,Nee,Vreemde nationaliteiten,2000,62
Mortsel,11029,Nee,Vreemde nationaliteiten,2001,59
Mortsel,11029,Nee,Vreemde nationaliteiten,2002,68
Mortsel,11029,Nee,Vreemde nationaliteiten,2003,68
Mortsel,11029,Nee,Vreemde nationaliteiten,2004,74
Mortsel,11029,Nee,Vreemde nationaliteiten,2005,74
Mortsel,11029,Nee,Vreemde nationaliteiten,2006,78
Mortsel,11029,Nee,Vreemde nationaliteiten,2007,87
Mortsel,11029,Nee,Vreemde nationaliteiten,2008,92
Mortsel,11029,Nee,Vreemde nationaliteiten,2009,94
Mortsel,11029,Nee,Vreemde nationaliteiten,2010,93
Mortsel,11029,Nee,Vreemde nationaliteiten,2011,91
Mortsel,11029,Nee,Vreemde nationaliteiten,2012,97
