Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar nationaliteitsgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Derdelander,13,16,0.8125
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,EU+ (excl. Nederland),0,16,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Nederland,2,16,0.125
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Onbepaalde nationaliteit,1,16,0.0625
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Derdelander,14,15,0.933333
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,EU+ (excl. Nederland),1,15,0.0666667
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Nederland,0,15,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Onbepaalde nationaliteit,0,15,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Derdelander,14,23,0.608696
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,EU+ (excl. Nederland),7,23,0.304348
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Nederland,0,23,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Onbepaalde nationaliteit,2,23,0.0869565
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Derdelander,14,23,0.608696
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,EU+ (excl. Nederland),8,23,0.347826
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Nederland,0,23,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Onbepaalde nationaliteit,1,23,0.0434783
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,Derdelander,14,17,0.823529
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,EU+ (excl. Nederland),3,17,0.176471
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,Nederland,0,17,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,Onbepaalde nationaliteit,0,17,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,Derdelander,26,29,0.896552
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,EU+ (excl. Nederland),2,29,0.0689655
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,Nederland,1,29,0.0344828
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,Onbepaalde nationaliteit,0,29,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Derdelander,34,37,0.918919
