Gemeente,Nis-code,Centrumstad?,Indicator,Herkomst,Jaar,Aantal personen van buitenlandse herkomst naar nationaliteitshistoriek,Aantal personen van buitenlandse herkomst,Procent
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2013,98113,226041,0.43405
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2014,53790,233484,0.23038
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2014,79936,233484,0.342362
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2014,99758,233484,0.427258
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2015,56606,240930,0.234948
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2015,81172,240930,0.336911
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2015,103152,240930,0.428141
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2016,59223,248725,0.238106
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2016,83786,248725,0.336862
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2016,105716,248725,0.425032
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2017,61979,256634,0.241507
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2017,87447,256634,0.340746
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2017,107208,256634,0.417747
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2018,64541,263941,0.244528
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2018,90977,263941,0.344687
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2018,108423,263941,0.410785
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2019,67100,270807,0.247778
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2019,92528,270807,0.341675
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2019,111179,270807,0.410547
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2020,69595,278527,0.249868
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2020,95673,278527,0.343496
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2020,113259,278527,0.406636
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2021,71878,283723,0.253339
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2021,97092,283723,0.342207
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2021,114753,283723,0.404454
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2022,74317,289781,0.256459
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2022,98780,289781,0.340878
Antwerpen,11002,Ja,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2022,116684,289781,0.402663
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2000,306,703,0.435277
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2000,215,703,0.305832
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2000,182,703,0.25889
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2001,307,691,0.444284
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2001,223,691,0.322721
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2001,161,691,0.232996
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2002,303,679,0.446244
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2002,219,679,0.322533
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2002,157,679,0.231222
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2003,308,697,0.441894
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2003,221,697,0.317073
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2003,168,697,0.241033
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2004,322,737,0.436906
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2004,222,737,0.301221
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2004,193,737,0.261872
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2005,335,766,0.437337
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2005,231,766,0.301567
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2005,200,766,0.261097
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2006,356,819,0.434676
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2006,241,819,0.294261
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2006,222,819,0.271062
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2007,373,873,0.427262
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2007,261,873,0.298969
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2007,239,873,0.273769
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2008,403,954,0.422432
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2008,276,954,0.289308
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2008,275,954,0.28826
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2009,432,1010,0.427723
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2009,296,1010,0.293069
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2009,282,1010,0.279208
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2010,459,1068,0.429775
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2010,302,1068,0.282772
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2010,307,1068,0.287453
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2011,468,1126,0.415631
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2011,298,1126,0.264654
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2011,360,1126,0.319716
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2012,482,1167,0.413025
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2012,316,1167,0.27078
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2012,369,1167,0.316195
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2013,488,1214,0.401977
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2013,314,1214,0.258649
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2013,412,1214,0.339374
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2014,508,1278,0.397496
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2014,352,1278,0.27543
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2014,418,1278,0.327074
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2015,520,1362,0.381791
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2015,371,1362,0.272394
Boechout,11004,Nee,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2015,471,1362,0.345815
