Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Interne uitwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2002,30,14378,2.08652
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2003,22,14317,1.53663
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2004,28,14237,1.96671
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2005,23,14272,1.61155
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2006,31,14375,2.15652
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2007,21,14325,1.46597
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2008,52,14273,3.64324
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2009,35,14265,2.45356
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2010,49,14290,3.42897
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2011,57,14311,3.98295
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2012,57,14281,3.99132
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2013,48,14226,3.3741
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2014,45,14207,3.16745
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2015,72,14157,5.08582
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2016,83,14262,5.81966
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2017,96,14222,6.75011
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2018,128,14304,8.94855
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2019,82,14293,5.73707
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2020,124,14427,8.595
Aartselaar,11001,Nee,Interne uitwijking van vreemdelingen,2021,83,14455,5.74196
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2000,1184,446525,2.65159
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2001,1147,445570,2.57423
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2002,1338,448709,2.98189
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2003,1485,452474,3.28196
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2004,1626,455148,3.57246
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2005,1757,457749,3.83835
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2006,1887,461496,4.08888
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2007,2205,466203,4.7297
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2008,2569,471598,5.44744
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2009,2427,477936,5.07809
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2010,2923,483505,6.04544
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2011,3247,493517,6.57931
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2012,3554,502604,7.07117
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2013,3806,507911,7.49344
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2014,3935,510610,7.70647
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2015,4098,513570,7.97944
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2016,4320,517042,8.35522
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2017,4682,520504,8.99513
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2018,5072,523248,9.6933
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2019,4884,525935,9.28632
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2020,4638,529247,8.76339
Antwerpen,11002,Ja,Interne uitwijking van vreemdelingen,2021,5149,529417,9.72579
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2000,9,11919,0.7551
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2001,17,11953,1.42224
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2002,9,11886,0.75719
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2003,14,11974,1.1692
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2004,27,11953,2.25885
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2005,24,11992,2.00133
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2006,26,12090,2.15054
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2007,27,12149,2.22241
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2008,30,12333,2.4325
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2009,34,12589,2.70077
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2010,32,12749,2.51
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2011,50,12728,3.92835
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2012,50,12724,3.92958
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2013,62,12774,4.85361
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2014,57,12804,4.45173
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2015,93,12792,7.27017
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2016,73,12844,5.68359
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2017,104,12908,8.05702
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2018,115,13120,8.76524
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2019,115,13266,8.66878
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2020,110,13372,8.22614
Boechout,11004,Nee,Interne uitwijking van vreemdelingen,2021,114,13527,8.42759
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2000,48,15057,3.18789
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2001,31,14986,2.0686
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2002,38,15089,2.51839
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2003,60,15330,3.91389
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2004,67,15567,4.30398
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2005,37,15729,2.35234
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2006,63,16096,3.91402
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2007,90,16326,5.51268
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2008,75,16444,4.56093
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2009,101,16598,6.08507
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2010,106,16709,6.34389
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2011,117,16989,6.88681
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2012,131,17166,7.63136
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2013,159,17227,9.2297
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2014,121,17231,7.02223
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2015,108,17559,6.15069
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2016,120,17737,6.76552
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2017,209,17788,11.74949
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2018,164,17970,9.12632
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2019,157,18244,8.60557
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2020,171,18555,9.21584
Boom,11005,Nee,Interne uitwijking van vreemdelingen,2021,208,18799,11.06442
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2000,45,10373,4.33819
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2001,44,10295,4.27392
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2002,35,10278,3.40533
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2003,41,10298,3.98136
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2004,57,10304,5.53183
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2005,92,10304,8.92857
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2006,56,10257,5.45969
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2007,50,10224,4.89045
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2008,74,10125,7.30864
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2009,86,10136,8.48461
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2010,82,10125,8.09877
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2011,74,10207,7.24993
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2012,109,10233,10.65181
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2013,93,10278,9.04845
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2014,108,10451,10.33394
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2015,103,10465,9.84233
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2016,124,10540,11.76471
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2017,112,10581,10.58501
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2018,116,10685,10.85634
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2019,154,10854,14.18832
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2020,129,10949,11.7819
Borsbeek,11007,Nee,Interne uitwijking van vreemdelingen,2021,138,11077,12.45825
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2000,138,37138,3.71587
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2001,103,37151,2.77247
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2002,145,37249,3.89272
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2003,146,37183,3.92653
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2004,138,37165,3.71317
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2005,141,37180,3.79236
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2006,174,37282,4.66713
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2007,161,37133,4.33577
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2008,204,37180,5.48682
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2009,154,37014,4.16059
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2010,201,36949,5.43993
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2011,199,37189,5.35104
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2012,204,37301,5.46902
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2013,193,37286,5.17621
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2014,171,37502,4.55976
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2015,185,37480,4.93597
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2016,298,37673,7.91017
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2017,258,37792,6.82684
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2018,244,37850,6.4465
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2019,216,37946,5.6923
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2020,237,38223,6.20046
Brasschaat,11008,Nee,Interne uitwijking van vreemdelingen,2021,264,38211,6.90901
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2000,53,25091,2.11231
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2001,41,25329,1.6187
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2002,52,25451,2.04314
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2003,45,25607,1.75733
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2004,65,25908,2.50888
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2005,61,26029,2.34354
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2006,89,26464,3.36306
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2007,88,26730,3.29218
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2008,64,27170,2.35554
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2009,96,27406,3.50288
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2010,95,27597,3.4424
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2011,129,27801,4.64012
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2012,101,27906,3.61929
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2013,102,28016,3.64078
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2014,121,28174,4.29474
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2015,115,28248,4.07108
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2016,162,28534,5.67744
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2017,123,28786,4.27291
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2018,181,29010,6.23923
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2019,137,29268,4.68088
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2020,132,29454,4.48156
Brecht,11009,Nee,Interne uitwijking van vreemdelingen,2021,145,29809,4.8643
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2000,42,22253,1.88739
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2001,45,22188,2.02812
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2002,50,22024,2.27025
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2003,58,21964,2.64068
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2004,45,21912,2.05367
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2005,37,21866,1.69212
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2006,61,21668,2.81521
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2007,66,21616,3.05329
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2008,83,21381,3.88195
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2009,68,21222,3.20422
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2010,94,21171,4.44004
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2011,118,21103,5.59162
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2012,143,21064,6.78883
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2013,141,21159,6.66383
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2014,130,21251,6.11736
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2015,147,21291,6.90433
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2016,191,21578,8.85161
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2017,181,21835,8.28944
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2018,162,21947,7.38142
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2019,190,22063,8.6117
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2020,180,22261,8.08589
Edegem,11013,Nee,Interne uitwijking van vreemdelingen,2021,191,22244,8.58659
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2000,51,16407,3.10843
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2001,44,16482,2.66958
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2002,38,16665,2.28023
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2003,75,16697,4.49182
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2004,71,16791,4.22846
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2005,68,16872,4.03035
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2006,56,17001,3.29392
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2007,69,17143,4.02497
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2008,42,17417,2.41144
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2009,87,17636,4.93309
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2010,81,17797,4.55133
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2011,96,17919,5.35744
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2012,122,18075,6.74965
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2013,106,18066,5.86738
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2014,99,18256,5.42287
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2015,94,18427,5.10121
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2016,113,18615,6.07037
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2017,134,18792,7.13069
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2018,147,19079,7.70481
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2019,157,19038,8.24666
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2020,143,19162,7.46269
Essen,11016,Nee,Interne uitwijking van vreemdelingen,2021,164,19196,8.54345
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2000,16,9151,1.74844
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2001,13,9112,1.42669
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2002,19,9225,2.05962
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2003,11,9319,1.18038
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2004,21,9436,2.22552
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2005,26,9550,2.72251
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2006,21,9663,2.17324
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2007,21,9755,2.15274
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2008,26,9866,2.63531
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2009,17,10047,1.69205
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2010,56,10166,5.50856
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2011,56,10318,5.42741
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2012,39,10605,3.67751
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2013,41,10765,3.80864
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2014,55,10866,5.06166
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2015,80,11040,7.24638
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2016,73,11148,6.54826
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2017,84,11233,7.47797
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2018,112,11368,9.85222
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2019,62,11559,5.36379
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2020,67,11634,5.75898
Hemiksem,11018,Nee,Interne uitwijking van vreemdelingen,2021,116,11722,9.89592
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2000,7,8306,0.84276
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2001,17,8277,2.05388
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2002,18,8261,2.17891
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2003,20,8162,2.45038
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2004,11,8155,1.34887
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2005,14,8177,1.71212
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2006,11,8307,1.32418
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2007,13,8298,1.56664
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2008,23,8323,2.76343
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2009,16,8212,1.94837
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2010,27,8199,3.29308
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2011,18,8190,2.1978
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2012,9,8199,1.09769
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2013,30,8198,3.65943
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2014,26,8216,3.16456
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2015,25,8193,3.05139
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2016,17,8141,2.0882
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2017,44,8152,5.39745
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2018,46,8115,5.66852
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2019,38,8125,4.67692
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2020,40,8277,4.83267
Hove,11021,Nee,Interne uitwijking van vreemdelingen,2021,34,8287,4.10281
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2000,105,17260,6.08343
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2001,92,17342,5.30504
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2002,89,17369,5.12407
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2003,71,17410,4.07812
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2004,78,17396,4.48379
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2005,68,17440,3.89908
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2006,101,17489,5.77506
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2007,80,17504,4.57038
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2008,113,17574,6.42995
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2009,86,17587,4.88998
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2010,102,17731,5.75264
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2011,114,17952,6.35027
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2012,95,18126,5.24109
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2013,91,18184,5.0044
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2014,117,18165,6.44096
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2015,122,18192,6.70624
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2016,107,18336,5.83551
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2017,144,18490,7.78799
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2018,160,18608,8.59845
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2019,112,18695,5.99091
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2020,89,18872,4.71598
Kalmthout,11022,Nee,Interne uitwijking van vreemdelingen,2021,130,19020,6.83491
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2000,93,25671,3.62276
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2001,115,25642,4.48483
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2002,78,25612,3.04545
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2003,118,25881,4.55933
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2004,110,25974,4.235
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2005,131,25975,5.04331
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2006,116,25948,4.47048
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2007,124,26104,4.75023
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2008,205,26222,7.81786
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2009,219,26297,8.32795
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2010,282,26427,10.6709
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2011,207,26437,7.82994
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2012,255,26546,9.60597
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2013,220,26506,8.30001
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2014,283,26540,10.66315
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2015,402,26702,15.05505
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2016,565,26745,21.12544
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2017,567,26750,21.19626
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2018,542,26771,20.24579
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2019,303,26850,11.28492
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2020,236,26981,8.7469
Kapellen,11023,Nee,Interne uitwijking van vreemdelingen,2021,472,27157,17.38042
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2000,27,19874,1.35856
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2001,20,19971,1.00145
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2002,55,20059,2.74191
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2003,49,20139,2.43309
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2004,40,20170,1.98314
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2005,49,20246,2.42023
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2006,41,20239,2.02579
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2007,68,20243,3.35919
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2008,45,20297,2.21708
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2009,45,20335,2.21293
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2010,90,20489,4.3926
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2011,88,20584,4.27517
Kontich,11024,Nee,Interne uitwijking van vreemdelingen,2012,94,20739,4.53252
