Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die een inburgeringsattest hebben behaald naar nationaliteitsgroep,Aantal inburgeraars die een inburgeringsattest hebben behaald,Procent
Antwerpen,11002,Ja,"Inburgeraars met inburgeringsattest, naar nationaliteit",2021,Onbepaalde nationaliteit,72,3762,0.0191388
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Derdelander,7,8,0.875
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,EU+ (excl. Nederland),1,8,0.125
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Nederland,0,8,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2010,Onbepaalde nationaliteit,0,8,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Derdelander,8,13,0.615385
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,EU+ (excl. Nederland),3,13,0.230769
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Nederland,0,13,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2011,Onbepaalde nationaliteit,2,13,0.153846
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Derdelander,9,11,0.818182
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,EU+ (excl. Nederland),2,11,0.181818
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Nederland,0,11,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2012,Onbepaalde nationaliteit,0,11,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Derdelander,12,14,0.857143
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,EU+ (excl. Nederland),2,14,0.142857
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2013,Nederland,0,14,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Derdelander,14,16,0.875
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,EU+ (excl. Nederland),2,16,0.125
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Nederland,0,16,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2014,Onbepaalde nationaliteit,0,16,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Derdelander,10,15,0.666667
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,EU+ (excl. Nederland),3,15,0.2
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Nederland,1,15,0.0666667
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2015,Onbepaalde nationaliteit,1,15,0.0666667
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Derdelander,14,19,0.736842
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,EU+ (excl. Nederland),5,19,0.263158
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Nederland,0,19,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2016,Onbepaalde nationaliteit,0,19,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Derdelander,27,30,0.9
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,EU+ (excl. Nederland),3,30,0.1
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Nederland,0,30,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringsattest, naar nationaliteit",2017,Onbepaalde nationaliteit,0,30,0.0
