Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Aantal inwoners,Verhouding per 10000 inwoners
Edegem,11013,Nee,Inburgeraars met inburgeringscontract,2015,51,21291,23.9538
Edegem,11013,Nee,Inburgeraars met inburgeringscontract,2016,52,21578,24.0986
Edegem,11013,Nee,Inburgeraars met inburgeringscontract,2017,50,21835,22.899
Edegem,11013,Nee,Inburgeraars met inburgeringscontract,2018,46,21947,20.9596
Edegem,11013,Nee,Inburgeraars met inburgeringscontract,2019,33,22063,14.9572
Edegem,11013,Nee,Inburgeraars met inburgeringscontract,2020,51,22261,22.91
Edegem,11013,Nee,Inburgeraars met inburgeringscontract,2021,41,22244,18.4319
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2010,44,17797,24.7233
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2011,28,17919,15.6259
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2012,36,18075,19.917
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2013,32,18066,17.7128
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2014,24,18256,13.1464
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2015,25,18427,13.567
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2016,38,18615,20.4136
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2017,52,18792,27.6713
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2018,36,19079,18.8689
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2019,56,19038,29.4149
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2020,34,19162,17.7435
Essen,11016,Nee,Inburgeraars met inburgeringscontract,2021,44,19196,22.9214
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2010,26,10166,25.5754
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2011,17,10318,16.4761
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2012,11,10605,10.3725
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2013,23,10765,21.3655
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2014,18,10866,16.5654
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2015,27,11040,24.4565
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2016,22,11148,19.7345
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2017,17,11233,15.134
Hemiksem,11018,Nee,Inburgeraars met inburgeringscontract,2018,22,11368,19.3526
