Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Aantal inwoners,Verhouding per 10.000 inwoners
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,45,8718,51.6173
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,32,8641,37.0328
Lint,11025,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,31,8575,36.1516
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,86,24737,34.7657
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,91,24804,36.6876
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,71,25143,28.2385
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,95,25202,37.6954
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,85,25242,33.674
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,85,25356,33.5226
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,119,25551,46.5735
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,101,25588,39.4716
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,101,25824,39.1109
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,79,26099,30.2694
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,78,26157,29.8199
Mortsel,11029,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,91,26170,34.7726
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,10,9268,10.7898
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,16,9387,17.0448
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,12,9461,12.6836
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,13,9582,13.5671
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,10,9833,10.1698
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,17,9962,17.0648
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,19,10136,18.7451
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,10,10236,9.76944
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,16,10424,15.3492
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,19,10501,18.0935
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,12,10546,11.3787
Niel,11030,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,17,10493,16.2013
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,119,18253,65.1948
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,159,18424,86.3005
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,189,18463,102.367
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,39,18581,20.9892
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,31,18607,16.6604
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,64,18696,34.2319
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,139,18856,73.7166
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,93,18981,48.9964
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,59,18981,31.0837
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,113,19008,59.4487
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,97,19187,50.5551
Ranst,11035,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,65,19249,33.768
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,17,14612,11.6343
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,26,14756,17.62
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,20,14876,13.4445
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,13,14922,8.71197
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,20,15025,13.3111
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,25,15118,16.5366
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,24,15140,15.852
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,22,15083,14.586
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,17,15114,11.2478
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,20,15090,13.2538
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,16,15050,10.6312
Rumst,11037,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,23,15146,15.1855
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,10,8104,12.3396
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,6,8080,7.42574
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,10,8088,12.364
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,14,8201,17.0711
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,6,8183,7.33227
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,9,8208,10.9649
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,8,8259,9.6864
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,8,8357,9.57281
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,13,8433,15.4156
Schelle,11038,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,9,8518,10.5659
