Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen met huidige nationaliteit uit de MOE-landen,Aantal inwoners,Procent
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,141,10318,0.0136654
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,187,10605,0.0176332
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,196,10765,0.0182072
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,205,10866,0.0188662
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,234,11040,0.0211957
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,253,11148,0.0226947
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,253,11233,0.0225229
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,271,11368,0.0238388
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,299,11559,0.0258673
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,328,11634,0.0281932
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,367,11722,0.0313087
Hemiksem,11018,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,369,11812,0.0312394
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,26,8306,0.00313027
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2001,17,8277,0.00205388
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2002,14,8261,0.00169471
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2003,21,8162,0.0025729
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2004,14,8155,0.00171674
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2005,15,8177,0.00183441
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2006,13,8307,0.00156495
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2007,9,8298,0.0010846
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2008,10,8323,0.00120149
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2009,12,8212,0.00146128
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2010,15,8199,0.00182949
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2011,15,8190,0.0018315
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2012,10,8199,0.00121966
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2013,23,8198,0.00280556
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2014,20,8216,0.00243427
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2015,24,8193,0.00292933
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2016,24,8141,0.00294804
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2017,38,8152,0.00466143
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2018,39,8115,0.00480591
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2019,44,8125,0.00541538
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2020,49,8277,0.00592002
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2021,50,8287,0.00603355
Hove,11021,Nee,Vreemdelingen met nationaliteit MOE-landen,2022,55,8311,0.00661774
Kalmthout,11022,Nee,Vreemdelingen met nationaliteit MOE-landen,2000,26,17260,0.00150637
