Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen dat zich als kiezer heeft ingeschreven,Aantal potentiële kiezers,Procent
Hove,11021,nee,Bereik niet-Belgische kiezers,2018,23,170,0.135294
Kalmthout,11022,nee,Bereik niet-Belgische kiezers,2012,128,1547,0.0827408
Kalmthout,11022,nee,Bereik niet-Belgische kiezers,2018,110,1534,0.071708
Kapellen,11023,nee,Bereik niet-Belgische kiezers,2012,302,1781,0.169568
Kapellen,11023,nee,Bereik niet-Belgische kiezers,2018,257,1760,0.146023
Kontich,11024,nee,Bereik niet-Belgische kiezers,2012,64,507,0.126233
Kontich,11024,nee,Bereik niet-Belgische kiezers,2018,92,693,0.132756
Lint,11025,nee,Bereik niet-Belgische kiezers,2012,17,117,0.145299
Lint,11025,nee,Bereik niet-Belgische kiezers,2018,14,235,0.0595745
Mortsel,11029,nee,Bereik niet-Belgische kiezers,2012,90,905,0.0994475
Mortsel,11029,nee,Bereik niet-Belgische kiezers,2018,127,1258,0.100954
Niel,11030,nee,Bereik niet-Belgische kiezers,2012,20,210,0.0952381
Niel,11030,nee,Bereik niet-Belgische kiezers,2018,27,340,0.0794118
Ranst,11035,nee,Bereik niet-Belgische kiezers,2012,31,265,0.116981
Ranst,11035,nee,Bereik niet-Belgische kiezers,2018,34,327,0.103976
Rumst,11037,nee,Bereik niet-Belgische kiezers,2012,31,262,0.118321
Rumst,11037,nee,Bereik niet-Belgische kiezers,2018,52,372,0.139785
Schelle,11038,nee,Bereik niet-Belgische kiezers,2012,10,134,0.0746269
Schelle,11038,nee,Bereik niet-Belgische kiezers,2018,10,202,0.049505
Schilde,11039,nee,Bereik niet-Belgische kiezers,2012,344,1276,0.269592
