Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen van buitenlandse herkomst zonder personen van Nederlandse herkomst,Aantal inwoners ,Procent
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,2012,15330,0.131246
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,2171,15567,0.139462
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,2306,15729,0.146608
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,2555,16096,0.158735
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,2820,16326,0.172731
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,3068,16444,0.186573
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,3259,16598,0.196349
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,3479,16709,0.208211
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,3777,16989,0.22232
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,4102,17166,0.238961
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,4303,17227,0.249782
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,4419,17231,0.256456
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,4750,17559,0.270517
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,5069,17737,0.285787
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,5264,17788,0.29593
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,5562,17970,0.309516
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,5976,18244,0.32756
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,6386,18555,0.344166
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,6731,18799,0.358051
Boom,11005,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,6999,18832,0.371655
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,672,10373,0.0647836
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,667,10295,0.0647887
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,662,10278,0.0644094
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,735,10298,0.0713731
Borsbeek,11007,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,764,10304,0.074146
