Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2005,32,10304,3.10559
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2006,41,10257,3.99727
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2007,53,10224,5.18388
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2008,42,10125,4.14815
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2009,65,10136,6.41279
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2010,63,10125,6.22222
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2011,50,10207,4.8986
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2012,64,10233,6.25428
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2013,66,10278,6.42148
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2014,57,10451,5.45402
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2015,72,10465,6.88008
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2016,73,10540,6.926
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2017,82,10581,7.74974
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2018,64,10685,5.98971
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2019,77,10854,7.09416
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2020,72,10949,6.57594
Borsbeek,11007,Nee,Externe inwijking van vreemdelingen,2021,80,11077,7.22217
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2000,245,37138,6.59702
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2001,298,37151,8.02132
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2002,208,37249,5.58404
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2003,315,37183,8.47161
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2004,273,37165,7.34562
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2005,293,37180,7.88058
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2006,310,37282,8.315
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2007,333,37133,8.96776
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2008,359,37180,9.65573
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2009,230,37014,6.21387
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2010,297,36949,8.03811
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2011,303,37189,8.14757
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2012,214,37301,5.73711
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2013,217,37286,5.81988
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2014,248,37502,6.61298
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2015,294,37480,7.84418
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2016,253,37673,6.71568
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2017,238,37792,6.29763
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2018,255,37850,6.73712
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2019,280,37946,7.37891
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2020,213,38223,5.57256
Brasschaat,11008,Nee,Externe inwijking van vreemdelingen,2021,224,38211,5.86219
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2000,74,25091,2.94926
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2001,79,25329,3.11895
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2002,82,25451,3.22188
Brecht,11009,Nee,Externe inwijking van vreemdelingen,2003,136,25607,5.31105
