Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal leerlingen dat in gewoon secundair onderwijs minstens 2 jaar schoolse vertraging heeft opgelopen, naar thuistaal, wonend in de gemeente","Aantal leerlingen in het gewoon secundair onderwijs, naar thuistaal, wonend in de gemeente",Procent
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,74,933,0.079314
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,33,203,0.162562
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,58,938,0.0618337
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,36,245,0.146939
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,60,956,0.0627615
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,34,269,0.126394
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,58,958,0.0605428
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,44,314,0.140127
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,42,970,0.043299
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,35,346,0.101156
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,46,956,0.0481172
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,39,380,0.102632
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,49,992,0.0493952
Boom,11005,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,46,430,0.106977
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,30,529,0.0567108
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,11,62,0.177419
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,25,505,0.049505
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,14,81,0.17284
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,28,487,0.0574949
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,13,83,0.156627
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,28,500,0.056
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,14,89,0.157303
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,21,490,0.0428571
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,15,101,0.148515
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,24,493,0.0486815
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,17,104,0.163462
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,19,471,0.0403397
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,17,116,0.146552
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,14,481,0.029106
Borsbeek,11007,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,17,140,0.121429
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,121,2332,0.0518868
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,30,126,0.238095
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,117,2250,0.052
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,33,130,0.253846
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,100,2201,0.0454339
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,34,145,0.234483
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,80,2178,0.0367309
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,45,161,0.279503
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,68,2088,0.032567
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,47,183,0.256831
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,67,2058,0.0325559
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,38,191,0.198953
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,65,2048,0.0317383
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,33,215,0.153488
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,51,2080,0.0245192
Brasschaat,11008,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,32,219,0.146119
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,76,1955,0.0388747
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,6,38,0.157895
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,77,1944,0.0396091
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,8,38,0.210526
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,73,1903,0.0383605
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,6,40,0.15
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,61,1824,0.033443
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,6,41,0.146341
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,47,1765,0.0266289
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,7,46,0.152174
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,46,1709,0.0269163
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,6,61,0.0983607
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,38,1673,0.0227137
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,8,63,0.126984
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,30,1680,0.0178571
Brecht,11009,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,10,66,0.151515
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,44,1093,0.0402562
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,20,149,0.134228
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,44,1058,0.0415879
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,25,170,0.147059
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,40,1030,0.038835
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,23,188,0.12234
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,40,1013,0.0394867
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,28,210,0.133333
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,30,1000,0.03
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,29,229,0.126638
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,34,981,0.0346585
Edegem,11013,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,21,228,0.0921053
