Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal personen dat zich als kiezer heeft ingeschreven per nationaliteitsgroep,Aantal potentiële kiezers per nationaliteitsgroep,Procent
Mechelen,12025,ja,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,319,2505,0.127345
Nijlen,12026,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,32,190,0.168421
Nijlen,12026,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,47,0.0425532
Nijlen,12026,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,23,262,0.0877863
Nijlen,12026,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,88,0.0340909
Putte,12029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,20,196,0.102041
Putte,12029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,45,0.0
Putte,12029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,28,317,0.0883281
Putte,12029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,92,0.0108696
Sint-Katelijne-Waver,12035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,16,441,0.0362812
Sint-Katelijne-Waver,12035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,70,0.0285714
Sint-Katelijne-Waver,12035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,21,598,0.0351171
Sint-Katelijne-Waver,12035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,6,137,0.0437956
Willebroek,12040,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,65,439,0.148064
Willebroek,12040,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,47,365,0.128767
Willebroek,12040,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,142,823,0.172539
Willebroek,12040,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,130,585,0.222222
Arendonk,13001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,65,1211,0.0536746
Arendonk,13001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,48,0.0
Arendonk,13001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,83,1360,0.0610294
Arendonk,13001,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,49,0.0204082
Baarle-Hertog,13002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,362,1012,0.357708
Baarle-Hertog,13002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,1,0.0
Baarle-Hertog,13002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,324,1077,0.300836
Baarle-Hertog,13002,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,19,0.105263
Balen,13003,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,38,665,0.0571429
Balen,13003,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,42,0.047619
Balen,13003,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,33,781,0.0422535
Balen,13003,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,92,0.0434783
Beerse,13004,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,52,588,0.0884354
Beerse,13004,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,57,0.0350877
Beerse,13004,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,58,675,0.0859259
Beerse,13004,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,82,0.0487805
Dessel,13006,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,26,317,0.0820189
Dessel,13006,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,19,0.0
Dessel,13006,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,24,393,0.0610687
Dessel,13006,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,24,0.0416667
Geel,13008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,44,931,0.047261
Geel,13008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,3,218,0.0137615
Geel,13008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,51,1408,0.0362216
Geel,13008,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,9,324,0.0277778
Grobbendonk,13010,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,23,193,0.119171
Grobbendonk,13010,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,31,0.0645161
Grobbendonk,13010,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,25,243,0.102881
Grobbendonk,13010,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,46,0.0652174
Herentals,13011,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,75,482,0.155602
Herentals,13011,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,35,178,0.196629
Herentals,13011,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,70,728,0.0961538
Herentals,13011,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,40,243,0.164609
Herenthout,13012,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,5,158,0.0316456
Herenthout,13012,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,16,0.0
Herenthout,13012,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,8,296,0.027027
Herenthout,13012,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,0,23,0.0
Herselt,13013,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,13,209,0.062201
Herselt,13013,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,37,0.0
Herselt,13013,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,10,247,0.0404858
Herselt,13013,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,0,53,0.0
Hoogstraten,13014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,579,3834,0.151017
Hoogstraten,13014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,18,76,0.236842
Hoogstraten,13014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,493,4478,0.110094
Hoogstraten,13014,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,98,0.0306122
Hulshout,13016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,17,120,0.141667
Hulshout,13016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,16,0.0
Hulshout,13016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,22,144,0.152778
Hulshout,13016,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,4,22,0.181818
Kasterlee,13017,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,35,420,0.0833333
Kasterlee,13017,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,29,0.0344828
Kasterlee,13017,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,67,558,0.120072
Kasterlee,13017,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,6,60,0.1
Lille,13019,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,33,280,0.117857
Lille,13019,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,6,32,0.1875
Lille,13019,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,27,333,0.0810811
Lille,13019,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,58,0.0344828
Meerhout,13021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,11,161,0.068323
Meerhout,13021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,2,34,0.0588235
Meerhout,13021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,14,236,0.059322
Meerhout,13021,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,1,57,0.0175439
Merksplas,13023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,43,481,0.0893971
Merksplas,13023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,18,0.0
Merksplas,13023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,34,585,0.0581197
Merksplas,13023,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,0,22,0.0
Mol,13025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,163,1621,0.100555
Mol,13025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,38,220,0.172727
Mol,13025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,174,1854,0.0938511
Mol,13025,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,47,429,0.109557
Olen,13029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,12,163,0.0736196
Olen,13029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,0,32,0.0
Olen,13029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,10,255,0.0392157
Olen,13029,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,0,51,0.0
Oud-Turnhout,13031,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,117,1199,0.0975813
Oud-Turnhout,13031,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,26,0.0384615
Oud-Turnhout,13031,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,95,1237,0.0767987
Oud-Turnhout,13031,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,2,62,0.0322581
Ravels,13035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,EU,448,3370,0.132938
Ravels,13035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2012,Niet-EU,1,42,0.0238095
Ravels,13035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,EU,465,3627,0.128205
Ravels,13035,nee,"Bereik niet-Belgische kiezers, naar nationaliteit",2018,Niet-EU,3,72,0.0416667
