Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die een inburgeringsattest hebben behaald,Aantal inwoners,Verhouding per 10000 inwoners
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2020,45,26981,16.6784
Kapellen,11023,Nee,Inburgeraars met inburgeringsattest,2021,48,27157,17.675
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2010,14,20489,6.83293
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2011,18,20584,8.74466
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2012,21,20739,10.1258
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2013,16,20883,7.66173
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2014,20,20913,9.56343
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2015,19,20886,9.097
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2016,20,20873,9.58176
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2017,35,20952,16.7048
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2018,20,21074,9.49037
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2019,29,21115,13.7343
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2020,38,21203,17.922
Kontich,11024,Nee,Inburgeraars met inburgeringsattest,2021,34,21260,15.9925
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2010,12,8363,14.3489
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2011,2,8522,2.34687
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2012,10,8620,11.6009
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2013,4,8668,4.61467
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2014,11,8752,12.5686
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2015,17,8767,19.3909
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2016,12,8821,13.6039
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2017,15,8781,17.0823
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2018,20,8787,22.7609
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2019,11,8718,12.6176
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2020,12,8641,13.8873
Lint,11025,Nee,Inburgeraars met inburgeringsattest,2021,14,8575,16.3265
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2010,26,24737,10.5106
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2011,60,24804,24.1896
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2012,54,25143,21.4772
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2013,61,25202,24.2044
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2014,77,25242,30.5047
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2015,77,25356,30.3676
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2016,61,25551,23.8738
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2017,95,25588,37.1268
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2018,54,25824,20.9108
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2019,67,26099,25.6715
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2020,78,26157,29.8199
Mortsel,11029,Nee,Inburgeraars met inburgeringsattest,2021,78,26170,29.8051
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2010,3,9268,3.23694
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2011,11,9387,11.7183
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2012,9,9461,9.51274
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2013,8,9582,8.34899
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2014,11,9833,11.1868
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2015,5,9962,5.01907
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2016,13,10136,12.8256
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2017,14,10236,13.6772
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2018,10,10424,9.59325
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2019,5,10501,4.76145
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2020,9,10546,8.53404
Niel,11030,Nee,Inburgeraars met inburgeringsattest,2021,8,10493,7.62413
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2010,18,18253,9.86139
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2011,24,18424,13.0265
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2012,12,18463,6.49949
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2013,16,18581,8.61095
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2014,24,18607,12.8984
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2015,17,18696,9.09285
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2016,19,18856,10.0764
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2017,16,18981,8.42948
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2018,10,18981,5.26843
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2019,11,19008,5.78704
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2020,39,19187,20.3263
Ranst,11035,Nee,Inburgeraars met inburgeringsattest,2021,25,19249,12.9877
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2010,9,14612,6.15932
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2011,8,14756,5.42152
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2012,8,14876,5.37779
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2013,10,14922,6.70151
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2014,6,15025,3.99334
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2015,18,15118,11.9063
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2016,13,15140,8.58653
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2017,13,15083,8.61898
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2018,13,15114,8.6013
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2019,12,15090,7.95229
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2020,10,15050,6.64452
Rumst,11037,Nee,Inburgeraars met inburgeringsattest,2021,20,15146,13.2048
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2010,0,8104,0.0
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2011,6,8080,7.42574
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2012,4,8088,4.9456
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2013,5,8201,6.09682
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2014,10,8183,12.2205
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2015,10,8208,12.1832
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2016,7,8259,8.4756
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2017,4,8357,4.78641
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2018,6,8433,7.11491
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2019,7,8518,8.21789
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2020,5,8529,5.86235
Schelle,11038,Nee,Inburgeraars met inburgeringsattest,2021,4,8559,4.67344
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2010,6,19496,3.07755
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2011,6,19429,3.08817
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2012,2,19472,1.02712
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2013,6,19308,3.10752
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2014,8,19400,4.12371
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2015,8,19375,4.12903
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2016,17,19434,8.74756
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2017,14,19516,7.1736
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2018,18,19585,9.19071
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2019,14,19652,7.12396
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2020,12,19873,6.03834
Schilde,11039,Nee,Inburgeraars met inburgeringsattest,2021,18,19925,9.03388
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2010,23,33342,6.89821
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2011,38,33600,11.3095
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2012,36,33766,10.6616
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2013,20,33776,5.92136
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2014,44,33871,12.9905
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2015,39,34016,11.4652
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2016,68,34063,19.963
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2017,51,34273,14.8805
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2018,42,34462,12.1873
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2019,37,34517,10.7194
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2020,45,34316,13.1134
Schoten,11040,Nee,Inburgeraars met inburgeringsattest,2021,42,34291,12.2481
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2010,17,17966,9.46232
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2011,10,17961,5.56762
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2012,9,18028,4.99223
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2013,8,18140,4.41014
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2014,10,18304,5.46329
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2015,19,18407,10.3222
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2016,27,18515,14.5828
Stabroek,11044,Nee,Inburgeraars met inburgeringsattest,2017,29,18498,15.6774
