Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal OKAN-leerlingen, wonend in de gemeente","Aantal OKAN-leerlingen, naar thuistaal, wonend in de gemeente",Procent
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Nederlands,0,9,0.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Niet Nederlands,8,9,0.888889
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Onbekend,1,9,0.111111
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Nederlands,1,12,0.0833333
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Niet Nederlands,10,12,0.833333
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Onbekend,1,12,0.0833333
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,0,6,0.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,6,6,1.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,0,6,0.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,1,16,0.0625
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,15,16,0.9375
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,0,16,0.0
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,1,9,0.111111
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,5,9,0.555556
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,3,9,0.333333
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,0,5,0.0
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,2,5,0.4
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,3,5,0.6
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Nederlands,0,7,0.0
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Niet Nederlands,7,7,1.0
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Onbekend,0,7,0.0
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,0,7,0.0
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,7,7,1.0
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,0,7,0.0
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,1,11,0.0909091
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,10,11,0.909091
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,0,11,0.0
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,1,7,0.142857
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,6,7,0.857143
Borsbeek,11007,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,0,7,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,0,7,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,5,7,0.714286
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,2,7,0.285714
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,0,5,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,5,5,1.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,0,5,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Niet Nederlands,5,5,1.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Nederlands,1,8,0.125
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Niet Nederlands,7,8,0.875
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Onbekend,0,8,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Nederlands,0,9,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Niet Nederlands,7,9,0.777778
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Onbekend,2,9,0.222222
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,0,6,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,6,6,1.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,0,6,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,0,9,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,9,9,1.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,0,9,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,0,11,0.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,11,11,1.0
Brasschaat,11008,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,0,11,0.0
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,0,1,0.0
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,1,1,1.0
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,0,1,0.0
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,0,8,0.0
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,6,8,0.75
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,2,8,0.25
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,1,8,0.125
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,7,8,0.875
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,0,8,0.0
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,1,6,0.166667
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,5,6,0.833333
Brecht,11009,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,0,6,0.0
