Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die een inburgeringscontract hebben ondertekend naar nationaliteitsgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Procent
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Onbepaalde nationaliteit,171,4562,0.0374836
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Derdelander,4566,5702,0.800772
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,EU+ (excl. Nederland),940,5702,0.164854
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Nederland,33,5702,0.00578744
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Onbepaalde nationaliteit,163,5702,0.0285865
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Derdelander,3443,4547,0.757203
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,EU+ (excl. Nederland),936,4547,0.20585
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Nederland,27,4547,0.00593798
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Onbepaalde nationaliteit,141,4547,0.0310095
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Derdelander,3085,4212,0.732431
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,EU+ (excl. Nederland),972,4212,0.230769
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Nederland,29,4212,0.00688509
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Onbepaalde nationaliteit,126,4212,0.0299145
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Derdelander,3160,4207,0.751129
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,EU+ (excl. Nederland),911,4207,0.216544
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Nederland,27,4207,0.00641787
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Onbepaalde nationaliteit,109,4207,0.0259092
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Derdelander,2640,3487,0.757098
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,EU+ (excl. Nederland),773,3487,0.221681
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Nederland,8,3487,0.00229424
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Onbepaalde nationaliteit,66,3487,0.0189274
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Derdelander,3665,4738,0.773533
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,EU+ (excl. Nederland),971,4738,0.204939
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Nederland,28,4738,0.00590967
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Onbepaalde nationaliteit,74,4738,0.0156184
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Derdelander,14,18,0.777778
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,EU+,2,18,0.111111
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Onbepaalde nationaliteit,2,18,0.111111
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Derdelander,22,23,0.956522
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,EU+,1,23,0.0434783
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Onbepaalde nationaliteit,0,23,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Derdelander,11,15,0.733333
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,EU+ (excl. Nederland),4,15,0.266667
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Nederland,0,15,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Onbepaalde nationaliteit,0,15,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Derdelander,11,13,0.846154
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,EU+ (excl. Nederland),2,13,0.153846
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Nederland,0,13,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Onbepaalde nationaliteit,0,13,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Derdelander,8,14,0.571429
