Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Interne inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2009,103,10136,10.1618
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2010,139,10125,13.7284
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2011,131,10207,12.83433
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2012,161,10233,15.73341
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2013,160,10278,15.56723
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2014,130,10451,12.439
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2015,160,10465,15.28906
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2016,158,10540,14.99051
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2017,192,10581,18.14573
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2018,259,10685,24.23959
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2019,201,10854,18.51852
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2020,223,10949,20.36716
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2021,212,11077,19.13876
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2000,113,37138,3.04271
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2001,151,37151,4.06449
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2002,156,37249,4.18803
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2003,126,37183,3.38865
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2004,114,37165,3.0674
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2005,154,37180,4.14201
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2006,150,37282,4.02339
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2007,161,37133,4.33577
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2008,157,37180,4.2227
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2009,192,37014,5.18723
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2010,210,36949,5.68351
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2011,186,37189,5.00148
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2012,168,37301,4.5039
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2013,251,37286,6.73175
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2014,278,37502,7.41294
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2015,260,37480,6.93703
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2016,282,37673,7.48547
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2017,341,37792,9.02307
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2018,307,37850,8.11096
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2019,277,37946,7.29985
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2020,263,38223,6.88067
Brasschaat,11008,Nee,Interne inwijking van vreemdelingen,2021,255,38211,6.67347
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2000,64,25091,2.55072
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2001,41,25329,1.6187
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2002,60,25451,2.35747
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2003,73,25607,2.85078
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2004,62,25908,2.39308
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2005,73,26029,2.80456
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2006,70,26464,2.6451
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2007,94,26730,3.51665
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2008,101,27170,3.71734
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2009,88,27406,3.21098
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2010,81,27597,2.9351
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2011,102,27801,3.66893
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2012,104,27906,3.7268
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2013,90,28016,3.21245
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2014,116,28174,4.11727
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2015,121,28248,4.28349
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2016,165,28534,5.78258
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2017,131,28786,4.55082
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2018,168,29010,5.79111
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2019,106,29268,3.6217
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2020,213,29454,7.23162
Brecht,11009,Nee,Interne inwijking van vreemdelingen,2021,176,29809,5.90426
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2000,78,22253,3.50515
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2001,79,22188,3.56048
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2002,55,22024,2.49728
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2003,62,21964,2.8228
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2004,64,21912,2.92077
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2005,56,21866,2.56105
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2006,95,21668,4.38435
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2007,83,21616,3.83975
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2008,100,21381,4.67705
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2009,86,21222,4.0524
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2010,117,21171,5.52643
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2011,150,21103,7.10799
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2012,186,21064,8.83023
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2013,179,21159,8.45976
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2014,137,21251,6.44676
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2015,214,21291,10.0512
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2016,233,21578,10.79804
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2017,265,21835,12.13648
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2018,248,21947,11.29995
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2019,234,22063,10.60599
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2020,203,22261,9.11909
Edegem,11013,Nee,Interne inwijking van vreemdelingen,2021,224,22244,10.07013
Essen,11016,Nee,Interne inwijking van vreemdelingen,2000,40,16407,2.43798
Essen,11016,Nee,Interne inwijking van vreemdelingen,2001,29,16482,1.7595
Essen,11016,Nee,Interne inwijking van vreemdelingen,2002,33,16665,1.9802
Essen,11016,Nee,Interne inwijking van vreemdelingen,2003,26,16697,1.55717
Essen,11016,Nee,Interne inwijking van vreemdelingen,2004,29,16791,1.72712
Essen,11016,Nee,Interne inwijking van vreemdelingen,2005,56,16872,3.31911
Essen,11016,Nee,Interne inwijking van vreemdelingen,2006,68,17001,3.99976
Essen,11016,Nee,Interne inwijking van vreemdelingen,2007,64,17143,3.7333
Essen,11016,Nee,Interne inwijking van vreemdelingen,2008,118,17417,6.77499
Essen,11016,Nee,Interne inwijking van vreemdelingen,2009,71,17636,4.02586
Essen,11016,Nee,Interne inwijking van vreemdelingen,2010,49,17797,2.75327
Essen,11016,Nee,Interne inwijking van vreemdelingen,2011,81,17919,4.52034
Essen,11016,Nee,Interne inwijking van vreemdelingen,2012,68,18075,3.7621
Essen,11016,Nee,Interne inwijking van vreemdelingen,2013,84,18066,4.64962
Essen,11016,Nee,Interne inwijking van vreemdelingen,2014,98,18256,5.3681
Essen,11016,Nee,Interne inwijking van vreemdelingen,2015,90,18427,4.88414
Essen,11016,Nee,Interne inwijking van vreemdelingen,2016,103,18615,5.53317
Essen,11016,Nee,Interne inwijking van vreemdelingen,2017,134,18792,7.13069
Essen,11016,Nee,Interne inwijking van vreemdelingen,2018,135,19079,7.07584
Essen,11016,Nee,Interne inwijking van vreemdelingen,2019,135,19038,7.09108
Essen,11016,Nee,Interne inwijking van vreemdelingen,2020,107,19162,5.58397
Essen,11016,Nee,Interne inwijking van vreemdelingen,2021,135,19196,7.03272
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2000,10,9151,1.09278
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2001,12,9112,1.31694
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2002,22,9225,2.38482
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2003,20,9319,2.14615
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2004,31,9436,3.28529
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2005,21,9550,2.19895
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2006,61,9663,6.31274
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2007,37,9755,3.79293
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2008,61,9866,6.18285
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2009,56,10047,5.5738
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2010,82,10166,8.0661
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2011,108,10318,10.46714
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2012,71,10605,6.69496
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2013,95,10765,8.8249
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2014,101,10866,9.29505
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2015,103,11040,9.32971
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2016,74,11148,6.63796
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2017,152,11233,13.53156
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2018,159,11368,13.98663
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2019,126,11559,10.9006
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2020,138,11634,11.86178
Hemiksem,11018,Nee,Interne inwijking van vreemdelingen,2021,142,11722,12.11397
Hove,11021,Nee,Interne inwijking van vreemdelingen,2000,6,8306,0.72237
Hove,11021,Nee,Interne inwijking van vreemdelingen,2001,10,8277,1.20817
Hove,11021,Nee,Interne inwijking van vreemdelingen,2002,18,8261,2.17891
Hove,11021,Nee,Interne inwijking van vreemdelingen,2003,7,8162,0.85763
Hove,11021,Nee,Interne inwijking van vreemdelingen,2004,23,8155,2.82036
Hove,11021,Nee,Interne inwijking van vreemdelingen,2005,11,8177,1.34524
Hove,11021,Nee,Interne inwijking van vreemdelingen,2006,11,8307,1.32418
Hove,11021,Nee,Interne inwijking van vreemdelingen,2007,25,8298,3.01277
Hove,11021,Nee,Interne inwijking van vreemdelingen,2008,20,8323,2.40298
Hove,11021,Nee,Interne inwijking van vreemdelingen,2009,14,8212,1.70482
Hove,11021,Nee,Interne inwijking van vreemdelingen,2010,28,8199,3.41505
Hove,11021,Nee,Interne inwijking van vreemdelingen,2011,21,8190,2.5641
Hove,11021,Nee,Interne inwijking van vreemdelingen,2012,26,8199,3.17112
Hove,11021,Nee,Interne inwijking van vreemdelingen,2013,20,8198,2.43962
Hove,11021,Nee,Interne inwijking van vreemdelingen,2014,21,8216,2.55599
Hove,11021,Nee,Interne inwijking van vreemdelingen,2015,22,8193,2.68522
Hove,11021,Nee,Interne inwijking van vreemdelingen,2016,37,8141,4.5449
Hove,11021,Nee,Interne inwijking van vreemdelingen,2017,32,8152,3.92542
Hove,11021,Nee,Interne inwijking van vreemdelingen,2018,50,8115,6.16143
Hove,11021,Nee,Interne inwijking van vreemdelingen,2019,57,8125,7.01538
Hove,11021,Nee,Interne inwijking van vreemdelingen,2020,50,8277,6.04084
Hove,11021,Nee,Interne inwijking van vreemdelingen,2021,29,8287,3.49946
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2000,74,17260,4.28737
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2001,96,17342,5.53569
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2002,55,17369,3.16656
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2003,101,17410,5.80126
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2004,71,17396,4.0814
Kalmthout,11022,Nee,Interne inwijking van vreemdelingen,2005,77,17440,4.41514
