Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal leerlingen dat in gewoon lager onderwijs minstens 2 jaar schoolse vertraging heeft opgelopen, naar thuistaal, wonend in de gemeente","Aantal leerlingen in het gewoon lager onderwijs, naar thuistaal, wonend in de gemeente",Procent
Niel,11030,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,0,101,0.0
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,5,1056,0.00473485
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,1,29,0.0344828
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,4,1079,0.00370714
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,2,43,0.0465116
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,2,1074,0.0018622
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,2,52,0.0384615
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,0,1100,0.0
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,4,59,0.0677966
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,0,1088,0.0
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,3,69,0.0434783
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,1,1075,0.000930233
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,3,80,0.0375
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,0,1084,0.0
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,2,85,0.0235294
Ranst,11035,Nee,"Schoolse vertraging lager onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,2,1093,0.00182983
