Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Statuut,Aantal meerderjarige nieuwkomers naar statuut,Aantal meerderjarige nieuwkomers,Procent
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2017,EU+ voldoende bestaansmidd.,2106,43335,0.0486
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2017,EU-onderdaan onbekende reden,6698,43335,0.15456
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2017,Gezinshereniger,10225,43335,0.23595
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2017,Overig statuut,5013,43335,0.11568
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2018,Arbeidsmigrant,13341,45414,0.29376
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2018,Asielzoeker/erkend vluchtel.,5683,45414,0.12514
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2018,EU+ student,1902,45414,0.04188
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2018,EU+ voldoende bestaansmidd.,2073,45414,0.04565
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2018,EU-onderdaan onbekende reden,8502,45414,0.18721
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2018,Gezinshereniger,9751,45414,0.21471
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2018,Overig statuut,4162,45414,0.09165
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2019,Arbeidsmigrant,16465,51746,0.31819
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2019,Asielzoeker/erkend vluchtel.,6202,51746,0.11985
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2019,EU+ student,2382,51746,0.04603
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2019,EU+ voldoende bestaansmidd.,2388,51746,0.04615
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2019,EU-onderdaan onbekende reden,8247,51746,0.15937
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2019,Gezinshereniger,10836,51746,0.20941
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2019,Onbepaald statuut,122,51746,0.00236
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2019,Overig statuut,5104,51746,0.09864
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2020,Arbeidsmigrant,12957,41993,0.30855
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2020,Asielzoeker/erkend vluchtel.,4635,41993,0.11038
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2020,EU+ student,1587,41993,0.03779
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2020,EU+ voldoende bestaansmidd.,2416,41993,0.05753
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2020,EU-onderdaan onbekende reden,7050,41993,0.16789
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2020,Gezinshereniger,9505,41993,0.22635
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2020,Onbepaald statuut,114,41993,0.00271
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2020,Overig statuut,3729,41993,0.0888
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2021,Arbeidsmigrant,13549,39097,0.34655
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2021,Asielzoeker/erkend vluchtel.,4529,39097,0.11584
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2021,EU+ student,1490,39097,0.03811
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2021,EU+ voldoende bestaansmidd.,2563,39097,0.06555
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2021,EU-onderdaan onbekende reden,731,39097,0.0187
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2021,Gezinshereniger,10549,39097,0.26982
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2021,Onbepaald statuut,10,39097,0.00026
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2021,Overig statuut,5676,39097,0.14518
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2010,Arbeidsmigrant,7,46,0.15217
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2010,Asielzoeker/erkend vluchtel.,2,46,0.04348
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2010,EU-onderdaan onbekende reden,16,46,0.34783
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2010,Geregulariseerd,2,46,0.04348
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2010,Gezinshereniger,17,46,0.36957
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2010,Onbepaald statuut,2,46,0.04348
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2011,Arbeidsmigrant,9,30,0.3
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2011,Asielzoeker/erkend vluchtel.,4,30,0.13333
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2011,EU+ student,0,30,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2011,EU-onderdaan onbekende reden,5,30,0.16667
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2011,Geregulariseerd,0,30,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2011,Gezinshereniger,12,30,0.4
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2011,Onbepaald statuut,0,30,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2012,Arbeidsmigrant,9,30,0.3
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2012,Asielzoeker/erkend vluchtel.,0,30,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2012,EU+ student,0,30,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2012,EU-onderdaan onbekende reden,8,30,0.26667
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2012,Geregulariseerd,0,30,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2012,Gezinshereniger,13,30,0.43333
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2012,Onbepaald statuut,0,30,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2013,Arbeidsmigrant,17,41,0.41463
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2013,Asielzoeker/erkend vluchtel.,3,41,0.07317
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2013,EU+ student,0,41,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2013,EU-onderdaan onbekende reden,5,41,0.12195
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2013,Geregulariseerd,1,41,0.02439
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2013,Gezinshereniger,13,41,0.31707
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2013,Overig statuut,2,41,0.04878
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2014,Arbeidsmigrant,10,35,0.28571
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2014,Asielzoeker/erkend vluchtel.,1,35,0.02857
