Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal huurders,Aantal inwoners per nationaliteitsgroep,Procent
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,3,404,0.00742574
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,België,62,24373,0.0025438
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),7,1984,0.00352823
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,9,393,0.0229008
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,België,61,24387,0.00250133
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),7,1958,0.00357508
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,11,426,0.0258216
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,België,55,24429,0.00225142
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),7,1983,0.00353001
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,13,438,0.0296804
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,België,62,24556,0.00252484
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),7,1967,0.00355872
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,7,458,0.0152838
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,België,150,20101,0.00746232
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),8,497,0.0160966
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,21,285,0.0736842
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,België,147,20083,0.00731962
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),9,556,0.0161871
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,22,274,0.080292
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,België,145,20011,0.00724601
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),9,598,0.0150502
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,22,277,0.0794224
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,België,143,19946,0.00716936
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),9,646,0.0139319
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,23,281,0.0818505
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,België,142,19983,0.00710604
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),8,674,0.0118694
Kontich,11024,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,24,295,0.0813559
