Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal leerlingen in het deeltijds beroepssecundair onderwijs, wonend in de gemeente, naar thuistaal","Aantal leerlingen in gewoon secundair onderwijs, wonend in de gemeente",Procent
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Niet Nederlands,573,1432,0.40014
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Onbekend,74,1432,0.051676
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Nederlands,779,1438,0.541725
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Niet Nederlands,578,1438,0.401947
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Onbekend,81,1438,0.0563282
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,785,1456,0.539148
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,597,1456,0.410027
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Onbekend,74,1456,0.0508242
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,796,1388,0.573487
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,530,1388,0.381844
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Onbekend,62,1388,0.0446686
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,716,1288,0.555901
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,538,1288,0.417702
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Onbekend,34,1288,0.0263975
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,667,1233,0.540957
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,534,1233,0.43309
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Onbekend,32,1233,0.025953
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,594,1217,0.488085
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,584,1217,0.479869
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Onbekend,39,1217,0.032046
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,579,1223,0.473426
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,606,1223,0.495503
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Onbekend,38,1223,0.0310711
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,628,1269,0.494878
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,615,1269,0.484634
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Onbekend,26,1269,0.0204886
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,604,1293,0.467131
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,660,1293,0.510441
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Onbekend,29,1293,0.0224285
Boechout,11004,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Nederlands,19,20,0.95
