Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Leeftijd,Aantal meerderjarige nieuwkomers naar leeftijdsgroep,Aantal meerderjarige nieuwkomers,Procent
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,3,115,0.026087
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,43,80,0.5375
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,24,80,0.3
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,11,80,0.1375
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,2,80,0.025
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,56,56,1.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,0,56,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,34,34,1.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,0,34,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,37,38,0.973684
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,1,38,0.0263158
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,52,52,1.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,0,52,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,29,40,0.725
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,10,40,0.25
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,1,40,0.025
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,0,40,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,35,55,0.636364
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,19,55,0.345455
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,1,55,0.0181818
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,0,55,0.0
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,32,56,0.571429
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,22,56,0.392857
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,1,56,0.0178571
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,1,56,0.0178571
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,36,61,0.590164
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,21,61,0.344262
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,2,61,0.0327869
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,2,61,0.0327869
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,23,50,0.46
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,22,50,0.44
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,4,50,0.08
Borsbeek,11007,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,1,50,0.02
