Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Migratiesaldo,Aantal inwoners,Verhouding per 1000 inwoners
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2020,43,14427,2.98052263117765
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2021,121,14455,8.37080594949844
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2000,2355,446525,5.27406080286658
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2001,4638,445570,10.4091388558476
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2002,5230,448709,11.6556610186112
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2003,4698,452474,10.3829170294868
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2004,4768,455148,10.4757133943245
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2005,5230,457749,11.4254755335348
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2006,6327,461496,13.7097612980394
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2007,7225,466203,15.4975407708659
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2008,6999,471598,14.8410298601775
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2009,6218,477936,13.0101101402698
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2010,9008,483505,18.6306242955088
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2011,10477,493517,21.2292585665742
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2012,8089,502604,16.0941815027338
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2013,6550,507911,12.8959601189972
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2014,6587,510610,12.9002565558841
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2015,7260,513570,14.1363397394708
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2016,7582,517042,14.664185888187
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2017,6851,520504,13.1622427493353
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2018,5785,523248,11.0559428798581
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2019,7578,525935,14.408624639927
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2020,5745,529247,10.8550449978932
Antwerpen,11002,Ja,Migratiesaldo van vreemdelingen,2021,5958,529417,11.253888711545
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2000,4,11919,0.335598624045641
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2001,1,11953,0.0836610056052874
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2002,14,11886,1.17785630153121
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2003,23,11974,1.92082846166695
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2004,14,11953,1.17125407847402
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2005,17,11992,1.41761174116077
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2006,23,12090,1.90239867659222
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2007,29,12149,2.38702773890855
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2008,7,12333,0.567582907646153
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2009,29,12589,2.30359837953769
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2010,43,12749,3.37281355400424
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2011,31,12728,2.43557510999371
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2012,41,12724,3.22225715183904
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2013,33,12774,2.58337247534054
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2014,70,12804,5.46704154951578
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2015,56,12792,4.37773608505316
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2016,73,12844,5.68358766739334
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2017,122,12908,9.45150294391075
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2018,52,13120,3.96341463414634
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2019,23,13266,1.73375546509875
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2020,15,13372,1.12174693389171
Boechout,11004,Nee,Migratiesaldo van vreemdelingen,2021,33,13527,2.43956531381681
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2000,6,15057,0.39848575413429
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2001,45,14986,3.00280261577472
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2002,71,15089,4.70541454039366
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2003,74,15330,4.82713633398565
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2004,51,15567,3.27616111004047
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2005,133,15729,8.45571873609257
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2006,136,16096,8.4493041749503
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2007,90,16326,5.51267916207277
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2008,124,16444,7.54074434444174
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2009,109,16598,6.56705627183998
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2010,197,16709,11.7900532647076
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2011,183,16989,10.7716757902172
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2012,136,17166,7.92263777234067
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2013,94,17227,5.45655076333662
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2014,187,17231,10.8525332250015
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2015,186,17559,10.5928583632325
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2016,199,17737,11.2194846930146
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2017,180,17788,10.1191814706544
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2018,226,17970,12.5765164162493
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2019,280,18244,15.3475115106336
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2020,203,18555,10.940447318782
Boom,11005,Nee,Migratiesaldo van vreemdelingen,2021,193,18799,10.2665035374222
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2000,-11,10373,-1.06044538706257
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2001,5,10295,0.485672656629432
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2002,44,10278,4.28098851916715
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2003,35,10298,3.39871819770829
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2004,11,10304,1.06754658385093
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2005,-23,10304,-2.23214285714286
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2006,43,10257,4.19225894511066
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2007,58,10224,5.67292644757434
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2008,56,10125,5.53086419753086
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2009,73,10136,7.20205209155485
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2010,111,10125,10.962962962963
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2011,99,10207,9.69922602135789
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2012,110,10233,10.7495358154989
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2013,115,10278,11.1889472660051
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2014,71,10451,6.79360826715147
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2015,114,10465,10.8934543717152
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2016,94,10540,8.91840607210626
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2017,145,10581,13.7038087137322
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2018,199,10685,18.6242395882078
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2019,113,10854,10.4109084208587
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2020,147,10949,13.4258836423418
Borsbeek,11007,Nee,Migratiesaldo van vreemdelingen,2021,145,11077,13.0901868737023
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2000,64,37138,1.7233022779902
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2001,136,37151,3.66073591558774
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2002,78,37249,2.09401594673683
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2003,106,37183,2.85076513460452
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2004,70,37165,1.88349253329746
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2005,73,37180,1.96342119419042
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2006,129,37282,3.46011480070812
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2007,151,37133,4.06646379231411
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2008,106,37180,2.85099515868747
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2009,35,37014,0.945588155832928
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2010,105,36949,2.8417548512815
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2011,125,37189,3.3612089596386
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2012,-14,37301,-0.375325058309429
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2013,134,37286,3.59384219278013
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2014,181,37502,4.8264092581729
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2015,220,37480,5.86979722518677
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2016,79,37673,2.09699254107716
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2017,124,37792,3.28111769686706
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2018,144,37850,3.80449141347424
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2019,212,37946,5.58688662836663
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2020,89,38223,2.32844099102635
Brasschaat,11008,Nee,Migratiesaldo van vreemdelingen,2021,57,38211,1.49171704483002
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2000,57,25091,2.27173089952573
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2001,59,25329,2.32934580915157
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2002,62,25451,2.43605359317905
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2003,136,25607,5.31104776037802
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2004,89,25908,3.4352323606608
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2005,84,26029,3.22716969533981
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2006,43,26464,1.62484885126965
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2007,75,26730,2.80583613916947
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2008,111,27170,4.08538829591461
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2009,57,27406,2.07983653214625
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2010,44,27597,1.59437620031163
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2011,33,27801,1.18700766159491
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2012,39,27906,1.397548914212
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2013,45,28016,1.60622501427756
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2014,36,28174,1.27777383403138
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2015,81,28248,2.86745964316058
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2016,61,28534,2.13780051867947
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2017,79,28786,2.74438963384979
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2018,94,29010,3.24026197862806
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2019,58,29268,1.9816864835315
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2020,155,29454,5.26244313166293
Brecht,11009,Nee,Migratiesaldo van vreemdelingen,2021,136,29809,4.56238048911403
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2000,64,22253,2.87601671684717
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2001,64,22188,2.88444204074274
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2002,42,22024,1.90701053396295
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2003,29,21964,1.32034237843744
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2004,60,21912,2.7382256297919
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2005,45,21866,2.05798957285283
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2006,89,21668,4.10743954218202
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2007,45,21616,2.08179126572909
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2008,82,21381,3.83518076797156
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2009,47,21222,2.21468287626048
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2010,102,21171,4.81791129375089
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2011,95,21103,4.50172961190352
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2012,104,21064,4.93733383972655
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2013,112,21159,5.29325582494447
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2014,67,21251,3.15279280975013
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2015,136,21291,6.38767554365694
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2016,127,21578,5.88562424691816
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2017,152,21835,6.96130066407144
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2018,145,21947,6.60682553424158
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2019,135,22063,6.11884149934279
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2020,97,22261,4.3573963433808
Edegem,11013,Nee,Migratiesaldo van vreemdelingen,2021,98,22244,4.40568243121741
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2000,84,16407,5.11976595355641
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2001,146,16482,8.85814828297537
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2002,171,16665,10.2610261026103
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2003,108,16697,6.46822782535785
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2004,120,16791,7.14668572449527
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2005,161,16872,9.54243717401612
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2006,194,17001,11.4110934650903
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2007,185,17143,10.7915767368605
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2008,231,17417,13.2629040592525
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2009,164,17636,9.29916080743933
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2010,67,17797,3.76467944035512
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2011,43,17919,2.39968748256041
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2012,-17,18075,-0.940525587828492
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2013,31,18066,1.71593047713938
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2014,93,18256,5.09421560035057
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2015,54,18427,2.93048244423943
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2016,108,18615,5.80177276390008
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2017,161,18792,8.56747552149851
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2018,16,19079,0.838618376225169
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2019,52,19038,2.73137934657002
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2020,0,19162,0.0
Essen,11016,Nee,Migratiesaldo van vreemdelingen,2021,68,19196,3.54240466763909
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2000,4,9151,0.437110698284341
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2001,4,9112,0.438981562774363
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2002,16,9225,1.73441734417344
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2003,19,9319,2.03884536967486
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2004,21,9436,2.22551928783383
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2005,-1,9550,-0.104712041884817
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2006,51,9663,5.27786401738591
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2007,31,9755,3.17785750896976
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2008,53,9866,5.37198459355362
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2009,57,10047,5.67333532397731
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2010,53,10166,5.21345662010624
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2011,84,10318,8.14111261872456
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2012,60,10605,5.65770862800566
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2013,69,10765,6.40966093822573
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2014,73,10866,6.71820357077121
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2015,63,11040,5.70652173913043
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2016,17,11148,1.52493720846789
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2017,103,11233,9.16941155523903
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2018,80,11368,7.03729767769177
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2019,117,11559,10.1219828704905
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2020,105,11634,9.02527075812274
Hemiksem,11018,Nee,Migratiesaldo van vreemdelingen,2021,78,11722,6.6541545811295
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2000,6,8306,0.722369371538647
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2001,-1,8277,-0.120816721034191
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2002,11,8261,1.33155792276964
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2003,-8,8162,-0.98015192354815
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2004,12,8155,1.47148988350705
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2005,0,8177,0.0
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2006,12,8307,1.44456482484652
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2007,29,8298,3.49481802844059
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2008,9,8323,1.08134086266971
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2009,1,8212,0.121773015099854
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2010,7,8199,0.853762653982193
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2011,9,8190,1.0989010989011
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2012,37,8199,4.51274545676302
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2013,-5,8198,-0.609904854842645
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2014,4,8216,0.486854917234664
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2015,16,8193,1.95288661052118
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2016,35,8141,4.29922613929493
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2017,-3,8152,-0.368007850834151
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2018,13,8115,1.60197165742452
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2019,39,8125,4.8
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2020,21,8277,2.53715114171801
Hove,11021,Nee,Migratiesaldo van vreemdelingen,2021,5,8287,0.603354651864366
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2000,42,17260,2.43337195828505
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2001,108,17342,6.2276554030677
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2002,46,17369,2.64839656859923
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2003,81,17410,4.65249856404365
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2004,75,17396,4.31133593929639
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2005,95,17440,5.44724770642202
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2006,31,17489,1.77254274115158
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2007,53,17504,3.02787934186472
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2008,12,17574,0.682826903379993
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2009,55,17587,3.12730994484562
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2010,41,17731,2.31233432970504
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2011,54,17952,3.00802139037433
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2012,46,18126,2.53779101842657
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2013,38,18184,2.08974923009239
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2014,15,18165,0.825763831544178
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2015,8,18192,0.439753737906772
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2016,45,18336,2.45418848167539
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2017,10,18490,0.540832882639264
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2018,-21,18608,-1.12854686156492
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2019,39,18695,2.08611928323081
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2020,72,18872,3.81517592200085
Kalmthout,11022,Nee,Migratiesaldo van vreemdelingen,2021,18,19020,0.946372239747634
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2000,39,25671,1.51922402711231
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2001,62,25642,2.41790811949146
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2002,128,25612,4.99765734811807
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2003,46,25881,1.77736563502183
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2004,45,25974,1.73250173250173
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2005,37,25975,1.42444658325313
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2006,80,25948,3.08308925543394
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2007,65,26104,2.49003984063745
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2008,-29,26222,-1.10594157577607
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2009,-86,26297,-3.27033501920371
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2010,-60,26427,-2.27040526734022
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2011,8,26437,0.30260619586186
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2012,-75,26546,-2.82528441196414
Kapellen,11023,Nee,Migratiesaldo van vreemdelingen,2013,-37,26506,-1.39591035991851
