Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteit,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar nationaliteit,Aantal inwoners,Procent
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2006,22733,6078600,0.00373984
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2006,26457,6078600,0.00435248
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2006,96992,6078600,0.01595631
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2006,19124,6078600,0.00314612
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2007,18435,6117440,0.00301352
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2007,22563,6117440,0.00368831
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2007,26582,6117440,0.00434528
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2007,102923,6117440,0.01682452
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2007,18994,6117440,0.00310489
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2008,18982,6161438,0.00308077
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2008,22559,6161438,0.00366132
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2008,26577,6161438,0.00431344
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2008,108727,6161438,0.01764637
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2008,19289,6161438,0.0031306
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2009,19344,6208877,0.00311554
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2009,22716,6208877,0.00365863
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2009,26939,6208877,0.00433879
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2009,114829,6208877,0.01849433
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2009,19225,6208877,0.00309637
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2010,19528,6251983,0.00312349
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2010,22758,6251983,0.00364013
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2010,27836,6251983,0.00445235
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2010,117969,6251983,0.01886905
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2010,19299,6251983,0.00308686
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2011,19633,6306638,0.00311307
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2011,22861,6306638,0.00362491
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2011,28198,6306638,0.00447116
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2011,121861,6306638,0.01932266
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2011,21982,6306638,0.00348553
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2012,19858,6350765,0.00312687
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2012,22589,6350765,0.00355689
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2012,28567,6350765,0.0044982
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2012,125016,6350765,0.01968519
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2012,26558,6350765,0.00418186
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2013,19935,6381859,0.0031237
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2013,22480,6381859,0.00352248
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2013,27789,6381859,0.00435437
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2013,127748,6381859,0.02001736
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2013,30701,6381859,0.00481067
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2014,20090,6410705,0.00313382
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2014,22550,6410705,0.00351755
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2014,27355,6410705,0.00426708
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2014,130050,6410705,0.02028638
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2014,33839,6410705,0.00527851
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2015,22980,6444127,0.00356604
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2015,27950,6444127,0.00433728
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2015,133043,6444127,0.02064562
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2015,36786,6444127,0.00570845
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2015,21280,6444127,0.00330223
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2016,23491,6477804,0.00362638
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2016,28591,6477804,0.00441369
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2016,135770,6477804,0.02095926
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2016,39171,6477804,0.00604696
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2016,25021,6477804,0.00386257
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2017,23827,6516011,0.00365669
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2017,28934,6516011,0.00444045
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2017,137656,6516011,0.02112581
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2017,40813,6516011,0.00626349
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2017,29027,6516011,0.00445472
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2018,24272,6552967,0.00370397
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2018,28715,6552967,0.00438198
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2018,139430,6552967,0.02127738
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2018,41892,6552967,0.00639283
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2018,33732,6552967,0.00514759
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2019,24818,6589069,0.00376654
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2019,28968,6589069,0.00439637
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2019,141806,6589069,0.0215214
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2019,42885,6589069,0.00650851
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2019,39047,6589069,0.00592603
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Bulgarije,2020,25633,6629143,0.00386671
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2020,29399,6629143,0.00443481
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2020,143757,6629143,0.02168561
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2020,43311,6629143,0.00653342
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2020,45118,6629143,0.00680601
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Bulgarije,2021,27824,6653062,0.00418213
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2021,29755,6653062,0.00447238
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2021,145457,6653062,0.02186317
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2021,43582,6653062,0.00655067
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2021,49512,6653062,0.00744199
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Bulgarije,2022,29989,6698876,0.00447672
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2022,30284,6698876,0.00452076
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2022,148092,6698876,0.02210699
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Polen,2022,43791,6698876,0.00653707
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2022,54672,6698876,0.00816137
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2000,16,14438,0.00110819
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",JoegoslaviÃ«,2000,27,14438,0.00187007
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2000,83,14438,0.00574872
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2000,25,14438,0.00173154
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2000,19,14438,0.00131597
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2001,17,14440,0.00117729
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",JoegoslaviÃ«,2001,22,14440,0.00152355
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2001,81,14440,0.00560942
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2001,25,14440,0.0017313
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2001,21,14440,0.00145429
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2002,15,14378,0.00104326
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",JoegoslaviÃ«,2002,14,14378,0.00097371
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2002,73,14378,0.0050772
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2002,27,14378,0.00187787
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2002,21,14378,0.00146056
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2003,18,14317,0.00125725
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Japan,2003,14,14317,0.00097786
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2003,13,14317,0.00090801
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2003,77,14317,0.00537822
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2003,27,14317,0.00188587
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2003,18,14317,0.00125725
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2004,22,14237,0.00154527
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Frankrijk,2004,17,14237,0.00119407
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2004,76,14237,0.0053382
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2004,29,14237,0.00203695
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2004,18,14237,0.00126431
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2005,23,14272,0.00161155
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Frankrijk,2005,21,14272,0.00147141
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2005,87,14272,0.00609585
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2005,28,14272,0.00196188
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2005,16,14272,0.00112108
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2006,26,14375,0.0018087
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Frankrijk,2006,19,14375,0.00132174
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2006,91,14375,0.00633043
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Russische Federatie,2006,20,14375,0.0013913
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2006,27,14375,0.00187826
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2007,24,14325,0.00167539
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2007,77,14325,0.00537522
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Russische Federatie,2007,22,14325,0.00153578
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2007,25,14325,0.0017452
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2007,18,14325,0.00125654
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2008,30,14273,0.00210187
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2008,91,14273,0.00637567
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2008,19,14273,0.00133118
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Russische Federatie,2008,21,14273,0.00147131
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",ServiÃ« en Montenegro,2008,16,14273,0.001121
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2008,21,14273,0.00147131
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2009,25,14265,0.00175254
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2009,16,14265,0.00112163
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2009,108,14265,0.00757098
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2009,21,14265,0.00147213
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2009,20,14265,0.00140203
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2010,20,14290,0.00139958
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2010,18,14290,0.00125962
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2010,103,14290,0.00720784
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2010,20,14290,0.00139958
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2010,23,14290,0.00160952
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2010,16,14290,0.00111966
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2011,23,14311,0.00160716
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2011,27,14311,0.00188666
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2011,106,14311,0.00740689
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2011,22,14311,0.00153728
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2011,28,14311,0.00195654
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2012,24,14281,0.00168055
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2012,29,14281,0.00203067
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2012,103,14281,0.00721238
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2012,19,14281,0.00133044
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2012,30,14281,0.00210069
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2013,25,14226,0.00175735
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2013,29,14226,0.00203852
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2013,113,14226,0.0079432
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2013,43,14226,0.00302263
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2013,27,14226,0.00189793
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2014,23,14207,0.00161892
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2014,30,14207,0.00211164
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2014,136,14207,0.00957275
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2014,50,14207,0.00351939
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2014,24,14207,0.00168931
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2015,22,14157,0.001554
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2015,34,14157,0.00240164
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2015,147,14157,0.01038356
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2015,56,14157,0.00395564
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2015,27,14157,0.00190718
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2016,26,14262,0.00182303
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2016,34,14262,0.00238396
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2016,141,14262,0.00988641
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2016,53,14262,0.00371617
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2016,32,14262,0.00224372
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Duitsland,2017,26,14222,0.00182815
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2017,44,14222,0.0030938
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2017,144,14222,0.01012516
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2017,63,14222,0.00442976
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2017,33,14222,0.00232035
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2018,56,14304,0.00391499
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2018,146,14304,0.01020694
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2018,51,14304,0.00356544
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2018,38,14304,0.0026566
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2018,30,14304,0.00209732
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2019,49,14293,0.00342825
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2019,152,14293,0.01063458
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2019,50,14293,0.00349822
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Portugal,2019,32,14293,0.00223886
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2019,44,14293,0.00307843
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2020,56,14427,0.00388161
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2020,158,14427,0.01095169
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2020,60,14427,0.00415887
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2020,62,14427,0.0042975
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2020,39,14427,0.00270326
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2021,59,14455,0.00408163
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2021,148,14455,0.01023867
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2021,70,14455,0.00484262
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2021,50,14455,0.00345901
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Spanje,2021,47,14455,0.00325147
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Marokko,2022,64,14610,0.00438056
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Nederland,2022,165,14610,0.01129363
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Polen,2022,80,14610,0.0054757
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",Portugal,2022,52,14610,0.00355921
Aartselaar,11001,Nee,"Vreemdelingen, naar nationaliteit",RoemeniÃ«,2022,53,14610,0.00362765
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Frankrijk,2000,2018,446525,0.00451934
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Marokko,2000,19958,446525,0.04469627
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Nederland,2000,6257,446525,0.01401265
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Turkije,2000,7022,446525,0.01572588
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2000,2182,446525,0.00488662
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Frankrijk,2001,2054,445570,0.00460983
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Marokko,2001,17596,445570,0.03949099
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Nederland,2001,6434,445570,0.01443993
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Turkije,2001,5814,445570,0.01304845
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2001,2111,445570,0.00473775
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Frankrijk,2002,2108,448709,0.00469792
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Marokko,2002,13060,448709,0.02910572
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Nederland,2002,6596,448709,0.01469995
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Turkije,2002,4486,448709,0.00999757
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2002,2062,448709,0.00459541
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Frankrijk,2003,2093,452474,0.00462568
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Marokko,2003,12089,452474,0.02671756
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Nederland,2003,6815,452474,0.01506164
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Turkije,2003,4323,452474,0.00955414
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Verenigd Koninkrijk,2003,2045,452474,0.0045196
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteit",Frankrijk,2004,2071,455148,0.00455017
