Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar doelgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,9,17,0.529412
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,8,17,0.470588
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,0,29,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,15,29,0.517241
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,14,29,0.482759
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,1,37,0.027027
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,18,37,0.486486
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,18,37,0.486486
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,0,37,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,19,37,0.513514
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,18,37,0.486486
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,230,5935,0.0387532
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,2598,5935,0.437742
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,3107,5935,0.523505
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,216,7110,0.0303797
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,2856,7110,0.401688
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,4038,7110,0.567932
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,270,6080,0.0444079
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,3238,6080,0.532566
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,2572,6080,0.423026
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,194,5231,0.0370866
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,3111,5231,0.594724
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,1926,5231,0.36819
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,122,4957,0.0246117
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,3112,4957,0.627799
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,1723,4957,0.347589
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,114,5127,0.0222352
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,2694,5127,0.525453
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,2319,5127,0.452311
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,155,6251,0.024796
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,2566,6251,0.410494
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,3530,6251,0.56471
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,212,5459,0.038835
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,2808,5459,0.51438
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,2439,5459,0.446785
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,142,4897,0.0289973
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,2504,4897,0.511333
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,2251,4897,0.459669
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,265,5267,0.0503133
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,2749,5267,0.521929
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,2253,5267,0.427758
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,55,3786,0.0145272
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,2202,3786,0.581616
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,1529,3786,0.403856
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,64,5159,0.0124055
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,2797,5159,0.542159
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,2298,5159,0.445435
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,0,21,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,6,21,0.285714
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,15,21,0.714286
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,1,23,0.0434783
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,3,23,0.130435
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,19,23,0.826087
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,0,16,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,8,16,0.5
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,8,16,0.5
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,1,17,0.0588235
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,9,17,0.529412
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,7,17,0.411765
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,0,21,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,13,21,0.619048
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,8,21,0.380952
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,1,20,0.05
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,7,20,0.35
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,12,20,0.6
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,0,22,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,12,22,0.545455
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,10,22,0.454545
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,0,28,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,11,28,0.392857
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,17,28,0.607143
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,1,35,0.0285714
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,14,35,0.4
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,20,35,0.571429
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,0,30,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,11,30,0.366667
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,19,30,0.633333
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,0,26,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,18,26,0.692308
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,8,26,0.307692
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,0,14,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,6,14,0.428571
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,8,14,0.571429
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,1,65,0.0153846
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,20,65,0.307692
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,44,65,0.676923
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,0,87,0.0
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,31,87,0.356322
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,56,87,0.643678
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,3,57,0.0526316
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,18,57,0.315789
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,36,57,0.631579
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,3,48,0.0625
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,23,48,0.479167
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,22,48,0.458333
Boom,11005,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,2,55,0.0363636
