Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend naar doelgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Procent
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Verplicht           ,16,19,0.842105
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Nader te bepalen,0,25,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Rechthebbend,6,25,0.24
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Verplicht           ,19,25,0.76
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Nader te bepalen,0,14,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Rechthebbend,5,14,0.357143
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Verplicht           ,9,14,0.642857
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Nader te bepalen,0,11,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Rechthebbend,6,11,0.545455
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Verplicht           ,5,11,0.454545
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Rechthebbend,6,15,0.4
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Verplicht           ,9,15,0.6
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Rechthebbend,3,6,0.5
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Verplicht           ,3,6,0.5
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Rechthebbend,15,37,0.405405
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Verplicht           ,22,37,0.594595
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Rechthebbend,4,19,0.210526
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Verplicht           ,15,19,0.789474
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Rechthebbend,6,26,0.230769
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Verplicht           ,20,26,0.769231
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Rechthebbend,15,27,0.555556
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Verplicht           ,12,27,0.444444
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Nader te bepalen,0,11,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Rechthebbend,8,11,0.727273
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Verplicht           ,3,11,0.272727
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Nader te bepalen,0,26,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Rechthebbend,16,26,0.615385
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Verplicht           ,10,26,0.384615
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Nader te bepalen,0,113,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Rechthebbend,10,113,0.0884956
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Verplicht           ,103,113,0.911504
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Nader te bepalen,7,156,0.0448718
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Rechthebbend,11,156,0.0705128
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Verplicht           ,138,156,0.884615
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Nader te bepalen,14,146,0.0958904
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Rechthebbend,89,146,0.609589
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Verplicht           ,43,146,0.294521
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Nader te bepalen,0,50,0.0
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Rechthebbend,26,50,0.52
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Verplicht           ,24,50,0.48
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Rechthebbend,22,35,0.628571
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Verplicht           ,13,35,0.371429
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Rechthebbend,14,33,0.424242
Kapellen,11023,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Verplicht           ,19,33,0.575758
