Gemeente,Nis-code,Centrumstad?,Indicator,Leeftijdsgroep,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar leeftijdsgroep,Aantal inwoners naar leeftijdsgroep,Procent
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2012,142,2955,0.0480541
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2012,70,3309,0.0211544
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2012,56,3066,0.0182648
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2013,89,2464,0.0361201
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2013,136,2453,0.0554423
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2013,154,2879,0.0534908
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2013,65,3287,0.0197749
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2013,53,3143,0.0168629
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2014,106,2474,0.0428456
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2014,159,2448,0.064951
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2014,149,2815,0.0529307
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2014,69,3200,0.0215625
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2014,52,3270,0.0159021
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2015,114,2470,0.0461538
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2015,175,2417,0.0724038
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2015,168,2716,0.0618557
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2015,72,3190,0.0225705
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2015,53,3364,0.0157551
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2016,127,2522,0.0503569
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2016,183,2444,0.0748773
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2016,177,2667,0.0663667
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2016,79,3190,0.0247649
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2016,55,3439,0.015993
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2017,136,2500,0.0544
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2017,198,2454,0.0806846
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2017,168,2585,0.0649903
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2017,92,3198,0.028768
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2017,56,3485,0.0160689
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2018,144,2489,0.0578546
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2018,218,2491,0.0875151
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2018,206,2606,0.0790483
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2018,96,3157,0.0304086
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2018,53,3561,0.0148835
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2019,142,2515,0.0564612
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2019,206,2447,0.0841847
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2019,231,2577,0.0896391
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2019,101,3171,0.0318512
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2019,55,3583,0.0153503
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2020,171,2557,0.0668752
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2020,232,2498,0.0928743
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2020,260,2562,0.101483
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2020,109,3170,0.0343849
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2020,59,3640,0.0162088
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2021,163,2557,0.0637466
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2021,220,2504,0.0878594
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2021,279,2564,0.108814
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2021,122,3164,0.0385588
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2021,55,3666,0.0150027
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2022,197,2638,0.0746778
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2022,244,2543,0.0959497
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2022,308,2559,0.12036
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2022,138,3164,0.0436157
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2022,54,3706,0.014571
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",0-17 jaar,2000,16154,87535,0.184543
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",18-34 jaar,2000,19381,101135,0.191635
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",35-49 jaar,2000,13203,91728,0.143936
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",50-64 jaar,2000,7281,75941,0.0958771
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2000,3501,90186,0.0388198
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",0-17 jaar,2001,13340,87158,0.153055
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",18-34 jaar,2001,18344,100617,0.182315
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",35-49 jaar,2001,12581,92153,0.136523
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",50-64 jaar,2001,7173,75529,0.0949701
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2001,3624,90113,0.0402162
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",0-17 jaar,2002,10299,87843,0.117243
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",18-34 jaar,2002,17952,102279,0.17552
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",35-49 jaar,2002,11828,93064,0.127095
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",50-64 jaar,2002,6621,75525,0.0876663
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2002,3679,89998,0.0408787
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",0-17 jaar,2003,9851,88955,0.110741
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",18-34 jaar,2003,18846,104186,0.180888
Antwerpen,11002,Ja,"Vreemdelingen, naar leeftijd",35-49 jaar,2003,12243,93739,0.130607
