Alle producten,Product groep,Product niveau 1,Alle indicatoren,Indicator groep,Indicator niveau 1,Indicator niveau 2,Gigawattuur
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Alle indicatoren,,,,3.8
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,3.6
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,10.1
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,3.5
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,2.3
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Alle indicatoren,,,,19.5
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,0.9
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Alle indicatoren,,,,0.9
Alle producten,Aardgas,Aardgas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,10570.3
Alle producten,Aardgas,Aardgas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,4514.9
Alle producten,Aardgas,Aardgas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Aardgas,Aardgas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,7431.5
Alle producten,Aardgas,Aardgas,Alle indicatoren,,,,22516.7
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,418.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Alle indicatoren,,,,418.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,11978.7
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,18.9
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Alle indicatoren,,,,11997.6
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,4.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,5613.8
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Alle indicatoren,,,,5618.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,1457.8
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,277.4
