Alle producten,Product groep,Product niveau 1,Indicator groep,Jaar,Gigawattuur
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Bruto elektriciteitsproductie,2020,3319.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Bruto elektriciteitsproductie,2021,2763.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Bruto elektriciteitsproductie,2014,871.5
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Bruto elektriciteitsproductie,2015,959.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Bruto elektriciteitsproductie,2016,993.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Bruto elektriciteitsproductie,2017,938.2
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Bruto elektriciteitsproductie,2018,944.7
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Bruto elektriciteitsproductie,2019,946.8
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Bruto elektriciteitsproductie,2020,1014.6
Alle producten,Hernieuwbare energie en biobrandstoffen,Biogas,Bruto elektriciteitsproductie,2021,976.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2014,832.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2015,868.5
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2016,879.9
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2017,921.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2018,915.7
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2019,864.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2020,910.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2021,936.6
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Bruto elektriciteitsproductie,2014,12.9
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Bruto elektriciteitsproductie,2015,13.7
