België,Gewest,Provincie,Arrondissement,Gemeente,Woningen gebouwd vanaf 1991
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,0.261
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,0.261
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,0.261
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,0.261
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Hooglede,0.26
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,0.26
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,0.26
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,0.259
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,0.259
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,0.259
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,0.258
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,0.257
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,0.257
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,0.256
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,0.256
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,0.255
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,0.255
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.255
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,0.254
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,0.254
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.254
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,0.254
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,0.253
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,0.252
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),0.252
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Blankenberge,0.252
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,0.252
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,0.251
