Sectie,Jaar,Trimester,Omzet
"R Kunst, amusement en recreatie",2021,4de kwartaal 2021,1485823
"R Kunst, amusement en recreatie",2022,1ste kwartaal 2022,1286406
"R Kunst, amusement en recreatie",2022,2de kwartaal 2022,1577382
"R Kunst, amusement en recreatie",2022,3de kwartaal 2022,1964360
S Overige diensten,2020,4de kwartaal 2020,717822
S Overige diensten,2021,1ste kwartaal 2021,689393
S Overige diensten,2021,2de kwartaal 2021,798004
S Overige diensten,2021,3de kwartaal 2021,863081
S Overige diensten,2021,4de kwartaal 2021,1012175
S Overige diensten,2022,1ste kwartaal 2022,919757
S Overige diensten,2022,2de kwartaal 2022,1015014
S Overige diensten,2022,3de kwartaal 2022,959318
