België,Gewest,Mannen en vrouwen,Geslacht,Alle leeftijden,Leeftijdsgroep,Alle burgerlijke staten,Burgerlijke staat,Bevolking op 01 januari 2022
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,327190.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,,3382265.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Ongehuwd,664632.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gehuwd,
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Verweduwd,
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gescheiden,
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,,664632.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Ongehuwd,970408.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gehuwd,838958.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Verweduwd,10979.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gescheiden,194769.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,,2015114.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Ongehuwd,39764.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gehuwd,449763.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Verweduwd,75690.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gescheiden,71648.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,,636865.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,1674804.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,1288721.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,86669.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,266417.0
België,Vlaams Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,,3316611.0
België,Vlaams Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,3145626.0
België,Vlaams Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,2576323.0
België,Vlaams Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,383320.0
België,Vlaams Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,593607.0
België,Vlaams Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,,6698876.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Ongehuwd,133687.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gehuwd,1.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Verweduwd,
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gescheiden,
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,,133688.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Ongehuwd,201352.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gehuwd,146553.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Verweduwd,6201.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gescheiden,40174.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,,394280.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Ongehuwd,12046.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gehuwd,31047.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Verweduwd,31818.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gescheiden,19477.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,,94388.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,347085.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,177601.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,38019.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,59651.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,,622356.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Ongehuwd,139957.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gehuwd,
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Verweduwd,
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gescheiden,
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,,139957.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Ongehuwd,224560.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gehuwd,139270.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Verweduwd,1311.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gescheiden,29455.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,,394596.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Ongehuwd,7973.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gehuwd,40190.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Verweduwd,6553.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gescheiden,11012.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,,65728.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,372490.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,179460.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,7864.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,40467.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,,600281.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,719575.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,357061.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,45883.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,100118.0
België,Brussels Hoofdstedelijk Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,,1222637.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Ongehuwd,364503.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gehuwd,1.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Verweduwd,
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gescheiden,
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,,364504.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Ongehuwd,522572.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gehuwd,401882.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Verweduwd,26288.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gescheiden,154038.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,,1104780.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Ongehuwd,20323.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gehuwd,165485.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Verweduwd,150050.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gescheiden,65343.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,,401201.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,907398.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,567368.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,176338.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,219381.0
België,Waals Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,,1870485.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Ongehuwd,381313.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gehuwd,1.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Verweduwd,
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gescheiden,
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,,381314.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Ongehuwd,609383.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gehuwd,367801.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Verweduwd,6786.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gescheiden,121716.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,,1105686.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Ongehuwd,20597.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gehuwd,198859.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Verweduwd,36496.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gescheiden,49058.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,,305010.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,1011293.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,566661.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,43282.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,170774.0
België,Waals Gewest,Mannen en vrouwen,Mannen,Alle leeftijden,,Alle burgerlijke staten,,1792010.0
België,Waals Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,1918691.0
België,Waals Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,1134029.0
België,Waals Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,219620.0
België,Waals Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,390155.0
België,Waals Gewest,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,,3662495.0
België,,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,5783892.0
België,,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,4067413.0
België,,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,648823.0
België,,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,Gescheiden,1083880.0
België,,Mannen en vrouwen,,Alle leeftijden,,Alle burgerlijke staten,,11584008.0
