Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Niveau 1,Kiloton olie equivalent (ovw)
Finale consumptie,Industrie sector,Chemie en petrochemie,Vaste biobrandstoffen,2.398
Finale consumptie,Industrie sector,Chemie en petrochemie,Houtskool,
Finale consumptie,Industrie sector,Chemie en petrochemie,Biogas,5.971
Finale consumptie,Industrie sector,Chemie en petrochemie,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Industrie sector,Chemie en petrochemie,Biobenzine,
Finale consumptie,Industrie sector,Chemie en petrochemie,Biodiesel,
Finale consumptie,Industrie sector,Chemie en petrochemie,Andere vloeibare biobrandstoffen,0.36
Finale consumptie,Industrie sector,Chemie en petrochemie,Warmtepompen,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Waterkracht,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Windenergie,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Fotovoltaïsche zonne-energie,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Thermische zonne-energie,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Geothermische energie,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Vaste biobrandstoffen,147.21
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Houtskool,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Biogas,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Biobenzine,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Biodiesel,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Andere vloeibare biobrandstoffen,
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Warmtepompen,
Finale consumptie,Industrie sector,Machinerie,Waterkracht,
Finale consumptie,Industrie sector,Machinerie,Windenergie,
Finale consumptie,Industrie sector,Machinerie,Fotovoltaïsche zonne-energie,
Finale consumptie,Industrie sector,Machinerie,Thermische zonne-energie,
Finale consumptie,Industrie sector,Machinerie,Geothermische energie,
Finale consumptie,Industrie sector,Machinerie,Vaste biobrandstoffen,2.871
Finale consumptie,Industrie sector,Machinerie,Houtskool,
Finale consumptie,Industrie sector,Machinerie,Biogas,1.433
Finale consumptie,Industrie sector,Machinerie,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Industrie sector,Machinerie,Biobenzine,
Finale consumptie,Industrie sector,Machinerie,Biodiesel,
Finale consumptie,Industrie sector,Machinerie,Andere vloeibare biobrandstoffen,
Finale consumptie,Industrie sector,Machinerie,Warmtepompen,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Waterkracht,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Windenergie,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Fotovoltaïsche zonne-energie,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Thermische zonne-energie,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Geothermische energie,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Vaste biobrandstoffen,65.606
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Houtskool,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Biogas,27.67
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Hernieuwbaar huishoudelijk afval,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Biobenzine,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Biodiesel,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Andere vloeibare biobrandstoffen,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Warmtepompen,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Waterkracht,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Windenergie,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Fotovoltaïsche zonne-energie,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Thermische zonne-energie,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Geothermische energie,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Vaste biobrandstoffen,270.223
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Houtskool,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Biogas,4.777
