Alle groepen/getuigen,Groep,Subgroep 1,Subgroep 2,Basisjaar,Jaar,Maand,Index
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2020,oktober,149.87
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2020,november,116.054
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2020,december,144.629
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2021,januari,128.074
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2021,februari,167.645
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2021,maart,173.632
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2021,april,155.027
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2021,mei,195.652
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2021,juni,96.289
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2020,september,126.357
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2020,oktober,117.404
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2020,november,116.661
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2020,december,123.389
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2021,januari,129.976
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2021,februari,169.353
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2021,maart,207.866
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2021,april,153.706
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2021,mei,197.432
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2021,juni,110.978
Alle groepen/getuigen,,,,2015,2020,september,103.743
Alle groepen/getuigen,,,,2015,2020,oktober,102.952
Alle groepen/getuigen,,,,2015,2020,november,94.293
Alle groepen/getuigen,,,,2015,2020,december,97.266
Alle groepen/getuigen,,,,2015,2021,januari,104.071
Alle groepen/getuigen,,,,2015,2021,februari,111.612
Alle groepen/getuigen,,,,2015,2021,maart,123.826
Alle groepen/getuigen,,,,2015,2021,april,118.853
Alle groepen/getuigen,,,,2015,2021,mei,129.6
Alle groepen/getuigen,,,,2015,2021,juni,152.204
