Productgroep,Product,Jaar,Gemiddelde prijs incl. BTW
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),2018,0.71
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),2019,0.702
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),2020,0.493
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),2021,0.682
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),2022,1.232
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),2023,1.091
Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),2016,0.483
Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),2017,0.566
Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),2018,0.678
Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),2019,0.672
Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),2020,0.463
Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),2021,0.638
Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),2022,1.175
Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),2023,1.035
Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),2016,0.509
Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),2017,0.593
Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),2018,0.706
Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),2019,0.701
Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),2020,0.493
Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),2021,0.667
Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),2022,1.207
Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),2023,1.071
Butaan + LPG,Autogas LPG (aan de pomp) (€/L),2016,0.411
Butaan + LPG,Autogas LPG (aan de pomp) (€/L),2017,0.491
Butaan + LPG,Autogas LPG (aan de pomp) (€/L),2018,0.548
Butaan + LPG,Autogas LPG (aan de pomp) (€/L),2019,0.51
Butaan + LPG,Autogas LPG (aan de pomp) (€/L),2020,0.468
Butaan + LPG,Autogas LPG (aan de pomp) (€/L),2021,0.647
Butaan + LPG,Autogas LPG (aan de pomp) (€/L),2022,0.816
Butaan + LPG,Autogas LPG (aan de pomp) (€/L),2023,0.723
