Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Alle producten,Product Groep,Kiloton olie equivalent (ovw)
Transformatie output,,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie output,,,Alle producten,Niet-hernieuwbaar afval,
Transformatie output,,,Alle producten,Kernenergie,
Transformatie output,,,Alle producten,Warmte,725.92
Transformatie output,,,Alle producten,Elektriciteit,8638.469
Transformatie output,,,Alle producten,,51310.584
Energie sector,Productie van elektriciteit en warmte,,Alle producten,Vaste fossiele brandstoffen,
Energie sector,Productie van elektriciteit en warmte,,Alle producten,Siderurgische gassen,
Energie sector,Productie van elektriciteit en warmte,,Alle producten,Aardolie en aardolieproducten,1.027
Energie sector,Productie van elektriciteit en warmte,,Alle producten,Aardgas,8.366
Energie sector,Productie van elektriciteit en warmte,,Alle producten,Hernieuwbare energie en biobrandstoffen,13.927
Energie sector,Productie van elektriciteit en warmte,,Alle producten,Niet-hernieuwbaar afval,12.2
Energie sector,Productie van elektriciteit en warmte,,Alle producten,Kernenergie,
Energie sector,Productie van elektriciteit en warmte,,Alle producten,Warmte,
Energie sector,Productie van elektriciteit en warmte,,Alle producten,Elektriciteit,330.206
Energie sector,Productie van elektriciteit en warmte,,Alle producten,,365.727
Energie sector,Cokesovens,,Alle producten,Vaste fossiele brandstoffen,
Energie sector,Cokesovens,,Alle producten,Siderurgische gassen,95.105
Energie sector,Cokesovens,,Alle producten,Aardolie en aardolieproducten,0.205
Energie sector,Cokesovens,,Alle producten,Aardgas,
Energie sector,Cokesovens,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Energie sector,Cokesovens,,Alle producten,Niet-hernieuwbaar afval,
Energie sector,Cokesovens,,Alle producten,Kernenergie,
Energie sector,Cokesovens,,Alle producten,Warmte,
Energie sector,Cokesovens,,Alle producten,Elektriciteit,
Energie sector,Cokesovens,,Alle producten,,95.311
Energie sector,Hoogovens,,Alle producten,Vaste fossiele brandstoffen,
Energie sector,Hoogovens,,Alle producten,Siderurgische gassen,149.36
Energie sector,Hoogovens,,Alle producten,Aardolie en aardolieproducten,0.205
Energie sector,Hoogovens,,Alle producten,Aardgas,
Energie sector,Hoogovens,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Energie sector,Hoogovens,,Alle producten,Niet-hernieuwbaar afval,
Energie sector,Hoogovens,,Alle producten,Kernenergie,
Energie sector,Hoogovens,,Alle producten,Warmte,
Energie sector,Hoogovens,,Alle producten,Elektriciteit,
Energie sector,Hoogovens,,Alle producten,,149.566
Energie sector,Olieraffinaderijen,,Alle producten,Vaste fossiele brandstoffen,
Energie sector,Olieraffinaderijen,,Alle producten,Siderurgische gassen,
Energie sector,Olieraffinaderijen,,Alle producten,Aardolie en aardolieproducten,989.219
Energie sector,Olieraffinaderijen,,Alle producten,Aardgas,590.973
Energie sector,Olieraffinaderijen,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Energie sector,Olieraffinaderijen,,Alle producten,Niet-hernieuwbaar afval,
Energie sector,Olieraffinaderijen,,Alle producten,Kernenergie,
Energie sector,Olieraffinaderijen,,Alle producten,Warmte,
Energie sector,Olieraffinaderijen,,Alle producten,Elektriciteit,136.285
Energie sector,Olieraffinaderijen,,Alle producten,,1716.478
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,Vaste fossiele brandstoffen,
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,Siderurgische gassen,
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,Aardolie en aardolieproducten,
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,Aardgas,22.508
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,Niet-hernieuwbaar afval,
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,Kernenergie,
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,Warmte,
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,Elektriciteit,4.987
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Alle producten,,27.495
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,Vaste fossiele brandstoffen,
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,Siderurgische gassen,
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,Aardolie en aardolieproducten,
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,Aardgas,
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,Niet-hernieuwbaar afval,
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,Kernenergie,
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,Warmte,0.623
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,Elektriciteit,5.46
Energie sector,Niet gespecifieerd Energie sector,,Alle producten,,6.083
Energie sector,,,Alle producten,Vaste fossiele brandstoffen,
Energie sector,,,Alle producten,Siderurgische gassen,244.466
Energie sector,,,Alle producten,Aardolie en aardolieproducten,990.657
Energie sector,,,Alle producten,Aardgas,621.847
Energie sector,,,Alle producten,Hernieuwbare energie en biobrandstoffen,13.927
Energie sector,,,Alle producten,Niet-hernieuwbaar afval,12.2
Energie sector,,,Alle producten,Kernenergie,
Energie sector,,,Alle producten,Warmte,0.623
Energie sector,,,Alle producten,Elektriciteit,476.939
Energie sector,,,Alle producten,,2360.66
Distributieverliezen,,,Alle producten,Vaste fossiele brandstoffen,
Distributieverliezen,,,Alle producten,Siderurgische gassen,
Distributieverliezen,,,Alle producten,Aardolie en aardolieproducten,
Distributieverliezen,,,Alle producten,Aardgas,23.321
Distributieverliezen,,,Alle producten,Hernieuwbare energie en biobrandstoffen,0.917
Distributieverliezen,,,Alle producten,Niet-hernieuwbaar afval,
Distributieverliezen,,,Alle producten,Kernenergie,
Distributieverliezen,,,Alle producten,Warmte,37.238
Distributieverliezen,,,Alle producten,Elektriciteit,310.077
Distributieverliezen,,,Alle producten,,371.554
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,Vaste fossiele brandstoffen,18.646
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,Siderurgische gassen,180.261
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,Aardolie en aardolieproducten,13.043
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,Aardgas,453.122
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,Niet-hernieuwbaar afval,1.672
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,Warmte,
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,Elektriciteit,367.67
Finale consumptie,Industrie sector,IJzer en staal,Alle producten,,1034.414
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,Vaste fossiele brandstoffen,9.338
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,Aardolie en aardolieproducten,1197.763
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,Aardgas,1433.61
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,Hernieuwbare energie en biobrandstoffen,8.729
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,Niet-hernieuwbaar afval,0.955
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,Warmte,284.764
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,Elektriciteit,1266.062
Finale consumptie,Industrie sector,Chemie en petrochemie,Alle producten,,4201.221
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,Aardolie en aardolieproducten,5.328
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,Aardgas,113.856
Finale consumptie,Industrie sector,Non ferro metalen,Alle producten,Hernieuwbare energie en biobrandstoffen,
