Industrie (zonder bouw),Belangrijke industriegroepen,Referentiemaand,Basisjaar,Index - Binnenlandse markt
Industrie (zonder bouw),Energie,Augustus 2022,2010,335.51
Industrie (zonder bouw),Energie,September 2022,2010,367.46
Industrie (zonder bouw),Energie,Oktober 2022,2010,395.65
Industrie (zonder bouw),Energie,November 2022,2010,371.59
Industrie (zonder bouw),Energie,December 2022,2010,369.39
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),December 2021,2010,161.03
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),Januari 2022,2010,164.69
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),Februari 2022,2010,166.75
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),Maart 2022,2010,181.72
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),April 2022,2010,188.74
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),Mei 2022,2010,187.0
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),Juni 2022,2010,183.43
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),Juli 2022,2010,180.45
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),Augustus 2022,2010,179.15
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),September 2022,2010,178.2
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),Oktober 2022,2010,174.73
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),November 2022,2010,175.49
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),December 2022,2010,172.06
Industrie (zonder bouw),Metaalverwerking (25-30),December 2021,2010,129.41
Industrie (zonder bouw),Metaalverwerking (25-30),Januari 2022,2010,129.4
Industrie (zonder bouw),Metaalverwerking (25-30),Februari 2022,2010,130.62
Industrie (zonder bouw),Metaalverwerking (25-30),Maart 2022,2010,137.49
Industrie (zonder bouw),Metaalverwerking (25-30),April 2022,2010,140.88
Industrie (zonder bouw),Metaalverwerking (25-30),Mei 2022,2010,142.73
Industrie (zonder bouw),Metaalverwerking (25-30),Juni 2022,2010,141.23
Industrie (zonder bouw),Metaalverwerking (25-30),Juli 2022,2010,140.2
Industrie (zonder bouw),Metaalverwerking (25-30),Augustus 2022,2010,140.7
Industrie (zonder bouw),Metaalverwerking (25-30),September 2022,2010,140.51
Industrie (zonder bouw),Metaalverwerking (25-30),Oktober 2022,2010,139.02
Industrie (zonder bouw),Metaalverwerking (25-30),November 2022,2010,139.39
Industrie (zonder bouw),Metaalverwerking (25-30),December 2022,2010,137.66
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",December 2021,2010,122.89
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",Januari 2022,2010,123.52
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",Februari 2022,2010,124.64
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",Maart 2022,2010,125.67
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",April 2022,2010,126.69
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",Mei 2022,2010,127.27
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",Juni 2022,2010,129.14
