Sectie,Afdeling,Groep,Referentiemaand,Basisjaar,Index - Binnenlandse markt
C Industrie,13 Vervaardiging van textiel,,November 2022,2010,148.9
C Industrie,13 Vervaardiging van textiel,,December 2022,2010,148.66
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,December 2021,2010,172.72
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,Januari 2022,2010,177.49
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,Februari 2022,2010,179.3
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,Maart 2022,2010,183.03
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,April 2022,2010,191.35
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,Mei 2022,2010,199.13
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,Juni 2022,2010,197.16
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,Juli 2022,2010,194.68
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,Augustus 2022,2010,196.93
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,September 2022,2010,194.14
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,Oktober 2022,2010,192.71
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,November 2022,2010,192.02
C Industrie,"16 Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen/ vervaardiging van artikelen van riet en van vlechtwerk",,December 2022,2010,190.88
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,December 2021,2010,151.73
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,Januari 2022,2010,159.18
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,Februari 2022,2010,167.71
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,Maart 2022,2010,194.02
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,April 2022,2010,185.99
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,Mei 2022,2010,191.57
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,Juni 2022,2010,206.27
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,Juli 2022,2010,192.53
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,Augustus 2022,2010,181.62
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,September 2022,2010,178.59
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,Oktober 2022,2010,191.55
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,November 2022,2010,181.26
C Industrie,19 Vervaardiging van cokes en van geraffineerde aardolieproducten,19.2 Vervaardiging van geraffineerde aardolieproducten,December 2022,2010,160.84
C Industrie,20 Vervaardiging van chemische producten,,December 2021,2010,159.84
C Industrie,20 Vervaardiging van chemische producten,,Januari 2022,2010,162.08
C Industrie,20 Vervaardiging van chemische producten,,Februari 2022,2010,165.52
C Industrie,20 Vervaardiging van chemische producten,,Maart 2022,2010,183.37
C Industrie,20 Vervaardiging van chemische producten,,April 2022,2010,187.85
C Industrie,20 Vervaardiging van chemische producten,,Mei 2022,2010,189.39
C Industrie,20 Vervaardiging van chemische producten,,Juni 2022,2010,190.7
C Industrie,20 Vervaardiging van chemische producten,,Juli 2022,2010,187.13
C Industrie,20 Vervaardiging van chemische producten,,Augustus 2022,2010,190.45
C Industrie,20 Vervaardiging van chemische producten,,September 2022,2010,182.24
C Industrie,20 Vervaardiging van chemische producten,,Oktober 2022,2010,179.72
C Industrie,20 Vervaardiging van chemische producten,,November 2022,2010,179.72
C Industrie,20 Vervaardiging van chemische producten,,December 2022,2010,184.88
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,December 2021,2010,137.56
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,Januari 2022,2010,137.94
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,Februari 2022,2010,134.83
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,Maart 2022,2010,135.18
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,April 2022,2010,137.77
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,Mei 2022,2010,140.36
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,Juni 2022,2010,142.19
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,Juli 2022,2010,146.02
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,Augustus 2022,2010,143.4
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,September 2022,2010,140.54
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,Oktober 2022,2010,141.4
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,November 2022,2010,140.98
C Industrie,22 Vervaardiging van producten van rubber of kunststof,,December 2022,2010,142.66
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,December 2021,2010,119.11
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,Januari 2022,2010,125.96
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,Februari 2022,2010,128.46
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,Maart 2022,2010,130.64
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,April 2022,2010,135.67
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,Mei 2022,2010,140.39
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,Juni 2022,2010,142.16
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,Juli 2022,2010,143.37
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,Augustus 2022,2010,147.73
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,September 2022,2010,147.79
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,Oktober 2022,2010,150.72
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,November 2022,2010,152.2
C Industrie,23 Vervaardiging van andere niet-metaalhoudende minerale producten,,December 2022,2010,154.54
C Industrie,24 Vervaardiging van metalen in primaire vorm,,December 2021,2010,170.13
C Industrie,24 Vervaardiging van metalen in primaire vorm,,Januari 2022,2010,181.48
C Industrie,24 Vervaardiging van metalen in primaire vorm,,Februari 2022,2010,184.07
C Industrie,24 Vervaardiging van metalen in primaire vorm,,Maart 2022,2010,193.64
C Industrie,24 Vervaardiging van metalen in primaire vorm,,April 2022,2010,200.53
C Industrie,24 Vervaardiging van metalen in primaire vorm,,Mei 2022,2010,194.64
C Industrie,24 Vervaardiging van metalen in primaire vorm,,Juni 2022,2010,193.36
C Industrie,24 Vervaardiging van metalen in primaire vorm,,Juli 2022,2010,189.4
C Industrie,24 Vervaardiging van metalen in primaire vorm,,Augustus 2022,2010,186.31
C Industrie,24 Vervaardiging van metalen in primaire vorm,,September 2022,2010,184.32
C Industrie,24 Vervaardiging van metalen in primaire vorm,,Oktober 2022,2010,184.67
C Industrie,24 Vervaardiging van metalen in primaire vorm,,November 2022,2010,185.99
C Industrie,24 Vervaardiging van metalen in primaire vorm,,December 2022,2010,185.9
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,December 2021,2010,153.39
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,Januari 2022,2010,151.95
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,Februari 2022,2010,153.66
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,Maart 2022,2010,171.69
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,April 2022,2010,178.71
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,Mei 2022,2010,179.69
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,Juni 2022,2010,174.63
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,Juli 2022,2010,172.33
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,Augustus 2022,2010,172.23
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,September 2022,2010,172.0
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,Oktober 2022,2010,165.97
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,November 2022,2010,166.35
C Industrie,"25 Vervaardiging van producten van metaal, exclusief machines en apparaten",,December 2022,2010,160.79
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,December 2021,2010,106.57
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,Januari 2022,2010,106.72
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,Februari 2022,2010,108.68
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,Maart 2022,2010,109.09
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,April 2022,2010,109.09
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,Mei 2022,2010,109.98
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,Juni 2022,2010,110.27
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,Juli 2022,2010,110.27
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,Augustus 2022,2010,110.27
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,September 2022,2010,110.11
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,Oktober 2022,2010,110.11
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,November 2022,2010,110.25
C Industrie,26 Vervaardiging van informaticaproducten en van elektronische en optische producten,,December 2022,2010,110.94
C Industrie,27 Vervaardiging van elektrische apparatuur,,December 2021,2010,133.33
C Industrie,27 Vervaardiging van elektrische apparatuur,,Januari 2022,2010,134.37
C Industrie,27 Vervaardiging van elektrische apparatuur,,Februari 2022,2010,136.22
C Industrie,27 Vervaardiging van elektrische apparatuur,,Maart 2022,2010,137.57
C Industrie,27 Vervaardiging van elektrische apparatuur,,April 2022,2010,139.25
C Industrie,27 Vervaardiging van elektrische apparatuur,,Mei 2022,2010,139.64
C Industrie,27 Vervaardiging van elektrische apparatuur,,Juni 2022,2010,142.56
C Industrie,27 Vervaardiging van elektrische apparatuur,,Juli 2022,2010,142.49
C Industrie,27 Vervaardiging van elektrische apparatuur,,Augustus 2022,2010,143.5
C Industrie,27 Vervaardiging van elektrische apparatuur,,September 2022,2010,143.7
C Industrie,27 Vervaardiging van elektrische apparatuur,,Oktober 2022,2010,143.48
C Industrie,27 Vervaardiging van elektrische apparatuur,,November 2022,2010,143.97
C Industrie,27 Vervaardiging van elektrische apparatuur,,December 2022,2010,146.4
C Industrie,,,December 2021,2010,136.61
C Industrie,,,Januari 2022,2010,139.96
C Industrie,,,Februari 2022,2010,142.68
C Industrie,,,Maart 2022,2010,151.57
C Industrie,,,April 2022,2010,154.41
C Industrie,,,Mei 2022,2010,156.78
C Industrie,,,Juni 2022,2010,159.66
C Industrie,,,Juli 2022,2010,157.64
C Industrie,,,Augustus 2022,2010,157.18
C Industrie,,,September 2022,2010,155.64
C Industrie,,,Oktober 2022,2010,157.54
C Industrie,,,November 2022,2010,156.53
C Industrie,,,December 2022,2010,154.72
