België,Gewest,Provincie,Arrondissement,Gemeente,Totale bevolking
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,44318
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,43258
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,41385
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,40558
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,40281
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,40255
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,40130
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,39623
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,39514
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,38770
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,38572
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,37529
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,37256
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,37225
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,37132
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,36672
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,36658
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),36347
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,36093
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,35472
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,35218
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,34529
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,34200
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,34034
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,33615
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,33277
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,33227
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,33167
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,32964
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,32946
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,32799
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,32477
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,32065
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,31902
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,31457
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,31299
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,31267
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,31121
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,31040
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,30595
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Tongeren,30374
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,30367
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,30356
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,30025
