Alle werknemersklassen,NIS werknemersklasse,Jaar,Alle economische activiteiten,Sectie,Aantal schrappingen
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,242.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,482.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,77.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,269.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,38.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,36.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,30.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,201.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,96.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,P Onderwijs,11.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,35.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",22.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,S Overige diensten,120.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,0.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,0.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,,1800.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",5.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,0.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,C Industrie,18.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,19.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,70.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,7.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,22.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,10.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,11.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,3.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,33.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,16.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,8.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",6.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,S Overige diensten,9.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,0.0
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,5-9 werknemers,2021,Alle economische activiteiten,,239.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",1.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,0.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,C Industrie,9.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,7.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,46.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,8.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,5.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,7.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,4.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,1.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,21.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,10.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,P Onderwijs,1.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,4.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",2.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,S Overige diensten,3.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,0.0
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,10-19 werknemers,2021,Alle economische activiteiten,,129.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",1.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,0.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,C Industrie,6.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,3.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,25.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,3.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,10.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,3.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,1.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,14.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,9.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,P Onderwijs,1.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,8.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,S Overige diensten,2.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,0.0
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,20-49 werknemers,2021,Alle economische activiteiten,,86.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",0.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,0.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,C Industrie,1.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,3.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,4.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,1.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,2.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,1.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,1.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,6.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,3.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,4.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",1.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,S Overige diensten,0.0
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,50-99 werknemers,2021,Alle economische activiteiten,,29.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,C Industrie,2.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,1.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,5.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,1.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,1.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,1.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,1.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,S Overige diensten,0.0
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,100-199 werknemers,2021,Alle economische activiteiten,,14.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,C Industrie,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,1.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,1.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,S Overige diensten,0.0
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,200-249 werknemers,2021,Alle economische activiteiten,,2.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,C Industrie,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,1.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,1.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,1.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,1.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,3.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,S Overige diensten,0.0
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,250-499 werknemers,2021,Alle economische activiteiten,,7.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,C Industrie,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,1.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,P Onderwijs,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,1.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,S Overige diensten,0.0
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,Onbekende economische activiteit,
Alle werknemersklassen,500-999 werknemers,2021,Alle economische activiteiten,,2.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,C Industrie,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,F Bouwnijverheid,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,H Vervoer en opslag,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,J Informatie en communicatie,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,0.0
Alle werknemersklassen,1000-1999 werknemers,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,0.0
