Nace,Jaar,Gewest,Gebruikt computers,Beschikt over internettoegang,Breedbandaansluiting,Heeft een website,"Gebruikersprofiel, account of licentie op sociale netwerken",Online bestellen of reserveren,Ontvangt bestellingen op web,Ontvangt bestellingen via EDI,Aankoop van cloudcomputingdiensten
Exploitatie van en handel in onroerend goed,2019,Waals Gewest,1.0,1.0,1.0,0.619,0.545,0.267,0.097,0.0,
Exploitatie van en handel in onroerend goed,2019,Brussels Hoofdstedelijk Gewest,1.0,1.0,0.862,0.859,0.518,0.034,0.175,0.0,
Exploitatie van en handel in onroerend goed,2020,Vlaams Gewest,,,0.966,0.627,,0.08,0.136,0.039,0.43
Exploitatie van en handel in onroerend goed,2020,Waals Gewest,,,1.0,0.59,,0.135,0.007,0.0,0.04
Exploitatie van en handel in onroerend goed,2020,Brussels Hoofdstedelijk Gewest,,,0.767,0.685,,0.01,0.086,0.003,0.433
Exploitatie van en handel in onroerend goed,2021,Vlaams Gewest,,,,,0.749,,0.74,0.146,0.407
Exploitatie van en handel in onroerend goed,2021,Waals Gewest,,,,,1.0,,0.644,0.178,0.356
Exploitatie van en handel in onroerend goed,2021,Brussels Hoofdstedelijk Gewest,,,,,0.916,,0.916,0.316,0.518
Exploitatie van en handel in onroerend goed,2022,Vlaams Gewest,,,0.911,,,,0.336,0.047,
Exploitatie van en handel in onroerend goed,2022,Waals Gewest,,,1.0,,,,0.607,0.0,
Exploitatie van en handel in onroerend goed,2022,Brussels Hoofdstedelijk Gewest,,,1.0,,,,0.768,0.133,
Vrije beroepen en wetenschappelijke en technische activiteiten,2019,Vlaams Gewest,1.0,1.0,0.973,0.729,0.527,0.14,0.155,0.039,
Vrije beroepen en wetenschappelijke en technische activiteiten,2019,Waals Gewest,1.0,0.97,0.956,0.559,0.344,0.088,0.137,0.032,
Vrije beroepen en wetenschappelijke en technische activiteiten,2019,Brussels Hoofdstedelijk Gewest,0.977,0.977,0.954,0.792,0.6,0.066,0.097,0.08,
Vrije beroepen en wetenschappelijke en technische activiteiten,2020,Vlaams Gewest,,,0.984,0.727,,0.134,0.133,0.041,0.587
Vrije beroepen en wetenschappelijke en technische activiteiten,2020,Waals Gewest,,,0.965,0.579,,0.027,0.089,0.005,0.426
Vrije beroepen en wetenschappelijke en technische activiteiten,2020,Brussels Hoofdstedelijk Gewest,,,0.992,0.819,,0.037,0.033,0.048,0.609
Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Vlaams Gewest,,,,,0.699,,0.241,0.0,0.089
Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Waals Gewest,,,,,0.699,,0.081,0.0,0.032
Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Brussels Hoofdstedelijk Gewest,,,,,0.699,,0.276,0.0,0.239
Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Vlaams Gewest,,,0.83,,,,0.399,0.006,
Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Waals Gewest,,,0.89,,,,0.311,0.006,
Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Brussels Hoofdstedelijk Gewest,,,0.915,,,,0.55,0.011,
Administratieve en ondersteunende diensten,2019,Vlaams Gewest,1.0,0.992,0.945,0.579,0.452,0.109,0.207,0.003,
Administratieve en ondersteunende diensten,2019,Waals Gewest,1.0,1.0,0.919,0.65,0.584,0.172,0.191,0.038,
Administratieve en ondersteunende diensten,2019,Brussels Hoofdstedelijk Gewest,1.0,1.0,0.992,0.607,0.473,0.163,0.12,0.004,
Administratieve en ondersteunende diensten,2020,Vlaams Gewest,,,0.945,0.811,,0.278,0.16,0.024,0.528
Administratieve en ondersteunende diensten,2020,Waals Gewest,,,0.944,0.608,,0.144,0.174,0.01,0.246
Administratieve en ondersteunende diensten,2020,Brussels Hoofdstedelijk Gewest,,,1.0,0.729,,0.214,0.163,0.031,0.342
Administratieve en ondersteunende diensten,2021,Vlaams Gewest,,,,,0.906,,0.442,0.01,0.677
Administratieve en ondersteunende diensten,2021,Waals Gewest,,,,,0.918,,0.556,0.0,0.384
Administratieve en ondersteunende diensten,2021,Brussels Hoofdstedelijk Gewest,,,,,0.703,,0.252,0.029,0.548
Administratieve en ondersteunende diensten,2022,Vlaams Gewest,,,0.912,,,,0.402,0.057,
Administratieve en ondersteunende diensten,2022,Waals Gewest,,,1.0,,,,0.216,0.026,
Administratieve en ondersteunende diensten,2022,Brussels Hoofdstedelijk Gewest,,,1.0,,,,0.289,0.027,
Reparatie van computers en communicatieapparatuur,2019,Vlaams Gewest,1.0,1.0,1.0,1.0,1.0,0.564,0.462,0.0,
Reparatie van computers en communicatieapparatuur,2019,Waals Gewest,,,,,,,,,
Reparatie van computers en communicatieapparatuur,2019,Brussels Hoofdstedelijk Gewest,1.0,1.0,1.0,1.0,0.69,0.31,0.619,0.0,
Reparatie van computers en communicatieapparatuur,2020,Vlaams Gewest,,,1.0,1.0,,0.0,0.04,0.0,0.152
Reparatie van computers en communicatieapparatuur,2020,Waals Gewest,,,1.0,1.0,,0.321,0.321,0.095,0.548
Reparatie van computers en communicatieapparatuur,2020,Brussels Hoofdstedelijk Gewest,,,,,,,,,
Reparatie van computers en communicatieapparatuur,2021,Vlaams Gewest,,,,,0.754,,0.231,0.088,0.891
Reparatie van computers en communicatieapparatuur,2021,Waals Gewest,,,,,0.697,,0.176,0.013,0.681
Reparatie van computers en communicatieapparatuur,2021,Brussels Hoofdstedelijk Gewest,,,,,0.815,,0.111,0.018,0.616
Reparatie van computers en communicatieapparatuur,2022,Vlaams Gewest,,,0.931,,,,0.327,0.087,
Reparatie van computers en communicatieapparatuur,2022,Waals Gewest,,,0.994,,,,0.354,0.057,
Reparatie van computers en communicatieapparatuur,2022,Brussels Hoofdstedelijk Gewest,,,0.868,,,,0.256,0.122,
