Gewest,Totaal,Leeftijd (15-24/25-54/55-64),Jaar,Totaal.1,Geslacht,Totaal.2,Onderwijsniveau (ISCED 2011),Totale bevolking
Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,Totaal,Laag,79778.75
Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,Totaal,Midden,87978.25
Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,Totaal,Hoog,78981.75
Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,Totaal,,246738.75
Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,,Totaal,,483504.75
Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,Totaal,Laag,78544.0
Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,Totaal,Midden,89780.25
Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,Totaal,Hoog,70092.5
Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,Totaal,,238416.75
Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,Totaal,Laag,76817.5
Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,Totaal,Midden,82444.25
Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,Totaal,Hoog,88534.0
Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,Totaal,,247795.75
Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,,Totaal,,486212.5
Waals Gewest,Totaal,,2020,Totaal,Mannen,Totaal,Laag,351447.75
Waals Gewest,Totaal,,2020,Totaal,Mannen,Totaal,Midden,470636.75
Waals Gewest,Totaal,,2020,Totaal,Mannen,Totaal,Hoog,340146.0
Waals Gewest,Totaal,,2020,Totaal,Mannen,Totaal,,1162230.75
Waals Gewest,Totaal,,2020,Totaal,Vrouwen,Totaal,Laag,293431.25
Waals Gewest,Totaal,,2020,Totaal,Vrouwen,Totaal,Midden,408924.0
Waals Gewest,Totaal,,2020,Totaal,Vrouwen,Totaal,Hoog,460751.75
Waals Gewest,Totaal,,2020,Totaal,Vrouwen,Totaal,,1163107.0
Waals Gewest,Totaal,,2020,Totaal,,Totaal,,2325337.75
Waals Gewest,Totaal,,2021,Totaal,Mannen,Totaal,Laag,326086.25
Waals Gewest,Totaal,,2021,Totaal,Mannen,Totaal,Midden,479903.25
Waals Gewest,Totaal,,2021,Totaal,Mannen,Totaal,Hoog,358070.25
Waals Gewest,Totaal,,2021,Totaal,Mannen,Totaal,,1164059.5
Waals Gewest,Totaal,,2021,Totaal,Vrouwen,Totaal,Laag,271814.0
Waals Gewest,Totaal,,2021,Totaal,Vrouwen,Totaal,Midden,412202.75
Waals Gewest,Totaal,,2021,Totaal,Vrouwen,Totaal,Hoog,480259.0
Waals Gewest,Totaal,,2021,Totaal,Vrouwen,Totaal,,1164275.75
Waals Gewest,Totaal,,2021,Totaal,,Totaal,,2328335.25
