Niveau 1,Jaar,Trimester,Bruto index
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2022,2de kwartaal 2022,112.135
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2022,3de kwartaal 2022,137.932
J61 Telecommunicatie,2018,,93.298
J61 Telecommunicatie,2019,,90.709
J61 Telecommunicatie,2020,,86.392
J61 Telecommunicatie,2021,1ste kwartaal 2021,79.968
J61 Telecommunicatie,2021,2de kwartaal 2021,84.199
J61 Telecommunicatie,2021,3de kwartaal 2021,86.957
J61 Telecommunicatie,2021,4de kwartaal 2021,94.938
J61 Telecommunicatie,2022,1ste kwartaal 2022,86.759
J61 Telecommunicatie,2022,2de kwartaal 2022,87.785
J61 Telecommunicatie,2022,3de kwartaal 2022,90.842
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2018,,122.712
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2019,,139.333
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2020,,148.766
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2021,1ste kwartaal 2021,160.094
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2021,2de kwartaal 2021,159.457
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2021,3de kwartaal 2021,150.058
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2021,4de kwartaal 2021,197.176
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2022,1ste kwartaal 2022,176.04
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2022,2de kwartaal 2022,181.27
"J62 Computerprogrammering, consultancy en aanverwante activiteiten",2022,3de kwartaal 2022,174.289
J63 Dienstverlenende activiteiten op het gebied van informatie,2018,,132.632
J63 Dienstverlenende activiteiten op het gebied van informatie,2019,,159.178
J63 Dienstverlenende activiteiten op het gebied van informatie,2020,,172.775
J63 Dienstverlenende activiteiten op het gebied van informatie,2021,1ste kwartaal 2021,172.189
J63 Dienstverlenende activiteiten op het gebied van informatie,2021,2de kwartaal 2021,177.757
J63 Dienstverlenende activiteiten op het gebied van informatie,2021,3de kwartaal 2021,156.003
J63 Dienstverlenende activiteiten op het gebied van informatie,2021,4de kwartaal 2021,207.57
J63 Dienstverlenende activiteiten op het gebied van informatie,2022,1ste kwartaal 2022,232.705
J63 Dienstverlenende activiteiten op het gebied van informatie,2022,2de kwartaal 2022,221.824
J63 Dienstverlenende activiteiten op het gebied van informatie,2022,3de kwartaal 2022,219.677
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2018,,122.986
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2019,,124.297
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2020,,125.203
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2021,1ste kwartaal 2021,129.539
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2021,2de kwartaal 2021,141.385
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2021,3de kwartaal 2021,130.981
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2021,4de kwartaal 2021,171.266
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2022,1ste kwartaal 2022,150.782
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2022,2de kwartaal 2022,162.3
"M69_M702 Rechtskundige en boekhoudkundige dienstverlening, adviesbureaus op gebied van bedrijfsbeheer",2022,3de kwartaal 2022,151.991
M71 Architecten en ingenieurs/ technische testen en toetsen,2018,,125.758
M71 Architecten en ingenieurs/ technische testen en toetsen,2019,,128.417
M71 Architecten en ingenieurs/ technische testen en toetsen,2020,,124.991
M71 Architecten en ingenieurs/ technische testen en toetsen,2021,1ste kwartaal 2021,127.824
M71 Architecten en ingenieurs/ technische testen en toetsen,2021,2de kwartaal 2021,141.66
M71 Architecten en ingenieurs/ technische testen en toetsen,2021,3de kwartaal 2021,129.14
M71 Architecten en ingenieurs/ technische testen en toetsen,2021,4de kwartaal 2021,163.383
M71 Architecten en ingenieurs/ technische testen en toetsen,2022,1ste kwartaal 2022,140.552
M71 Architecten en ingenieurs/ technische testen en toetsen,2022,2de kwartaal 2022,162.44
M71 Architecten en ingenieurs/ technische testen en toetsen,2022,3de kwartaal 2022,148.171
M73 Reclamewezen en marktonderzoek,2018,,101.725
M73 Reclamewezen en marktonderzoek,2019,,102.605
M73 Reclamewezen en marktonderzoek,2020,,92.01
M73 Reclamewezen en marktonderzoek,2021,1ste kwartaal 2021,89.836
